10000e	10000:a
phytoplancton	fytoplankton
phytoremédiation	fytoremediering
phytostabilisation	fytostabilisering
phénix	fenix
phénologie	fenologi
phénomène	fenomen
phénoménal	fenomenal
phénylalanine	fenylalanin
phényléthylamine	fenetylamin
pianiste	pianist
piano	piano
piano à queue	flygel
pic cendré	gråspett
pic mar	melanspett
pic noir	spillkråka
pic syriaque	syrisk hackspett
pic tridactyle	tretåig hackspett
pic à dos blanc	vitryggig hackspett
pic épeiche	större hackspett
pic épeichette	mindre hackspett
picador	pikador
pickpocket	ficktjuv
picomètre	pikometer
picris fausse-épervière	bitterfibbla
pictogramme	piktogram
pictural	målnings-
pie	skata
pie bavarde	skata
pie bleue	blåskata
pie-grièche grise	varfågel
pie-grièche masquée	masktörnskata
pie-grièche à poitrine rose	svartpannad törnskata
pie-grièche à tête rousse	rödhuvad törnskata
pie-grièche écorcheur	törnskata
pied	fot
pied bot	klumpfot
pied de pélican	pelikanfotsnäcka
pied presseur	pressarfot
pied-bot	klumpfot
pied-de-biche	kofot
pied-de-mouche	alinea
pierre	sten
pierre de la faim	hungersten
pierre de lune	månsten
pierre de taille	kvadersten
pierre précieuse	ädelsten
pierre tombale	gravsten
pierre à aiguiser	slipsten
pieux	gudlig
pigeon	lättlurad
pigeon biset	klippduva
pigeon colombin	skogsduva
pigeon couronné	kronduva
pigeon ramier	ringduva
pigeon voyageur	brevduva
pigiste	frilansare
pignon	drev
pigouvien	pigouviansk
pilaf	pilaff
pile	batteri
pile ou face	krona eller klave
pile-poil	på håret
pilier	pelare
pilocarpine	pilokarpin
pilon	mortelstöt
pilotine	lotsbåt
pils	pilsner
pilule	piller
pilulier	dosett
piment	chilipeppar
pin	tall
pin-pon	tut-tut, tut-tut
pinacle	fial
pince multiprise	polygrip
pinceau	pensel
pineraie	tallskog
ping-pong	pingis
pingouin	alka
pinocytose	pinocytos
pinotte	jordnöt
pinson	fink
pinson des arbres	bofink
pinson du Nord	bergfink
pinto	paint
pioche	talong
pion	bonde
pione de Maximilien	fjällhuvudpapegoja
pione givrée	vitpannad papegoja
pione noire	bronsvingad papegoja
pione pailletée	plommonhuvad papegoja
pione violette	sotpapegoja
pione à bec rouge	rödnäbbad papegoja
pione à couronne blanche	vitkronad papegoja
pione à tête bleue	blåhuvad papegoja
pionnier	pionjär
pipe	pipa
pipette	pipett
pipit de Richard	storpiplärka
pipit de la Petchora	tundrapiplärka
pipit des arbres	trädpiplärka
pipit farlouse	ängspiplärka
pipit rousseline	fältpiplärka
pipit spioncelle	skärpiplärka
pipit à dos olive	sibirisk piplärka
pipit à gorge rousse	rödstrupig piplärka
piquant	skarp
piquant loulou	bablah
pique	pik
pique-aiguille	nåldyna
pique-niquer	picknicka
piquer	sticka
pirate	pirat
piridion	äppelfrukt
pirogue	kanot
pirouette	piruett
piscine	badhus
piscine olympique	bassäng med olympiska mått
pissenlit	maskros
pisser	pissa
pistache	pistasch
pistachier	pistasch
piste cyclable	cykelväg
piste de danse	dansgolv
piste d’atterrissage	landningsbana
pister	spåra upp
pistil	pistill
pistolet	pistol
pistolet à eau	vattenpistol
pistolet-mitrailleur	kulsprutepistol
piston	kolv
pita	pitabröd
pitchou	provencesångare
pitié	medlidande
pittasome	knottpitta
pittasome à sourcils noirs	rödkronad knottpitta
pittasome à tête noire	svartkronad knottpitta
pittoresque	pittoresk
pivert	gröngöling
pivoine	pion
pivot	mittsexa
pivot	spindel
pizza	pizza
pizzaïolo	pizzabagare
pizzeria	pizzeria
pizzicato	pizzicato
pizzéria	pizzeria
pièce	aktstycke
pièce de monnaie	mynt
pièce de théâtre	pjäs
piège	fallgrop
piètre	futtig
piètrerie	futtighet
piéride de la moutarde	Skogsvitvinge
piéride du réséda	Grönfläckig vitfjäril
piétin	klövsjuka
piétinement	hovslag
piétiner	stå och stampa
piéton	fotgängare
piété	fromhet
placard	affisch
placarder	affischera
place	ort
place Rouge	Röda torget
place de village	bytorg
place d’honneur	hedersplats
place forte	fästning
placebo	placebo
placenta	moderkaka
placer	placera
plafond	innertak
plage	strand
plaider	plädera
plaidoyer	plädering
plaindre	ha medlidande
plaine	slätt
plainte	klagomål
plaire	behaga
plaisanter	skoja
plaisantin	skojare
plaisir	behag
plan	landkarta
planche	bräde
planche de surf	surfbräda
planche à découper	skärbräda
planche à laver	tvättbräda
planche à vague	surfbräda
plancher	golv
planeur	glidflygplan
planification	planering
planimètre	planimètre
planimétrie	planimetri
planisphère	planisfär
planning familial	familjeplanering
plante	fotsula
plante araignée	ampellilja
plante médicinale	läkeväxt
planter	plantera
planète	planet
planète gazeuse	gasplanet
planète naine	dvärgplanet
planète tellurique	stenplanet
planétaire	planetarisk
plaque de plâtre	gipsskiva
plaque de rue	gatuskylt
plaque d’immatriculation	registreringsskylt
plaque d’égout	brunnslock
plaque tectonique	kontinentalplatta
plaque tournante	vändskiva
plaquebière	hjortron
plaqueminier	kaki
plaquer	plätera
plasma	plasma
plasticité cérébrale	neuroplasticitet
plastique	plastisk
plat	platt
plat	fat
platane	platan
plateau	platå
platine	platina
platitude	plattityd
plausible	plausibel
plectranthe	novemberljussläktet
plectre	plektrum
plectrophane blanc	beringsnösparv
plectrophane de McCown	prärielappsparv
plectrophane de Smith	tundralappsparv
plectrophane des neiges	snösparv
plectrophane lapon	lappsparv
plectrophane à ventre noir	praktlappsparv
plectroptère	sporrgås
plein	full
plein-emploi	full sysselsättning
pleine lune	fullmåne
pleione	jungfrusko
pleur	tår
pleurer	gråta
pleurnicher	tjuta
pleurnicheur	pjunkig
pleurodèle	revbensalamander
pleuronecte	flatfiskar
pleuvoir	regna
pleuvoir à verse	ösregna
plexus cœliaque	solarplexus
pli	veck
pliable	böjlig
pliage	vika
plie	rödspätta
plier	vecka
plioir	winder
plomb	bly
plombeur	plomberare
plombier	rörmokare
plongeon arctique	storlom
plongeon catmarin	smålom
plongeon imbrin	svartnäbbad islom
plonger	dyka
plongeur	dykare
plouc	bondläpp
ploutocratie	plutokrati
ployer	vika
pluie	regn
plumage	fjäderdräkt
plumbago	blyblomma
plume	dun
plumeau	dammvippa
plurale tantum	plurale tantum
pluriel	plural
pluriel	plural
plus	heller
plus	mest
plus grand commun diviseur	största gemensamma delare
plus petit commun multiple	minsta gemensamma multipel
plusie	metallfly
plusie chalcite	tvillingfläckat metallfly
plusie de la fétuque	gulbrunt metallfly
plusie vert-doré	grönglänsande metallfly
plutino	plutino
plutonium	plutonium
plutôt	hellre
pluvianelle	Magellanpipare
pluvier argenté	kustpipare
pluvier de Leschenault	ökenlopare
pluvier doré	ljungpipare
pluvier fauve	arktisk ljungpipare
pluvier guignard	fjällpipare
pluvier kildir	skrikstrandpipare
plâtre	gips
plénipotentiaire	fullmäktig
plénoptique	plenoptic
pléonasme	pleonasm
plésiosaure	plesiosaurie
pneu	däck
pneumatique	pneumatisk
pneumoconiose	dammlunga
pneumonie	lunginflammation
poche	ficka
poche intérieure	innerficka
podalyre	färgväppling
podarge	grodmun
podarge cornu	sundagrodmun
podarge de Blyth	Blyths grodmun
podarge de Bornéo	borneogrodmun
podarge de Ceylan	ceylongrodmun
podarge de Hartert	dulitgrodmun
podarge de Hodgson	Hodgsons grodmun
podarge de Java	javagrodmun
podarge de Palawan	palawangrodmun
podarge des Philippines	filippinsk grodmun
podarge des Salomon	salomongrodmun
podarge gris	australisk grodmun
podarge ocellé	marmorgrodmun
podarge oreillard	större grodmun
podarge papou	papuagrodmun
podarge à tête grise	sumatragrodmun
podarge étoilé	Goulds grodmun
podophylle	fotblad
podophyllotoxine	podofyllotoxin
poids	vikt
poids lourd	tungvikt
poignard	dolk
poignarder	knivhugga
poignet	handled
poignée	handtag
poil	hår
poilu	hårig
poing	knytnäve
poing de singe	apnäve
point	styng
point A	A-punkt
point B	B-punkt
point G	G-punkten
point aveugle	blinda fläcken
point barre	och därmed basta
point blanc	vitpunkt
point cardinal	väderstreck
point critique	inflektionspunkt
point culminant	höjdpunkt
point de base	baspunkt
point de congélation	fryspunkt
point de côté	håll
point de fusion	smältpunkt
point de pourcentage	procentenhet
point de repère	landmärke
point droit	förstygn
point d’exclamation	utropstecken
point d’interrogation	frågetecken
point d’orgue	orgelpunkt
point d’ébullition	kokpunkt
point exclarrogatif	interrobang
point triple	trippelpunkt
point-virgule	semikolon
pointal	stötta
pointard	tåpaj
pointe	nypa
pointe de diamant	glasmästardiamant
pointe sèche	kallnål
pointeur	pekare
pointillisme	pointillism
points de suspension	uteslutningstecken
pointu	amper
poire	päron
poire de terre	yacón
poireau	purjolök
poirier	päronträd
pois chiche	kikärt
poison	gift
poisson	fisk
poisson d’avril	aprilskämt
poisson rouge	guldfisk
poisson-chandelle	eulachon
poissonnier	fiskhandlare
poitrine	bröst
poivre	peppar
poivre du Sichuan	sichuanpeppar
poivre noir	svartpeppar
poivre rose	rosépeppar
poivrer	peppra
poivrière	peppardosa
poivron	paprika
poker	poker
polabe	polabiska
polar	deckare
polarisation	polarisering
polarité	polaritet
poli	artig
police	polis
police montée	ridande polis
policier	polis
policlinique	poliklinik
poliomyélite	polio
polir	polera
poliste	pappersgeting
politesse	artighet
politicien	politiker
politique	politisk
politique	politiker
politique	politik
politiquement	politiskt
politiquement correct	politisk korrekthet
politrouk	politruk
polka	polka
pollen	pollen
pollination	pollination
pollinisation	pollinering
polliniser	pollinera
pollution lumineuse	ljusförorening
polocrosse	hästpolo
polonais	polsk
polonais	polska
polonium	polonium
polyamour	polyamori
polyandrie	polyandri
polycentrisme	polycentrism
polychlorure de vinyle	polyvinylklorid
polydactylie	polydaktyli
polydipsie	polydipsi
polygale	jungfrulin
polygamie	polygami
polyglotte	polyglott
polygone	polygon
polymérisation	polymerisation
polypeptide	polypeptid
polypropylène	polypropylen
polysaccharide	polysackarid
polystyrène	polystyren
polysémie	polysemi
polythéisme	polyteism
polythéiste	polyteistisk
polythéiste	polyteist
polyurie	polyuri
polyèdre	polyeder
polyéthylène	polyeten
polémique	polemisk
polémique	polemik
pomme	äpple
pomme de cajou	acajoufrukt
pomme de discorde	erisäpple
pomme de pin	kotte
pomme de terre	potatis
pomme d’Adam	adamsäpple
pommier	äppelträd
pommier de Sodome	Sodomäpple
pompe	pump
pompe à vélo	cykelpump
pomper	pumpa
pompier	brandman
ponceuse	slipmaskin
ponctualité	punktlighet
ponctuation	interpunktion
ponctuel	punktlig
ponctuellement	punktligt
ponctuer	punktera
pondre	värpa
poney	ponny
pont	bro
pont roulant	traverskran
pont soleil	soldäck
pont suspendu	hängbro
pont-levis	vindbrygga
pont-promenade	promenaddäck
pontife	pontifex
populage des marais	kabbleka
populaire	populär
populariser	popularisera
popularité	popularitet
population	befolkning
populisme	populism
populiste	populist
porc	svin
porcelaine	porslin
porcelaine dure	fältspatporslin
porcelaine tendre	mjukt porslin
poreux	porös
pornographie	pornografi
pornographique	pornografisk
porphyrion	purpurhöna
port	hamn
port PS/2	PS/2-kontakt
port USB	USB-ingång
port parallèle	parallellport
portable	bärbar dator
portance	lyftkraft
porte	dörr
porte dérobée	lönndörr
porte d’entrée	ingångsdörr
porte-avions	hangarfartyg
porte-clés	nyckelring
porte-conteneur	containerfartyg
porte-document	portfölj
porte-documents	portfölj
porte-jarretelles	strumpebandshållare
porte-monnaie	börs
porte-parapluie	paraplyställ
porte-plume	pennhållare
porte-queue	sporrblåvinge
porte-voix	megafon
portemine	stiftpenna
porter en terre	begrava
porter la main	bära hand
porter ses pas	styra sina steg
porter ses regards	rikta sina blickar
porteur	överbringare
porto	portvin
portrait	porträtt
portraitiser	porträttera
portraitiste	porträttmålare
portraiturer	porträttera
portugais	portugisisk
portugais	portugisiska
poser	lägga
position	position
position du missionnaire	missionärsställningen
positron	positron
positronium	positronium
possesseur	köpare
possession	ägande
possibilité	möglighet
possible	möjlig
posséder	äga
post-apocalyptique	postapokalyptisk
post-vérité	postfaktisk
postal	postal
poste	post
poste électrique	ställverk
postmodernisme	postmodernism
postérieur	bakre
postérieurement	senare
pot	kanna
pot de chambre	nattkärl
pot de fleur	blomkruka
pot d’échappement	avgasrör
pot-de-vin	muta
potage	soppa
potager	köksträdgård
potamot	nate
potamot allongé	långnate
potamot crépu	krusnate
potamot dense	tätnate
potamot des Alpes	rosnate
potamot fluet	spädnate
potamot graminée	gräsnate
potamot luisant	grovnate
potamot nageant	gäddnate
potamot noueux	knutnate
potamot pectiné	borstnate
potamot perfolié	ålnate
potamot plantain	källnate
potamot à feuilles aigües	spetsnate
potamot à feuilles de renouée	bäcknate
potamot à tiges comprimées	bandnate
potassium	kalium
pote	polare
poteau	påle
potentille droite	styv fingerört
poterne	bakdörr
poterne logicielle	bakdörr
potorou	kängururåtta
pou	lus
poubelle	soptunna
poucave	skvallerbytta
pouce	tumme
poudre	pulver
poudre à canon	krut
pouillot boréal	nordsångare
pouillot de Bonelli	bergsångare
pouillot de Hume	bergstaigasångare
pouillot de Pallas	kungfågelsångare
pouillot de Schwarz	videsångare
pouillot fitis	lövsångare
pouillot siffleur	grönsångare
pouillot verdâtre	lundsångare
pouillot véloce	gransångare
pouillot à grands sourcils	taigasångare
poulain	föl
poulaine	galjon
poule	höna
poule d’eau	rörhöna
poulet	kyckling
poulie	block
pouliner	föla
poulpe	bläckfisk
pouls	puls
poumon	lunga
poupée	docka
pour	till
pour cent	procent
pour de vrai	på riktigt
pour mille	promille
pour toujours	för alltid
pourboire	dricks
pourceau	gris
pourcentage	procentandel
pourchasser	driva
pourga	snöstorm
pourquoi	varför
pourriel	spam
pourriture noble	ädelröta
poursuivre	åtala
pourtant	likväl
pourvoir	vädja
pourvu que	under förutsättning att
pousser	driva
poussette	barnvagn
poussin	kyckling
poussière	damm
poutre	balk
pouvoir	gitta
pouvoir d’achat	köpkraft
poème	dikt
poète	diktare
poésie	poesi
poétesse	poetissa
poétique	poetisk
poêle	stekpanna
poêle	kamin
pragmatique	pragmatisk
prairie	äng
praséodyme	praseodym
pratique	praktik
praxéologie	praxeologi
premier	första
premier arrivé, premier servi	först till kvarn
premier communiant	konfirmand
premier ministre	premiärminister
première	premiär
première dame	första dam
première personne	första person
prendre	köpa
prendre au sérieux	ta på allvar
prendre connaissance	ta kännedomen
prendre de l’avance	få försprång
prendre des renseignements	inhämta upplysningar
prendre du temps	ta tid
prendre en grippe	få motvilja mot
prendre en main	åta sig
prendre exemple	ta exempel
prendre feu	ta eld
prendre fin	ta slut
prendre froid	bli kall
prendre goût	finna behag
prendre la fuite	ta till flykten
prendre la main dans le sac	gripa på bar gärning
prendre le dessus	komma över
prendre le taureau par les cornes	ta tjuren vid hornen
prendre le temps comme il vient	ta dagen som den kommer
prendre l’air	hämta frisk luft
prendre parti	ta försvar
prendre place	ta plats
prendre position	gå i ställning
prendre possession	överta
prendre pour acquis	ta för givet
prendre sa retraite	gå i pension
prendre son temps	ta tid
prendre son élan	ta sats
prendre terre	landa
prendre une posture	inta en ställning
presbytie	ålderssynthet
presbytère	prästgård
prescience	förutvetande
prescrire	ordinera
presque	nästan
presque partout	nästan överallt
presqu’île	halvö
presse-agrume	citruspress
presse-ail	vitlökspress
presse-citron	citruspress
presse-papiers	urklipp
presse-purée	potatisstöt
presser	accelerera
pression	fatöl
pression atmosphérique	lufttryck
preuve	bevis
priapisme	priapism
prier	bedja
primaire	elementär
primevère	viva
primitivisme	primitivism
primordial	primordial
prince	furste
prince charmant	drömprins
prince de Galles	prins av Wales
princesse	prinsessa
principal	huvudsaklig
principal	rektor
principalement	huvudsakligen
principe	princip
printanier	vårig
printemps	vår
prion	valfågel
prion bleu	blåpetrell
prion colombe	ljushuvad valfågel
prion de Belcher	smalnäbbad valfågel
prion de Forster	brednäbbad valfågel
prion de Mac Gillivray	MacGillivrays valfågel
prion de Salvin	Salvins valfågel
prion de la Désolation	antarktisvalfågel
prion à bec épais	tjocknäbbad valfågel
prione tanneur	taggbock
priorité à droite	högerregel
prise de terre	jordning
prisme	prisma
prison	cell
prisonnier de guerre	krigsfånge
prisonnier politique	politisk fånge
privation	brist
privatisation	privatisering
privilège	privilegium
privilégier	privilegiera
privé	privat
prix	pris
prix Nobel	Nobelpris
prix de marché	marknadspris
prix de vente	salupris
prière	bön
proactif	proaktiv
probabilité	sannolikhet
probable	sannolik
probablement	troligtvis
probe	ärlig
probité	ärlighet
problème	problem
problématique	problematik
problématiser	problematisera
procaïne	prokain
prochain	förestående
prochile	läppbjörn
proclamer	utropa
procrastination	prokrastinering
procrastiner	prokrastinera
procris	kamgräsfjäril
procuration	fullmakt
procurer	föranleda
procureur	åklagare
procès	rättegång
procès-verbal	böter
procéder	processa
procédé	beteende
prodigalité	slösaktighet
prodigieux	synnerlig
prodiguer	slösa
produire	producera
produit	avkastning
produit cartésien	kartesisk produkt
produit chimique	kemikalie
produit scalaire	skalärprodukt
profanation	skändande
profaner	missbruka
professer	bekänna
professeur	professor
professeuse	lärarinna
profession	profession
profitable	fördelaktig
profiter	profitera
profond	djup
profondeur	djuphet
profus	ymnig
profusément	ymnigt
proférer	framsäga
progestérone	gulkroppshormon
programmateur	programmerare
programme	program
programmer	programmera
progressif	progressiv
progressivement	progressivt
progrès	framsteg
prohiber	förbjuda
proie	fångst
projecteur	projektor
projectile	projektil
projectionniste	biografmaskinist
projet	projekt
projeter	planera
prolactine	prolaktin
prolixe	långrandig
prolongation	förlängning
prolonger	förlänga
prolétaire	proletär
promesse	löfte
promettre	lova
promettre monts et merveilles	lova guld och gröna skogar
promotion	befordran
promouvoir	främja
prompteur	teleprompter
prométhéum	prometium
pronom	pronomen
pronom interrogatif	interrogativt pronomen
pronom possessif	possessivt pronomen
prononciation	uttal
pronostiquer	förutspå
propagande	propaganda
propagandiste	propagandist
propager	propagera
prophylactique	profylaktisk
prophète	profet
prophétesse	profetissa
prophétie autoréalisatrice	självuppfyllande profetia
prophétiser	profetera
propice	gynnsam
propofol	propofol
proportion	proportion
proportionnel	proportionell
proportionner	avpassa
proposer	föreslå
proposition	anbud
propre	ren
proprement dit	i egentlig bemärkelse
proprioception	proprioception
propriétaire terrien	jordägare
propriété	bondgård
propulsion	framdrivning
propédeutique	propedeutik
prorogatif	uppskjutande
prorogation	förlängning
proroger	uppskjuta
prosaïque	prosaisk
prose	prosa
prosodie	prosodi
prospérité	välstånd
prostitution	prostitution
prostituée	prostituerad
protactinium	protaktinium
protecteur	beskyddare
protection	skydd
protectionnisme	protektionism
protestantisme	protestantism
protestation	protest
prothèse	protes
prothèse dentaire	tandprotes
protium	protium
proto-basque	urbaskiska
proto-germanique	urgermanska
protocole	protokoll
protologisme	protologism
proton	proton
protoslave	samslaviska
prototype	urbild
protoxyde d’azote	dikvävemonoxid
protubérance	knöl
protéacées	proteaväxter
protéger	skydda
protéine	protein
protéome	proteom
proue	bog
prout	prutt
prouver	bevisa
provenir	härröra
provençal	provensalsk
proverbe	ordspråk
province	provins
provocateur	provokatör
provocation	utmaning
provoquer	egga
proxénète	hallick
prudence	försiktighet
prudent	försiktig
prune	plommon
pruneau	katrinplommon
prunelier	slån
prunellier	slån
prunier	plommonträd
prussien	preussisk
près	när
pré	äng
préamplificateur	förförstärkare
précaution	försiktighet
précautionneux	försiktig
précipitation	nederbörd
précis	precis
préciser	precisera
précoce	tidig
précocité	brådmogenhet
préconiser	förespråka
prédater	antedatera
prédicat	predikat
prédictibilité	förutsägbarhet
prédire	varsla
prédécesseuse	föregångarinna
prédéterminer	förbestämma
préembarquement	förbokning
préfixe	prefix
prégabaline	pregabalin
préhistorique	förhistorisk
préjudice	förlust
préjudiciable	olämpliga
préjugé	fördom
prélude	förspel
prémisse	premiss
prénom	förnamn
prénom composé	dubbelnamn
préparatif	beredelse
préparation	förberedelse
préparer	förbereda
prépayer	abonnera
prépondérant	avgörande
préposition	preposition
prépubère	prepubertal
prépuce	förhud
préromain	förromersk
présage	förebud
présager	förebåda
présence	närvaro
présence d’esprit	rådighet
présent	närvarande
présenter	presentera
présentisme	presentism
préservatif	kondom
préserver	bevara
présidence	presidentskap
président	president
présomptueux	inbilsk
présure	löpe
prétendant	friare
prétendre	eftersträva
prétentieux	pretentiös
prétexte	förevändning
prévalence	prevalens
prévenir	komma före
prêcher	predika
prêle des bois	skogsfräken
prêt	färdig
prêt étudiant	studielån
prêter	låna
prêtre	präst
prêtresse	prästinna
psaume	psalm
pseudo-science	pseudovetenskap
pseudonyme	pseudonym
psilocybine	psilocybin
psittacule	fikonpapegoja
psittacule de Desmarest	större fikonpapegoja
psittacule de Salvadori	Salvadoris fikonpapegoja
psittacule double-œil	dubbelögd fikonpapegoja
psittacule d’Edwards	Edwards fikonpapegoja
psittacule lunulé	guaiabero
psittacule à poitrine orange	orangebröstad fikonpapegoja
psittrichas de Pesquet	Pesquets papegoja
psychanalyse	psykoanalys
psychanalyste	psykoanalytiker
psychiatre	psykiater
psychiatrie	psykiatri
psychiatrique	psykisk
psychique	psykisk
psychisme	psyke
psychoanaleptique	psykoanaleptika
psychodynamique	psykodynamisk
psychologie	psykologi
psychologique	psykologisk
psychologue	psykolog
psychopathe	psykopat
psychopathique	psykopatisk
psychophysique	psykofysik
psychosocial	psykosocial
psychosomatique	psykosomatisk
psychothérapeute	psykoterapeut
psychothérapeutique	psykoterapeutisk
psychothérapie	psykoterapi
psychotique	psykotisk
ptilope	fruktduva
ptine	tjuvbagge
ptine australien	australisk tjuvbagge
ptine doré	gulhårig tjuvbagge
ptine voleur	vanlig tjuvbagge
ptéridophore	flaggbärare
ptérosaure	flygödla
puanteur	stank
public	publik
publicité	offentlighet
publier	offentliggöra
puce	loppa
puce chique	sandloppa
puce à ADN	mikromatris
puce à gènes	mikromatris
puceau	svendom
puceron	bladlus
puche	räkhåv
pucier	säng
pudeur	blyghet
puer	stinka
puffin	lira
puffin cendré	gulnäbbad lira
puffin cul-noir	californialira
puffin de Baillon	tropiklira
puffin de Bannerman	boninlira
puffin de Boyd	boydlira
puffin de Bryan	bryanlira
puffin de Buller	gråryggig lira
puffin de Heinroth	melanesisk lira
puffin de Hutton	huttonlira
puffin de Macaronésie	makaronesisk lira
puffin de Newell	Newells lira
puffin de Parkinson	mindre sotpetrell
puffin de Rapa	rapalira
puffin de Scopoli	scopolilira
puffin de Townsend	townsendlira
puffin de la Nativité	brunlira
puffin des Anglais	mindre lira
puffin des Baléares	balearisk lira
puffin des Galapagos	galápagoslira
puffin du Cap-Vert	kapverdelira
puffin du Westland	större sotpetrell
puffin d’Audubon	audubonlira
puffin fouquet	kilstjärtslira
puffin fuligineux	grålira
puffin gris	gråpetrell
puffin leucomèle	vithuvad lira
puffin majeur	större lira
puffin persique	arablira
puffin volage	nyazeelandlira
puffin yelkouan	medelhavslira
puffin à bec grêle	kortstjärtad lira
puffin à lunettes	glasögonpetrell
puffin à menton blanc	vithakad petrell
puffin à pieds pâles	ljusfotad lira
puffin à pieds roses	rosanäbbad lira
puisage	ösning
puisard	avledningsbrunn
puisatier	brunnsgrävare
puisement	ösning
puiser	ösa
puisque	eftersom
puissance	makt
puissance apparente rayonnée	effektiv utstrålad effekt
puissant	mäktig
puits	brunn
puits de mine	gruvschakt
pulicaire commune	loppört
pulicaire dysentérique	strandloppört
puma	puma
punaise	kryp
punir	straffa
punition	straff
punk	punk
pupille	pupill
pur	ren
pur-sang trotteur français	Franska travaren
purgatoire	skärseld
purifier	rena
purée	puré
putain	hora
putto	putto
puzzle	gåta
puéril	pueril
pycnogonide	havsspindel
pycnoptile compagnon	lotsfågel
pycnose	pyknos
pygargue à queue blanche	havsörn
pygmée	dvärg
pylore	pylorus
pyracantha	eldtorn
pyramide	pyramid
pyramide humaine	mänsklig pyramid
pyrite	pyrit
pyrochlore	pyroklor
pyrochre écarlate	stor kardinalbagge
pyrocumulus	pyrocumulus
pyrogallol	pyrogallol
pyrope	pyrop
pyrotechnie	pyroteknik
pyroxène	pyroxen
pyrrhocore	eldlus
pyrrhotite	magnetkis
pyrrol	pyrrol
pyrrole	pyrrol
python	pyton
pyxide	oblatask
pyxide arachnoïde	Madagaskarspindelsköldpadda
pyxide à queue plate	västlig spindelsköldpadda
pâle	glåmig
pâlir	urbleka
pâquerette	tusenskönor
pâquerette vivace	tusensköna
pâte	pasta
pâte de cacao	kakaomassa
pâte feuilletée	smördeg
pâtis	hage
pâtisserie	bakverk
pâturage	äng
pâture	äng
pâturer	beta
pâté impérial	vårrulle
père	fader
père Noël	jultomte
père de famille	familjefader
père et mère	föräldrar
pécher	synda
péché	synd
péché originel	arvsynd
pédagogie	pedagogik
pédagogiquement	pedagogiskt
pédale	pedal
pédalo	trampbåt
pédant	pedantisk
pédiatre	barnläkare
pédiatrie	pediatrik
pédiculaire de Laponie	lappspira
pédiluve	fotbad
pédophile	pedofil
pédophilie	pedofili
pédé	bög
pédéraste	pederast
pédérastie	pederasti
péjoratif	pejorativ
pélagianisme	pelagianism
pélagien	pelagian
pélagien	pelagiansk
pélagique	pelagisk
pélican	pelikan
pélican blanc	vit pelikan
pélican frisé	krushuvad pelikan
pélican à bec tacheté	fläcknäbbad pelikan
pélobate cultripède	spansk lökgroda
pélodyte ponctué	prickiga slamdykaren
pénalisation	prickning
pénectomie	penektomi
pénible	pinsam
péniche	pråm
péninsule	halvö
péninsule Arabique	Arabiska halvön
péninsule Ibérique	Iberiska halvön
pénis	penis
pénitent	biktbarn
pénétrant	skarp
pépin	korn
péquenaud	lantis
péricarde	hjärtsäck
péricliter	vara på fallrepet
périhélie	perihelium
périlleux	farlig
périlymphe	perilymfa
périnée	mellangård
période	period
périodicité	periodicitet
périodique	periodisk
périodique	tidskrift
périodiquement	periodiskt
périphraser	perifrasera
périphérie	periferi
périr	förgås
périssable	förgänglig
péristaltique	peristaltisk
péristome	munfält
péristyle	peristyl
péronisme	peronism
pérovskite	perovskit
pétale	kronblad
pétard	smällare
péter	prutta
pétition	petition
pétrifier	petrifiera
pétrir	knåda
pétrisseur	degmaskin
pétrochimie	petrokemi
pétrole	petroleum
pétroleur	petrolör
pétroleuse	petrolös
pêche	persika
pêcher	fiska
pêcher en eau trouble	fiska i grumligt vatten
pêcheur	fiskare
pêle-mêle	huller om buller
pêne	låskolv
pôle	pol
pôle Nord	Nordpolen
pôle céleste	himmelspol
pôle magnétique	magnetpol
quad	fyrhjuling
quadrant	kvadrant
quadratique	tetragonalt
quadrature	kvadratur
quadrilatère	fyrhörning
quadrillion	kvadriljon
quadruple	fyrdubbel
quadrupler	fyrdubbla
quai	kaj
qualité	kvalitet
quand le chat n’est pas là, les souris dansent	när katten är borta, dansar råttorna på bordet
quand les poules auront des dents	när grisar flyger
quand on parle du loup, on en voit la queue	när man talar om trollen så står de i farstun
quantité	mängd
quantité de lumière	ljusenergi
quantité de matière	substansmängd
quarantaine	karantän
quarante	fyrtio
quarante-deux	fyrtiotvå
quark	kvark
quark strange	särkvark
quart de finale	kvartsfinal
quart d’heure académique	akademisk kvart
quartette	kvartett
quartier	kvarter
quartier général	högkvarter
quartz	kvarts
quartz fumé	rökkvarts
quasar	kvasar
quasi	nästan
quasi-frère	styvbror
quasi-sœur	styvsyster
quasiment	nästan
quaternion	kvaternion
quatorze	fjorton
quatre	fyra
quatre cent quatre	fyrahundraochfyra
quatre-vingt-dix	nittio
quatre-vingt-dix-neuf	nittionio
quatre-vingt-dixième	nittionde
quatre-vingts	åttio
qubit	kvantbit
que	som
quechua	quechua
quel	vad
quel	vad
quelque chose	något
quelque part	någonstans
quelquefois	ibland
quenette	honungsbär
quenettier	honungsbär
querelle	gräl
questeuse	kvestor
question	fråga
questrice	kvestor
quetsche	krikon
queue	svans
queue-de-gaze	emusmyg
queue-de-gaze du Sud	sydlig emusmyg
queue-de-gaze du mallee	brunkronad emusmyg
queue-de-gaze à calotte rousse	rostkronad emusmyg
queue-de-scorpion	Skorpionkronill
queutard	kåtbock
qui	vem
