-aktig	-âtre
stjärna	astérisque
stjärnbaneret	bannière étoilée
stjärnbild	constellation
stjärnflocka	grande astrance
stjärnhop	amas stellaire
stjärnkikare	télescope
stjärnklar	étoilé
stjärnvind	vent stellaire
stjärt	cul
stjärtand	canard pilet
stjärtgosse	giton
stjärtmes	mésange à longue queue
stjärtskåra	raie des fesses
sto	jument
stock	rondin
stockholmare	Stockholmois
stockholmisera	stockholmiser
stockholmsk	stockholmois
stockros	rose trémière
stoff	matière
stoft	poussière
stoisk	stoïque
stol	chaise
stola	étole
stolle	imbécile
stollig	fou
stolpe	pal
stolpiller	suppositoire
stolpskott	poteau
stolt	fier
stolt	fièrement
stolthet	fierté
stompera	estomper
stoppa	bourrer
stoppkodon	codon d’arrêt
stor	grand
stor tagetes	rose d'Inde
storartad	magnifique
storasyster	grande sœur
storebror	grand frère
storhertig	grand-duc
storhertigdöme	grand-duché
stork	cigogne
storlek	taille
storligen	grandement
storm	tempête
storm i ett vattenglas	tempête dans un verre d'eau
stormakt	grande puissance
stormfågel	pétrel
stormhatt	aconit
storskarv	grand cormoran
storskrake	harle bièvre
storslalom	slalom géant
storstad	métropole
storstadsområde	aire urbaine
storsäljare	bestseller
stortrapp	outarde barbue
stortå	gros orteil
strabism	strabisme
straff	peine
straffa	punir
straffspark	penalty
strama	tendre
strand	plage
stranda	échouer
strandvial	gesse maritime
strategi	stratégie
strategisk	stratégique
strategiskt	stratégiquement
stratosfär	stratosphère
streck	trait
streckplatta	réticule
strejk	grève
stress	stress
stressa	stresser
strid	combat
strida	être opposé
stridsflygplan	avion de combat
stridslysten	belliqueux
stridsrop	cri de guerre
stridsslaga	fléau d’armes
stridsspets	ogive
stridsvagn	char
stridsyxa	hache de guerre
stridszon	zone de combat
striktur	stricture
strof	strophe
struktur	structure
strukturell	structurel
struma	goitre
strumpa	chaussette
strumpbyxor	collant
strumpebandssnok	couleuvre rayée
strunta i	se ficher
struphuvud	larynx
struts	autruche
stryka	repasser
strykerska	repasseuse
strykjärn	fer à repasser
stryknin	strychnine
strypa	étrangler
sträcka	segment
sträckläsa	bouquiner
sträckning	tracé
sträng	corde
stränginstrument	instrument à cordes
sträv	rêche
strävbåge	arc-boutant
strävpelare	contrefort
strå	paille
stråhatt	chapeau de paille
stråke	archet
stråla	rayonner
strålande	magnifique
strålben	radius
stråle	rayon
strålkastare	phare
strålning	radiation
strö	répandre
ströbröd	chapelure
ström	courant
strömand	arlequin plongeur
strömavbrott	coupure de courant
strömbrytare	interrupteur
strömlöja	ablette biponctuée
strösocker	sucre semoule
strössel	vermicelles
ströva	errer
stubbe	souche
student	étudiant
studera	étudier
studerande	étudiant
studie	étude
studielån	prêt étudiant
studieskuld	dette étudiante
studium	études
studs	rebond
studsa	rebondir
studsboll	balle rebondissante
studsmatta	trampoline
stuga	cabane
stulen	volé
stum	muet
stumfilm	cinéma muet
stund	moment
stunda	approcher
stundlig	continuel
stundom	parfois
stunk	nichoir
stupa	tomber
stuprör	descente
stursk	cabochard
stuveriarbetare	stevedore
stycke	morceau
stygg	vilain
styggelse	abomination
stylta	échasse
styltsnäppa	bécasseau à échasses
stympa	mutiler
styra	diriger
styrbord	tribord
styrelse	direction
styren	styrène
styrka	force
styrka	confirmer
styrketräning	musculation
styrman	barreur
styv	raide
styvbror	quasi-frère
styvfader	beau-père
styvna	text=se raidir
styvsint	tenace
styvson	beau-fils
städ	enclume
städa	nettoyer
städsegrön	sempervirent
ställa	placer
ställa in	annuler
ställa upp	aider
ställning	position
stäm	vandoise
stämma	intenter un procès
stämning	assignation
stämpelklocka	pointeuse
stämskruv	cheville
ständigt	constamment
stänga	fermer
stängd	fermé
stängsel	clôture
stänkskärm	garde-boue
stäpp	steppe
stäpphök	busard pâle
stäppörn	aigle des steppes
stärkelse	amidon
stätta	échalier
stå	se tenir
ståhej	brouhaha
stål	acier
stålar	fric
stålbröllop	noces de corail
ståltråd	fils en acier
stålull	paille de fer
stålverk	aciérie
stånd	gaule
ståndaktig	constant
ståndare	étamine
ståndpunkt	point de vue
stång	barre
ståt	faste
stödhjul	roulette
stödja	soutenir
stökig	désordonné
stöld	vol
stöpa	fondre
stör	esturgeon
störa	déranger
största gemensamma delare	plus grand commun diviseur
störta	renverser
stöta	pousser
stöta på	croiser
stötdämpare	amortisseur
stövel	botte
subarktisk	subarctique
subjekt	sujet
subjektivitet	subjectivité
subkutan	sous-cutané
sublim	sublime
sublimering	sublimation
subskrajba	s’abonner
substans	substance
substansmängd	quantité de matière
substantiv	substantif
substantivera	substantiver
substantivering	substantivation
substantivisk	substantif
substitut	substitut
substitution	substitution
subtil	subtil
subtilitet	subtilité
subtrahera	soustraire
subtraktion	soustraction
subvention	subvention
subversiv	subversif
subversivt	subversivement
succé	succès
suck	soupir
sucka	soupirer
suckatcitron	cédrat
sudanes	Soudanais
sudanesisk	soudanais
sudda	faire la noce
sudoku	sudoku
suffix	suffixe
suffragett	suffragette
sufism	sufisme
suga	sucer
suga på ramarna	manger de la vache enragée
sugga	truie
suggerera	suggérer
sugmärke	sucette
sugrör	paille
sulfat	sulfate
sulfid	sulfure
sulfit	sulfite
sultan	sultan
sultanmes	mésange sultane
sumeriska	sumérien
summa	somme
sumpkrokodil	crocodile des marais
sund	sain
sund	détroit
sunt förnuft	bon sens
supa	picoler
superdator	superordinateur
superhjältinna	super-héroïne
supermakt	puissance mondiale
supernova	supernova
superponera	superposer
superstitiös	superstitieux
superstjärna	superstar
supination	supination
supinum	supin
suppletiv	supplétif
suppuration	suppuration
supraledare	supraconducteur
supremati	suprématie
suprematism	suprématisme
sur	acide
surdeg	levain
surfa	surfer
surfbräda	planche de surf
surfplatta	tablette
surhet	acidité
surimi	surimi
surinamesisk	surinamien
surjektion	surjection
surjektiv	surjectif
surra	vrombir
surrealism	surréalisme
surrogatmamma	mère porteuse
sus	bruissement
sushi	sushi
suspendering	suspension
suspension	suspension
suspensoar	suspensoir
suspicion	soupçon
suspiciös	suspicieux
sutare	tanche
sutenör	souteneur
suterräng	souterrain
sutur	suture
suverän	souverain
suverän	souverain
suveränitet	souveraineté
suzerän	suzerain
suzeränitet	suzeraineté
svabba	serpiller
svag	fragile
svaghet	faiblesse
svaja	flotter
sval	frais
svala	hirondelle
svalg	gouffre
svalka	fraîcheur
svalka	rafraîchir
svalna	refroidir
svamp	champignon
svampar	Fungi
svampinfektion	mycose
svan	cygne
svans	queue
svar	réponse
svara	répondre
svart	noir
svart hål	trou noir
svart kopparoxid	oxyde cuivrique
svart lista	liste noire
svarta tavlan	tableau noir
svarthakedopping	grèbe esclavon
svarthalsad dopping	grèbe à cou noir
svarthalsad trast	grive à gorge noire
svartjobb	travail au noir
svartjord	tchernoziom
svartlista	blacklister
svartmaskad hackspett	pic à front jaune
svartmes	mésange noire
svartna	noircir
svartpannad törnskata	pie-grièche à poitrine rose
svartpeppar	poivre noir
svartrot	scorsonère
svartsjuk	jaloux
svartsnäppa	chevalier arlequin
svartvit flugsnappare	gobe-mouche noir
svarvare	tourneur
svastika	svastika
svavel	soufre
svaveldiklorid	dichlorure de soufre
svaveldioxid	dioxyde de soufre
svavelsyra	acide sulfurique
svaveltrioxid	trioxyde de soufre
svecism	suécisme
svek	trahison
svendom	pucelage
svensexa	enterrement de vie de garçon
svensk	suédois
svensk	Suédois
svenska	suédois
svensklärare	professeur de suédois
svetsa	souder
svetsare	soudeur
svetsning	soudage
svett	sueur
svettas	suer
svida	brûler
svika	défaillir
svimma	évanouir
svinamarant	amarante réfléchie
svindel	arnaque
svindlande	vertigineux
svineri	coup dégueulasse
svinmakak	macaque à queue de cochon
svinstia	porcherie
svordom	gros mot
svägerska	belle-sœur
svälja	avaler
svälla	gonfler
svält	famine
svälta	mourir de faim
svämma över	inonder
svänga	tourner
svänghjul	volant
svära	jurer
svärd	épée
svärdfisk	espadon
svärdkrissla	inule à feuilles en glaive
svärdotter	belle-fille
svärdsknapp	pommeau
svärfar	beau-père
svärförälder	beau-parent
svärm	essaim
svärma	essaimer
svärmor	belle-mère
svärmors tunga	couteau
svärson	gendre
sväva	flotter
svävare	aéroglisseur
svävning	battement
svåger	beau-frère
svår	sérieux
svårighet	difficulté
svårligen	difficilement
svårmod	mélancolie
svårmodig	mélancolique
swahili	swahili
swahilisk	swahili
sweatshirt	sweatshirt
sy	coudre
syd	sud
sydafrikan	Sud-Africain
sydafrikansk	sud-africain
sydafrikanska	Sud-Africaine
sydeuropeisk	sud-européen
sydkoreansk	sud-coréen
sydkust	côte méridionale
sydlig jättestormfågel	pétrel géant
sydnäktergal	rossignol philomèle
sydost	sud-est
sydsudanesisk	sud-soudanais
sydväst	suroît
syfilis	syphilis
syfte	intention
sykofant	sycophante
sylf	sylphe
sylfid	sylphide
syllogism	syllogisme
sylt	confiture
sylta	boui-boui
symaskin	machine à coudre
symbol	symbole
symbolisera	symboliser
symbolisk	symbolique
symbolism	symbolisme
symfoni	symphonie
symfoniorkester	orchestre symphonique
symfonisk	symphonique
symmetri	symétrie
symmetriaxel	axe de symétrie
symmetrisk	symétrique
symmetrisk matris	matrice symétrique
sympati	sympathie
sympatisera	sympathiser
sympatisör	sympathisant
symposium	symposium
symtom	symptôme
syn	vision
synagoga	synagogue
synaps	synapse
synas	sembler
synd	dommage
synd	péché
synda	pécher
syndaflod	déluge
syndare	pécheur
synderska	pécheresse
syndig	coupable
syndrom	syndrome
synekdoke	synecdoque
synestesi	synesthésie
synkop	syncope
synkope	syncope
synkron	synchrone
synkronisera	synchroniser
synkronisering	synchronisation
synkronisk	synchronique
synkronism	synchronisme
synlig	visible
synnerligen	particulièrement
synod	synode
synodal	synodal
synonym	synonyme
synonym	synonyme
synpunkt	point de vue
synskhet	clairvoyance
syntes	synthèse
syntetisk	synthétique
synthesizer	synthétiseur
synvilla	illusion d’optique
synvinkel	point de vue
syra	acide
syrak	vénère
syre	oxygène
syresätta	oxygéner
syrier	Syrien
syrisk	syrien
syriska	Syrienne
syrlig	acidulé
syrra	frangine
syskon	adelphe
sysselsatt	occupé
sysselsätta	employer
sysselsättning	occupation
sysslolös	oisif
sysslolöshet	oisiveté
system	système
systematik	systématique
systematisk	systématique
systematiskt	systématiquement
systemisk	systémique
syster	sœur
systerdotter	nièce
systerskap	sororité
systerson	neveu
säck	sac
säckpipa	cornemuse
säckväv	toile de jute
säd	grain
sädesslag	céréale
sädesärla	bergeronnette grise
säga	dire
säga emot	contredire
säga upp	licencier
säker	sûr
säkerhet	sûreté
säkerhetisering	sécuritisation
säkerhetsbälte	ceinture de sécurité
säkerhetslucka	faille de sécurité
säkerligen	sûrement
säl	phoque
sälg	saule marsault
sälja	vendre
sälja skinnet innan björnen är skjuten	vendre la peau de l'ours
säljare	vendeur
säll	heureux
sällan	rarement
sällskapsdjur	animal domestique
sällsynt	rare
sända	diffuser
sändare	émetteur
säng	lit
sänka	descendre
sänka skepp	bataille navale
särbo	concubine
särdrag	caractéristique
särlingskonst	art brut
särskild	spécial
särskilja	distinguer
särskilt	particulièrement
säsong	saison
sätta	asseoir
sätta in	déposer
sätta käppar i hjulet	mettre des bâtons dans les roues
sätta på	baiser
sätta stopp	mettre un terme
sättpotatis	pomme de terre de semence
sävlig	flegmatique
så	semer
så klart	bien sûr
såg	scie
såga	scier
sågfisk	poisson-scie
sågtak	shed
sågverk	scierie
således	donc
sålla	cribler
sång	chant
sångare	chanteur
sångerska	chanteuse
sånglärka	alouette des champs
sångtext	paroles
såpa	savon
såpnejlika	saponaire officinale
såpopera	feuilleton
sår	blessure
såra	blesser
sårbar	vulnérable
sårbarhet	vulnérabilité
sås	sauce
såsom	comme
såsom	comme
såvitt	autant que
söder	sud
södra polcirkeln	cercle polaire antarctique
söka	chercher
sökare	viseur
sökmotor	moteur de recherche
sökväg	chemin
söla	traîner
sömmerska	couturière
sömn	sommeil
sömnapné	apnée du sommeil
sömngångare	somnambule
sömnig	somnolent
sömnlöshet	insomnie
sömntuta	marmotte
söndag	dimanche
söndagsbilist	conducteur du dimanche
söndagsfin	endimanché
sönder	cassé
söndring	dissension
sörja	porter le deuil
söt	mignon
sötma	douceur
sötpotatis	patate douce
sötvatten	eau douce
sötvattensfisk	poisson d’eau douce
sötvattenskrokodil	crocodile de Johnston
söva	endormir
ta	passer
ta fram	produire
ta för givet	prendre pour acquis
ta in	descendre
ta sig an	aborder
ta sig där bak	aller se faire foutre
ta sönder	casser
ta tjuren vid hornen	prendre le taureau par les cornes
tabell	table
tablett	comprimé
tabu	tabou
tachyon	tachyon
tack	merci
tacka	brebis
tacka	remercier
tackla	tacler
tackling	tacle
tacksam	reconnaissant
tacksamhet	gratitude
tadzjik	Tadjik
tadzjikisk	tadjik
tadzjikiska	tadjik
tafatt	gauchement
taffel	table
tafofobi	taphophobie
tafonomi	taphonomie
tafsa	peloter
tagen	pris
tagg	épine
taggagam	diable cornu
taggmoln	nuage de mots clefs
taggtråd	fil de fer barbelé
tahitier	Tahitien
tahitisk	tahitien
tahitiska	tahitien
taiga	taïga
taiwanes	Taïwanais
taiwanesisk	taïwanais
tak	toit
takfönster	abat-jour
taklampa	plafonnier
takskägg	avant-toit
takspråk	langue-toit
takt	tact
taktegel	tuile
taktik	tactique
taktiker	tacticien
taktil	tactile
taktisk	tactique
takykardi	tachycardie
tal	nombre
tala	parler
talang	talent
talangfull	talentueux
talare	locuteur
talarstol	pupitre
talesman	porte-parole
talföljd	suite
talför	bavard
talförhet	loquacité
talg	suif
talgoxe	mésange charbonnière
talisman	talisman
tall	pin
tallium	thallium
tallkotte	pomme de pin
tallrik	assiette
tallskog	pinède
talltita	mésange boréale
talmudisk	talmudique
talong	pioche
talrik	nombreux
talteori	théorie des nombres
taltrast	grive musicienne
tam	apprivoisé
tamburin	tambourin
tamget	chèvre domestique
tamkatt	chat domestique
tand	dent
tandborste	brosse à dents
tandem	tandem
tandemalj	émail
tandemcykel	tandem
tandkräm	dentifrice
tandkött	gencive
tandläkare	dentiste
tandlös	édenté
tandpetare	cure-dent
tandröta	carie dentaire
tandtråd	fil dentaire
tandvall	crête alvéolaire
tangens	tangente
tangent	touche
tangentbord	clavier
tank	réservoir
tankbil	camion-citerne
tanke	idée
tankegång	raisonnement
tankekarta	carte heuristique
tanker	navire-citerne
tankesmedja	groupe de réflexion
tanklös	irréfléchi
tanklöshet	étourderie
tankspridd	distrait
tankstreck	tiret
tant	tante
tantal	tantale
tanzanier	Tanzanien
tanzanisk	tanzanien
taoism	taoïsme
tapet	tapisserie
tapetsera	tapisser
tapir	tapir
tapp	cône
tappa	perdre
tapper	brave
taramosalata	tarama
tarantism	tarentisme
tarera	tarer
tarm	intestin
tasmansk	tasmanien
tasmansk djävul	diable de Tasmanie
tasmansk val	tasmacète de Shepherd
tass	patte
tassa	marcher à pas de loup
tatarfalk	faucon sacre
tatariska	tatare
tataupatinamo	tinamou tataupa
tatuera	tatouer
tatuerad	tatoué
tatuerare	tatoueur
tatuering	tatouage
tatueringsapparat	dermographe
tauon	tau
taurin	taurine
tavla	tableau
taxameter	taximètre
taxi	taxi
taxibil	taxi
taxidermist	taxidermiste
taxiförare	chauffeur de taxi
taxon	taxon
taxonomi	taxinomie
taxonomisk	taxonomique
tchadisk	tchadien
te	thé
teater	théâtre
teaterpjäs	pièce de théâtre
tebibyte	tébibyte
teblad	feuille de thé
tecken	signe
teckenspråk	langue des signes
teckna	dessiner
tecknad serie	bande dessinée
tecknare	dessinateur
teckning	dessin
teckningslärare	professeur de dessin
teddy	teddy
tegel	brique
tegelsten	brique
teism	théisme
tejp	ruban adhesif
tekanna	théière
teknik	technologie
teknikhistoria	histoire des techniques
teknisk	technique
tekniskt	techniquement
teknofobi	technophobie
teknokrati	technocratie
teknologi	technologie
teknologisk	technologique
tekopp	tasse à thé
tektonik	tectonique
tektonisk	tectonique
telefon	téléphone
telefonautomat	téléphone
telefonavlyssning	écoute téléphonique
telefonera	téléphoner
telefonförbindelse	communication téléphonique
telefoni	téléphonie
telefonisk	téléphonique
telefonkatalog	annuaire téléphonique
telefonkiosk	cabine téléphonique
telefonnummer	numéro de téléphone
telefonsamtal	conversation téléphonique
telefonsex	téléphone rose
telefonsvarare	répondeur
telegraf	télégraphe
telegrafera	télégraphier
telegrafi	télégraphie
telekinesi	télékinésie
teleobjektiv	téléobjectif
teleologisk	téléologique
telepati	télépathie
teleportera	téléporter
teleprompter	téléprompteur
teleskop	télescope
teleskopord	mot-valise
televisera	téléviser
television	télévision
televisionsapparat	téléviseur
tellur	tellure
tellurisk	tellurique
telugu	télougou
tema	thème
temapark	parc à thème
tempel	temple
tempelblomma	frangipanier commun
temperatur	température
temperaturreglering	thermorégulation
tempo	vitesse
temporär	temporaire
tempus	temps
tendens	tendance
tendentiös	tendancieux
tenge	tenge
tenn	étain
tennbröllop	noces d’étain
tenndioxid	dioxyde d'étain
tenness	tennesse
tennisboll	balle de tennis
tennisspelare	tennisman
tenntetraklorid	tétrachlorure d'étain
tenor	ténor
tentakel	tentacule
tentativ	provisoire
teocentrisk	théocentrique
teocentrism	théocentrisme
teodolit	théodolite
teokrati	théocratie
teolog	théologien
teologi	théologie
teologisk	théologique
teorem	théorème
teoretiker	théoricien
teoretisera	théoriser
teoretisk	théorique
teoretiskt	théoriquement
tepåse	sachet de thé
tequila	tequila
terabyte	térabyte
terahertz	térahertz
terapeutisk	thérapeutique
terapi	thérapie
terbium	terbium
terebint	térébinthe
tereksnäppa	chevalier bargette
term	terme
termin	semestre
termisk	thermique
termit	termite
termodynamik	thermodynamique
termodynamisk	thermodynamique
termometer	thermomètre
termos	thermos
termosfär	thermosphère
ternär	ternaire
terpentin	térébenthine
terrakotta	terre cuite
terrass	terrasse
terrassvärmare	parasol chauffant
terrier	terrier
territorialvatten	eaux territoriales
territoriell	territorial
territorium	territoire
terrorattack	attaque terroriste
terrorisera	terroriser
terrorism	terrorisme
terrorist	terroriste
terräng	terrain
tersett	tercet
terzin	tercet
tes	thèse
tesaurus	thésaurus
tesil	passoire à thé
tesked	cuillère à café
teskedsmått	cuillère à café
tesla	tesla
test	essai
testa	essayer
testamente	testament
testamentera	léguer
testator	testateur
testikel	testicule
testosteron	testostérone
tetraeder	tétraèdre
tetum	tétoum
tevärmare	couvre-théière
tex	tex
texan	Texan
texansk	texan
text	texte
textil	textile
textilfiber	fibre textile
textmeddelande	texto
thai	thaï
thailändare	Thaïlandais
thailändsk	thaïlandais
thailändska	Thaïlandaise
thanatofobi	thanatophobie
thermidorist	Thermidorien
thinner	diluant à peinture
tibetan	Tibétain
tibetanska	tibétain
tick	tic-tac
ticka	faire tic-tac
tid	temps
tidigare	plus tôt
tidigt	tôt
tidlös	intemporel
tidning	journal
tidningsartikel	article de presse
tidningspapper	papier journal
tidningsurklipp	coupure
tidsdilatation	dilatation du temps
tidsenhet	unité de temps
tidsförkortning	accéléré
tidskrift	revue
tidsresa	voyage dans le temps
tidszon	fuseau horaire
tidtabell	horaire
tidvatten	marée
tidvattenkraft	force de marée
tiga	taire
tiger	tigre
tigerhaj	requin-tigre
tigerkaka	marbré
tigerlilja	lis tigré
tigga	mendier
tiggare	mendiant
tiggeri	mendicité
tiggerska	mendiante
tigrinna	tigresse
tik	chienne
tilde	tilde
till	à
till exempel	par exemple
till fots	à pied
till fullo	pleinement
till och med	jusqu'à ... inclus
till salu	à vendre
till skillnad från	contrairement à
tillaga	préparer
tillbaka	de retour
tillbehör	accompagnement
tillbringa	passer
tillflykt	refuge
tillfreds	content
tillfredsställa	satisfaire
tillfredsställande	satisfaisant
tillfredsställelse	satisfaction
tillfriskna	remettre
tillfrisknande	convalescence
tillfälle	occasion
tillfällig	temporaire
tillfällighet	coïncidence
tillförlitlig	certain
tillgiven	dévoué
tillgivenhet	dévouement
tillgjord	artificiel
tillgänglig	accessible
tillgänglighet	accessibilité
tillgång	accès
tillhjälp	aide
tillhöra	appartenir
tillintetgöra	anéantir
tillit	confiance
tillkännage	annoncer
tillrop	appel
tillräcklig	suffisant
tillråda	conseiller
tills	jusqu'à ce que
tills	jusqu'à
tillsammans	ensemble
tillsats	assaisonnement
tillsluta	fermer
tillstyrka	appuyer
tillstå	avouer
tillstånd	état
tillsätta	ajouter
tilltala	aborder
tillvaro	existence
tillverka	fabriquer
tillverkning	fabrication
tillverkningsland	pays de fabrication
tillväxt	croissance
tillägg	complément
tillägga	ajouter
tillägna	dédier
tillämpa	appliquer
tillämpad matematik	mathématiques appliqueées
tillåta	permettre
tillåtelse	permission
timglas	sablier
timid	timide
timjan	thym
timlig	temporel
timme	heure
timmerstuga	cabane
timvisare	aiguille
tina	casier
tina	décongeler
tinning	tempe
tinnitus	acouphène
tiokamp	décathlon
tionde	dîme
tiondel	dixième
tiotal	dizaine
tips	pronostic
tipsa	informer
tirad	tirade
tisdag	mardi
tissla	faire des commérages
tistel	chardon
titan	titane
titannitrid	nitrure de titane
titel	titre
titta	regarder
tja	ben
tjeck	Tchèque
tjeckisk	tchèque
tjeckiska	Tchèque
tjeckoslovakisk	tchécoslovaque
tjej	meuf
tjejkompis	amie
tjetjen	Tchétchène
tjetjensk	tchétchène
tjetjenska	tchétchène
tjock	gros
tjockis	gros lard
tjocktarm	gros intestin
tjuder	entrave
tjugondel	vingtième
tjuktjer	Tchouktche
tjuktjiska	tchouktche
tjur	taureau
tjura	faire la gueule
tjurfäktning	corrida
tjusa	charmer
tjusare	charmeur
tjuv	voleur
tjuvasjisk	tchouvache
tjuvasjiska	Tchouvache
tjuvjakt	braconnage
tjäder	grand tétras
tjäldjup	limite du gel
tjäle	gel
tjäna	gagner
tjänare	domestique
tjänarinna	servante
tjänlig	utile
tjänst	emploi
tjänstefolk	domestiques
tjänstgöring	service
tjära	goudron
toa	käymälä
toalett	toilettes
toalettborste	brosse de toilettes
toalettpapper	papier toilette
toalettrulle	rouleau de papier toilette
tobak	tabac
tobaksrök	fumée de tabac
toffla	pantoufle
tofslärka	cochevis huppé
tofsmes	mésange huppée
tofsvipa	vanneau huppé
toga	toge
togoles	Togolais
togolesisk	togolais
tok	fou
tok pisin	tok pisin
tokig	fou
tolerans	tolérance
tolk	interprète
tom	vide
tomat	tomate
tomatpuré	purée de tomates
tombak	tombac
tomhet	vide
tomma mängden	ensemble vide
tomrum	vide
tomt	terrain
ton	ton
tonande	sonore
tonart	tonalité
tonfisk	thon rouge de Méditerranée
tonganska	tongien
tonhöjd	hauteur
tonika	tonique
tonnage	tonnage
tonsur	tonsure
tonsättare	compositeur
tonår	adolescence
tonåring	adolescent
topas	topaze
topologi	topologie
topologisk	topologique
topologiskt	topologiquement
topologiskt rum	espace topologique
toponym	toponyme
topp	sommet
toppkonsument	superprédateur
toppmöte	sommet
tordmule	petit pingouin
toreador	toréador
torg	place du marché
torium	thorium
torka	aridité
torka	sécher
torkad	séché
torn	épine
tornado	tornade
tornera	jouter
tornfalk	faucon crécerelle
tornseglare	martinet noir
tornuggla	chouette effraie
torped	torpille
torr	sec
torrboll	rabat-joie
torrperiod	sècheresse
torrtid	saison sèche
torsdag	jeudi
torsk	morue
torso	torse
tortera	torturer
tortyr	torture
torv	tourbe
torvmosse	tourbière
toskansk	toscan
totalitarism	totalitarisme
totalitet	totalité
totalitär	totalitaire
toxicitet	toxicité
toxikologi	toxicologie
toxikologisk	toxicologique
toxisk	toxique
tradition	tradition
traditionalism	traditionalisme
traditionell	traditionnel
traditionellt	traditionnellement
trafik	trafic
trafikljus	feu tricolore
trafikolycka	accident de la route
trafikräkning	recensement de la circulation
trafikstockning	embouteillage
tragedi	tragédie
tragik	tragique
tragikomedi	tragi-comédie
tragikomisk	tragi-comique
tragisk	tragique
trailer	bande annonce
trakassera	embêter
trakasseri	harcèlement
trakt	région
traktat	traité
traktor	tracteur
traktorförare	tractoriste
traké	trachée
trampa	pédale
trampa	pédaler
trampkvarn	roue de carrier
trampolin	trampoline
trams	bêtises
trana	grue
tranbär	canneberge
tranbärssaft	jus de canneberge
transatlantisk	transatlantique
transformation	transformation
transformator	transformateur
transistor	transistor
transistorisera	transistoriser
transitiv	transitif
transitivera	transitiver
transitivt verb	verbe transitif
transkribera	transcrire
transkription	transcription
transmigration	transmigration
transparens	transparence
transpersonell	transpersonnel
transpirera	transpirer
transplantation	transplantation
transplantera	transplanter
transponera	transposer
transport	transport
transportabel	transportable
transportera	transporter
transportmedel	moyen de transport
transposition	transposition
transsexualitet	transsexualité
transsexuell	transsexuel
transsonisk	transsonique
transvestit	travesti
trapets	trapèze
trappa	escalier
trappavsats	palier
trapphus	escalier
trappsteg	marche
trasig	cassé
trasslig	confus
trastsångare	rousserolle turdoïde
tratt	entonnoir
trauma	trauma
traumatologi	traumatologie
trava	trotter
trave	tas
travertin	travertin
travestera	travestir
trea	trois-pièces
trebarnsfamilj	famille de trois enfants
tredje part	tierce partie
tredje person	troisième personne
tredje världen	tiers-monde
tredjedel	tiers
tredjegradsekvation	équation du troisième degré
tredjegradspolynom	polynôme du troisième degré
tredubbel	triple
treenighet	Trinité
trehjuling	tricycle
trekant	plan à trois
trekvart	trois-quarts
trema	tréma
tremänning	cousin issu de germain
trepanera	trépaner
trettiotal	trentaine
trettioåriga kriget	guerre de Trente Ans
trettondag	Épiphanie
tretåig	tridactyle
treudd	trident
treva	tâtonner
trevlig	gentil
trevlig helg	bon week-end
triangel	triangle
triangulär	triangulaire
triathlon	triathlon
triceratops	tricératops
trigga	déclencher
triglycerid	triglycéride
trigonometri	trigonométrie
trigonometrisk	trigonométrique
trigonometrisk funktion	fonction trigonométrique
trikolor	tricolore
trikå	tricot
trilateral	trilatéral
triljard	trilliard
triljon	trillion
trilla	tomber
trilobit	trilobite
trilogi	trilogie
trimetylamin	triméthylamine
trinatriumcitrat	citrate de sodium
trinatriumfosfat	phosphate de sodium
trinidadisk	trinidadien
trio	trio
triod	triode
trios	triose
triploid	triploïde
tripp	excursion
trippelbogey	triple bogey
triptyk	triptyque
trisackarid	trisaccharide
triskaidekafobi	triskaidékaphobie
trist	ennuyeux
tristess	ennui
tritonus	triton
triumf	triomphe
triumfera	triompher
trivas	se plaire
trivialitet	trivialité
trivsam	agréable
tro	croire
troende	croyant
trohet	fidélité
trojan	cheval de Troie
trojka	troïka
troké	trochée
trolig	probable
troligen	probablement
troligtvis	probablement
trollkarl	magicien
trollslända	libellule
trollspö	baguette magique
trolsk	magique
trolös	traître
tromb	tornade
trombin	thrombine
trombocyt	thrombocyte
trombon	trombone
tron	trône
trona	trôner
tropisk	tropical
tropisk cyklon	cyclone tropical
troponin	troponine
troponymi	troponymie
troposfär	troposphère
trosa	culotte
troskyldig	naïf
trots	malgré
trotsa	braver
trotsig	récalcitrant
trottoar	trottoir
trovärdig	fiable
trubbig	obtus
truck	chariot élévateur
truckflata	camionneuse
truism	truisme
trumf	atout
trumhinna	tympan
trumma	tambour
trumpet	trompette
trumpetare	trompettiste
trumset	batterie
trumslagare	tambour
trupp	troupe
tryck	pression
trycka	appuyer
trycksak	imprimé
trygghet	sécurité
trypsin	trypsine
trä	bois
träben	jambe de bois
träblåsinstrument	bois
träbord	table en bois
träbro	pont en bois
träbröllop	noces de bois
träd	arbre
trädgräns	limite des arbres
trädgård	jardin
trädgårdshumla	bourdon des jardins
trädgårdsmästare	jardinier
trädgårdssnäcka	escargot des jardins
trädgårdsväxt	plante de jardin
trädlevande	arboricole
trädlärka	alouette lulu
trädpiplärka	pipit des arbres
trädslag	espèce d'arbre
trädstam	tronc
trädtopp	cime des arbres
träfat	écuelle
träff	coup
träffa	toucher
trähus	maison en bois
trähäst	cheval de bois
träindustri	industrie du bois
träkol	charbon de bois
träldom	esclavage
träna	s'entraîner
tränare	entraîneur
tränga	brusquer
träning	entraînement
träningsoverall	survêtement
träningspass	séance d'entraînement
träningsvärk	courbature
träsk	marais
träsked	cuillère en bois
träsko	sabot
