άρχης	arca
πιτσαδόρος	pizzaiolo
πιτσαρία	pizzeria
πιτυρίδα	forfora
πιόνι	pedone
πλάθω	formare
πλάκα	lastra
πλάνη	pialla
πλάσμα	plasma
πλάστης	matterello
πλάτανος	platano
πλάτη	dorso
πλάτος	larghezza
πλέκω	lavorare a maglia
πλένω	lavare
πλέξιμο	lavorazione a maglia
πλέω	condurre
πλήθος	numero
πλήκτρο	tasto
πλήκτρο βέλους	tasto freccia
πλήμνη	concentratore
πλήξη	noia
πλήρωμα	equipaggio
πλίνθος	plinto
πλαίσιο	impalcatura
πλαγκτόν	plancton
πλαισιώνω	incorniciare
πλακάκι	mattonella
πλακάς	piastrellista
πλακομούνι	tribadismo
πλακούντας	placenta
πλανήτης	pianeta
πλανητάριο	planetario
πλανητικός	planetario
πλανόδιος	itinerante
πλασματικός	fittizio
πλαστικό	plastica
πλαστικός	plastico
πλαστογραφία	falsificazione
πλατεία	piazza
πλατυποδία	piede piatto
πλατωνικός	platonico
πλατύφυλλος	latifoglio
πλειάδα	tupla
πλειοψηφία	maggioranza
πλειοψηφικός	maggioritario
πλειστηριάζω	mettere all'asta
πλεκτό	maglieria
πλεξιγκλάς	plexiglas
πλεονέκτημα	vantaggio
πλεονασμός	pleonasmo
πλεοναστικός	pleonastico
πλεονεξία	avidità
πλευρά	fianco
πλευρό	costola
πλευστότητα	navigabilità
πλεόνασμα	surplus
πληγή	ferita
πληγώνω	offendere
πληθυντικός	plurale
πληθυσμός	populazione
πληθωρικός	pletorico
πληθωρισμός	inflazione
πληθωριστικός	inflazionista
πληθύνω	incrementare
πληθώρα	pletora
πληκτρολογίδιο	tastierina
πληκτρολογώ	digitare
πληκτρολόγιο	tastiera
πλημμυρίδα	acqua alta
πλημμυρίζω	allagare
πλημμυρισμένος	inondato
πλημμύρα	inondazione
πλην Λακεδαιμονίων	Eccetto gli Spartani
πληρεξούσιος	plenipotenziario
πληροφορία	informazione
πληροφορική	informatica
πληροφοριοδότης	informatore
πληροφορώ	informare
πληρωμένος	corrotto
πληρωμή	pagamento
πληρώνω	pagare
πλησίον	prossimo
πλησιάζω	avvicinarsi
πλιάτσικο	saccheggio
πλοηγίδα	pilotina
πλοηγός	marinaio
πλοκάμι	tentacolo
πλοκή	trama
πλουσιοπάροχα	lautamente
πλουτισμός	arricchimento
πλουτοκρατία	plutocrazia
πλουτώνιο	plutonio
πλούσιος	ricco
πλούτος	ricchezza
πλυντήριο πιάτων	lavastoviglie
πλύση	lavaggio
πλύση εγκεφάλου	lavaggio del cervello
πλώρη	prua
πνίγω	affogare
πνευματικός	spiritoso
πνευματικός	confessore
πνευματικότητα	spiritualità
πνευμοθώρακας	pneumotorace
πνευμονία	polmonite
πνευμονικός	polmonare
πνευμονο-	neumo-
πνευμονολόγος	pneumologo
πνευμονόκοκκος	pneumococco
πνεύμα	spirito
πνεύμονας	polmone
ποίημα	poesia
ποίηση	poesia
ποίμνιο	gregge
πογκρόμ	pogrom
ποδήλατο	bicicletta
ποδηλασία	ciclismo
ποδηλατοδρόμιο	velodromo
ποδιά	grembiule
ποδοστάτης	poggiapiedi
ποδοσφαιρίστρια	calciatrice
ποδοσφαιρικός	calcistico
ποδοσφαιριστής	calciatore
ποδόσφαιρο	calcio
ποζιτρόνιο	positrone
ποιήτρια	poetessa
ποιητής	poeta
ποιητικός	poetico
ποικιλία	varietá
ποιμένας	pastore
ποινή	pena
ποινικολόγος	criminologa
ποινικοποιώ	criminalizzare
ποιος	chi
ποιότητα	qualità
πολίτης	cittadino
πολεμίστρια	guerriera
πολεμιστής	guerriero
πολεμοκάπηλος	bellicista
πολεμοχαρής	bellicoso
πολεμώ	combattere
πολική αρκούδα	orso polare
πολιορκία	assedio
πολιορκώ	assediare
πολιτεία	stato
πολιτική	politica
πολιτικοποιώ	politicizzare
πολιτικός	politico
πολιτισμός	cultura
πολιτοφυλακή	milizia
πολλαπλασιάζω	moltiplicare
πολλαπλασιασμός	moltiplicazione
πολλαπλασιαστικός	moltiplicativo
πολτός	poltiglia
πολυ-	poli-
πολυάνθρωπος	popoloso
πολυάριθμος	numeroso
πολυέλαιος	candelabro
πολυβόλο	mitragliatrice
πολυγαμία	poligamia
πολυγωνικός	poligonale
πολυεθνικός	multinazionale
πολυετής	perenne
πολυθεϊσμός	politeismo
πολυθεϊστής	politeista
πολυθρόνα	poltrona
πολυκατοικία	condominio
πολυλογάς	chiacchierone
πολυμαθής	erudito
πολυμεράση	polimerasi
πολυμερές	polimero
πολυμορφηματικός	polimorfemico
πολυουρεθάνη	poliuretano
πολυπολιτισμικός	multiculturale
πολυπροπυλένιο	polipropilene
πολυσεξουαλικότητα	polisessualità
πολυσύμπαν	multiverso
πολυτέλεια	lusso
πολυτελής	lussuoso
πολυτεχνικός	politecnico
πολυτιμότητα	pregevolezza
πολυτονικός	politonico
πολυυπνογραφία	polisonnografia
πολυφωνικός	polifonico
πολυώνυμο	polinomio
πολφός	polpa
πολωνέζα	polacca
πολωνικά	polacco
πολωνικός	polacco
πολύ	molto
πολύγλωσσος	multilingue
πολύγωνο	poligono
πολύμορφος	polimorfico
πολύπλευρος	cambiabile
πολύπλοκος	complicato
πολύποδας	polipo
πολύς	molto
πολύσπαστο	paranco
πολύτιμος	prezioso
πολύτιμος λίθος	pietra preziosa
πολύχρωμος	multicolore
πολώνιο	polonio
πομεράνιαν	volpino
πομερανικός	pomerano
πομποδέκτης	ricetrasmettitore
πομπώδης	pomposo
πονηριά	trucco
πονηρός	furbo
πονοκέφαλος	mal di testa
ποντίκι	topo
ποντίφικας	pontefice
ποντικοπαγίδα	trappola per topi
πονώ	dolere
πορδή	peto
πορεία	corso
πορθμός	stretto
πορνεία	prostituzione
πορνογραφία	pornografia
πορνογραφικός	pornografico
πορσελάνη	porcellana
πορτιέρισσα	portiera
πορτμπαγκάζ	bagagliaio
πορτογαλικός	portoghese
πορτοκάλι	arancia
πορτοκαλάδα	aranciata
πορτοκαλής	arancio
πορτοκαλί	arancione
πορτοκαλιά	arancio
πορτοφολάς	borsaiolo
πορτοφόλι	portafoglio
πορτρέτο	ritratto
ποσειδώνιο	nettunio
ποσοδείκτης	quantificatore
ποσοστό	percento
ποσοτικοποιώ	quantificare
ποσοτικός	quantitativo
ποστίς	posticcio
ποσόστωση	quota
ποσότητα	quantità
ποτάσα	potassa
ποτέ	mai
ποτήρι	bicchiere
ποτίζω	annaffiare
ποτίστρα	beverino
ποταμάκι	rigagnolo
ποταμός	fiume
ποταπός	vile
ποτιστήρι	annaffiatoio
ποτό	bevanda
ποτό του Μάη	maitrank
που	che
πουθενά	da nessuna parte
πουκάμισο	camicia
πουλάδα	pollastra
πουλάκι	uccellino
πουλάρα	puledra
πουλάρι	puledro
πουλάω	vendere
πουλί	uccello
πουλερικό	pollame
πουλόβερ	maglione
πουρές	purè
πουρνάρι	leccio
πουτάνα	puttana
πουτίγκα	pudding
πουτσαράς	tipo superdotato
πού	dove
πούλμαν	carrozza
πούπουλο	piumino
πούρο	sigaro
πούστης	frocio
πούτσα	cazzo
πράγμα	cosa
πράκτορας	agente
πράξη	azione
πράσινο	verde
πράσινος	verde
πράσο	porro
πρέπει	dovere
πρέσβης	ambasciatore
πρήζομαι	gonfiarsi
πρήζω τ' αρχίδια	rompere i coglioni
πρίγκιπας	principe
πρίμουλα	primula
πρίσμα	prisma
πραγματικά	infatti
πραγματικός	reale
πραγματικός αριθμός	numero reale
πραγματικότητα	realità
πραγματιστικός	pragmatico
πραγματοποιήσιμος	realizzabile
πραγματοποιώ	compiere
πρακτικός	pratico
πρακτορείο	agenzia
πραξικοπηματίας	golpista
πραξικόπημα	colpo di stato
πρασεοδύμιο	praseodimio
πρασινωπός	verdastro
πρελούδιο	preludio
πρεμιέρα	prima
πρεσβεία	ambasciata
πρεσβυωπία	presbiopia
πρηνής	inchinato
πριαπισμός	priapismo
πριγκιπάτο	principato
πριγκιπικός	principesco
πριμαντόνα	prima donna
πριν	prima
πριονίζω	segare
πριονιστήριο	segheria
πρισματικός	prismatico
πριτσίνι	ribattino
πριόνι	sega
προ-	pre-
προάλλες	altro
προάστιο	sobborgo
προέρχομαι	discendere
προίκα	dote
προαίσθημα	presentimento
προαγωγή	promozione
προαιρετικά	opzionalmente
προαιρετικός	facoltativo
προανάφλεξη	preaccensione
προαστιακός	suburbano
προβάλλω	progettare
προβατίνα	pecora
προβιοτικός	probiotico
προβλέπω	predire
προβλέψιμος	prevedibile
προβληματικός	problematico
προβοκάτσια	provocazione
προβολέας	riflettore
προβολή	proiezione
προβοσκίδα	proboscide
προγαμιαίος	prematrimoniale
προγεννητικός	prenatale
προγιαγιά	bisnonna
προγναθισμός	prognatismo
προγονή	figliastra
προγονός	figliastro
προγραμματίζω	programmare
προγραμματισμός	programmazione
προγραμματιστής	codificatore
προδίδω	tradire
προδιάθεση	predisposizione
προδοσία	tradimento
προδότης	traditore
προεδρικός	presidenziale
προειδοποίηση	avvertimento
προειδοποιώ	avvertire
προεκλαμψία	preeclampsia
προεκλογικός	preelettorale
προελαύνω	avanzare
προελληνικός	preellenico
προεπισκόπηση	assaggio
προετοιμάζω	preparare
προετοιμασία	preparativo
προηγμένος	avanzato
προηγουμένως	anteriormente
προηγούμαι	precedere
προηγούμενο	precedente
προηγούμενος	precedente
προθάλαμος	anticamera
προθεσμία	scadenza
προκάρδιο	precordio
προκάτοχος	predecessore
προκαλώ	stuzzicare
προκατάληψη	pregiudizio
προκαταβολή	acconto
προκλινικός	preclinico
προκοπή	operosità
προκυμαία	banchina
προκύπτω	emergere
προλίνη	prolina
προλαβαίνω	evitare
προλετάριος	proletario
προλεταριάτο	proletariato
προλεταριακός	proletario
προληπτικός	superstizioso
προμήθειο	promezio
προμηθευτής	fornitore
προνοώ	provvedere
προνόμιο	privilegio
προνύμφη	larva
προξενείο	consolato
προξενητής	paraninfo
προοδευτικά	progressivamente
προοδευτικός	progressivo
προοδευτισμός	progressismo
προορισμός	destinazione
προπάππος	bisnonno
προπαγάνδα	propaganda
προπαιδευτικός	propedeutico
προπαραλήγουσα	terzultima
προπαροξύτονος	proparossitono
προπατορικό αμάρτημα	peccato originale
προπατορικός	ancestrale
προπηλακίζω	coprire di insulti
προπληρωμένη κάρτα	carte prepagate
προπληρωμή	prepagamento
προπονήτρια	allenatrice
προπονώ	allenare
προπόνηση	allenamento
προπύργιο	baluardo
προς	verso
προς Θεσσαλονικείς Α΄	I Tessalonicesi
προς Θεσσαλονικείς Β΄	II Tessalonicesi
προς Κορινθίους Α'	I Corinzi
προς Κορινθίους Β'	II Corinzi
προς Ρωμαίους	Romani
προσάπτω	imputare
προσέγγιση	avvicinamento
προσέχω	fare attenzione
προσήλυτος	neofita
προσανατολισμός	orientamento
προσαράζω	incagliarsi
προσαρμόζω	adattare
προσβλητικός	offensivo
προσβολή	affronto
προσγείωση	atterraggio
προσδοκία	aspettativa
προσεγγίζω	accostare
προσεκτικός	prudente
προσελκύω	attirare
προσεταιριστικός	associativo
προσευχή	preghiera
προσεύχομαι	pregare
προσηλυτισμός	proselitismo
προσθέτω	aggiungere
προσθήκη	aggiunta
προσιτός	accessibile
προσκαλώ	invitare
προσκοπισμός	scautismo
προσκυνητής	pellegrino
προσκύνημα	pellegrinaggio
προσκύνηση	Adorazione
προσομοιωτής	simulatore
προσοχή	attenzione
προσπαθώ	cercare
προσροφώ	adsorbire
προσρόφηση	adsorbimento
προστάτης	prostata
προστασία	tutela
προστατευτικός	protettore
προστατευτισμός	protezionismo
προστατεύω	proteggere
προστατικός	prostatico
προσφέρω	offrire
προσφορά	approvvigionamento
προσωδιακός	prosodico
προσωπαγνωσία	prosopoagnosia
προσωπικότητα	personalità
προσωπογραφία	ritratto
προσωποποίηση	personificazione
προτάσσω	prefissare
προτίθεμαι	intenzione
προτείνω	proporre
προτελευταίος	penultimo
προτεραιότητα	priorità
προτεσταντισμός	protestantesimo
προτιμητέος	preferibile
προτιμώ	preferire
προτομή	busto
προτροπή	avvio di comando
προφέρω	pronunciare
προφήτης	profeta
προφίλ	profilo
προφανής	evidente
προφανώς	ovviamente
προφητεία	profezia
προφορά	pronuncia
προφορικός	orale
προφυλακτήρας	paraurti
προφυλακτικό	preservativo
προφύλαξη	precauzione
προχθές	ieri l’altro
προχοΐδα	buretta
προωθώ	promuovere
προϊστάμενος	capo
προϊστορία	preistoria
προϊστορικός	preistorico
προϊόν	prodotto
προϋπολογισμός	bilancio
προϋπόθεση	condizione
προώθηση	promozione
πρωί	mattina
πρωθυπολοχαγός	primo tenente
πρωθυπουργός	primo ministro
πρωκτός	ano
πρωσικός	prussiano
πρωτάθλημα	campionato
πρωτέα	protea
πρωταγωνιστής	protagonista
πρωταθλήτρια	campionessa
πρωταθλητής	campione
πρωτακτίνιο	protoattinio
πρωταπριλιά	pesce d'aprile
πρωτεΐνη	proteina
πρωτεύουσα	capitale
πρωτοβουλία	iniziativa
πρωτογένεια	primogenitura
πρωτογλώσσα	protolingua
πρωτοκαθεδρία	posto d'onore
πρωτοπορία	avanguardia
πρωτοποριακός	avanguardista
πρωτοπόρος	pioniere
πρωτοτόκος	primogenito
πρωτοϊστορία	protostoria
πρωτοϊστορικός	protostorico
πρωτόγαλα	colostro
πρωτόγονος	primitivo
πρωτόκολλο	protocollo
πρωτόνιο	protone
πρωτόπλασμα	protoplasma
πρωτότυπος	originale
πρόβα	prova
πρόβατο	pecora
πρόβλεψη	predizione
πρόβλημα	problema
πρόγευμα	colazione
πρόγνωση	prognosi
πρόγνωση καιρού	previsioni del tempo
πρόγονος	antenato
πρόγραμμα	programma
πρόδρομος	prodromo
πρόεδρος	presidente
πρόζα	prosa
πρόθεση	preposizione
πρόθημα	prefisso
πρόθυμος	pronto
πρόκληση	sfida
πρόληψη	prevenzione
πρόναος	prodromo
πρόνοια	previdenza
πρόοδος	progresso
πρόσβαση	accesso
πρόσημο	segno
πρόσθεση	addizione
πρόσκαιρος	temporaneo
πρόσκληση	invito
πρόσκοπος	scout
πρόσοψη	facciata
πρόστιμο	multa
πρόστυχος	volgare
πρόσφατος	recente
πρόσφυγας	rifugiato
πρόσωπο	viso
πρόταση	frase
πρότυπο	modello
πρόχειρο	appunti
πρόχειρος	a portata di mano
πρόωρα	prematuramente
πρόωρος	precoce
πρύμνη	poppa
πρύτανης	rettore
πρώην	anteriore
πρώιμος	anticipata
πρώτος	primo
πρώτος αριθμός	numero primo
πτέρυγα	ala
πτήση	volo
πτερύγιο	pinna
πτητικός	volatile
πτοώ	intimidire
πτυελοδοχείο	sputacchiera
πτυχή	piega
πτυχίο	laurea
πτώμα	cadavere
πτώση	caso
πτώχευση	bancarotta
πυγμή	polso
πυγμαχώ	boxare
πυγολαμπίδα	lucciola
πυκνογραμμένος	scritto fittamente
πυκνωτής	condensatore
πυκνός	denso
πυκνότητα	densità
πυλωρός	piloro
πυλώνας	pilone
πυξίδα	bussola
πυρ	fuoco
πυρά	rogo
πυρέτιο	febbricola
πυρήνας	nucleo
πυρίμαχος	refrattario
πυρίτιο	silicio
πυραμίδα	piramide
πυρετός	febbre
πυρηναϊκός	pirenaico
πυρηνική φυσική	fisica nucleare
πυρηνικός	nucleare
πυριγενής	igneo
πυρκαγιά	incendio
πυροβολαρχία	batteria
πυροβολικό	artiglieria
πυροβολισμός	schioppo
πυροβολώ	tirare
πυροβόλο	arma da fuoco
πυρογραφία	pirografia
πυροδοτώ	accendere la miccia
πυρομανής	piromane
πυρομανία	piromania
πυροσβέστης	pompiere
πυροσβεστήρας	estintore
πυροσβεστική	vigili del fuoco
πυροτέχνημα	fuochi artificiali
πυροτεχνικός	pirotecnico
πυρσός	fiaccola
πυρόλυση	pirolisi
πυρόμετρο	pirometro
πυτιά	caglio
πυώδης	purulento
πωλήτρια	venditora
πωλητής	venditore
πως	che
πόδι	piede
πόκερ	poker
πόλεμος	guerra
πόλη	città
πόλκα	polca
πόλο	polo
πόλος	polo
πόλωση	polarizzazione
πόνος	dolore
πόντος	punto
πόρισμα	conclusione
πόρνη	prostituta
πόρος	poro
πόρτα	porta
πόσιμος	potabile
πόσο μάλλον	figuriamoci
πόστο	posto
πότε	quando
πύθωνας	pitone
πύλη	portale
πύξος	bosso comune
πύραυλος	missile
πύργος	torre
πύργος ελέγχου	torre di controllo
πώληση	vendita
πώμα	tappo
πώς	come
ράβδος	barra
ράβω	cucire
ράγκμπι	rugby
ράδιο	radio
ράμπα	rampa
ράμφος	becco
ράντα	ranta
ράσο	gonnellino
ράσπα	raspa
ράφι	ripiano
ράφτης	sarto
ράφτρα	sarta
ρέβω	illanguidirsi
ρέγκα	aringa
ρέγκε	reggae
ρέστα	resto
ρέψιμο	rutto
ρήγας	re
ρήμα	verbo
ρήνιο	renio
ρήξη	rottura
ρήτρα	clausola
ρίγανη	origano
ρίγος	fremito
ρίζα	radice
ρίζωμα	rizoma
ρίσκο	rischio
ρίχνω	gettare
ραίνω	aspergere
ραβέντι	rabarbaro
ραβίνος	rabbino
ραβδί	bastone
ραβδομάντης	rabdomante
ραβδοσκόπος	rabdomante
ραβινικός	rabbinico
ραγάδα	smagliatura
ραγίζω	spezzare
ραδερφόρντιο	rutherfordio
ραδιενεργός	radioattivo
ραδιοβόλιση	radiosondaggio
ραδιογραφία	radiografia
ραδιογωνιομετρία	radiogoniometria
ραδιογωνιόμετρο	radiogoniometro
ραδιοδέκτης	radioricevente
ραδιοευαισθησία	radiosensibilità
ραδιοκύμα	radioonda
ραδιομετεωρολογία	radiometeorologia
ραδιοσταθμός	stazione radiofonica
ραδιοτηλεσκόπιο	radiotelescopio
ραδιοτηλεόραση	radiotelevisione
ραδιόφωνο	radio
ραδόνιο	radon
ραθυμία	indolenza
ρακέτα	racchetta
ρακλέτα	lavavetri
ρακοσυλλέκτης	straccivendolo
ρακούν	procione
ραμί	ramino
ραντάρ	radar
ραντεβού	appuntamento
ραπάνι	ravanello
ραπτομηχανή	macchina da cucire
ρασκέτα	raschietta
ρατσίστρια	razzista
ρατσισμός	razzismo
ρατσιστής	razzista
ρατσιστικός	razzista
ραχοκοκαλιά	base
ραψωδία	rapsodia
ραψωδός	rapsodo
ρε	re
ρεαλισμός	realismo
ρεαλπολιτίκ	Realpolitik
ρεβέρ	orlo
ρεβίθι	cece
ρεβανί	basbousa
ρεβανσισμός	revanscismo
ρεκόρ	record
ρεμέντιο	rimedio
ρεπερτόριο	repertorio
ρεπεσάζ	ripescaggio
ρεπορτάζ	reportage
ρεπουμπλικάνος	repubblicano
ρεπουμπλικανισμός	repubblicanesimo
ρεσβερατρόλη	resveratrolo
ρετάλι	ritaglio
ρετιρέ	attico
ρετροσπεκτίβα	retrospettiva
ρετσίνα	retsina
ρετσίνι	resina
ρετσιτατίβο	recitativo
ρευματολογία	reumatologia
ρευστό	liquido
ρευστότητα	liquidità
ρεύμα	corrente
ρεύομαι	ruttare
ρημάζω	rovinare
ρητίνη	resina
ρητορική	retorica
ρητορική ερώτηση	domanda retorica
ρητός	razionale
ρητός αριθμός	numero razionale
ρηχός	basso
ριβόσωμα	ribosoma
ριζικός	radice
ριζοσπάστης	radicale
ριζοσπαστικοποίηση	radicalizzazione
ριζοσπαστικοποιώ	radicalizzare
ριζοσπαστικός	radicale
ριζότο	risotto
ριμέικ	remake
ρινικός	nasale
ρινοδέλφινο	tursiope
ρινολογία	rinoiatria
ρινορραγία	rinorragia
ρινοσκόπηση	rinoscopia
ρινόκερος	rinoceronte
ριπή	raffica
ριψοκίνδυνος	spericolato
ροή	flusso
ροδάκινο	pesca
ροδάνι	filatoio
ροδέλα	rotella
ροδακινιά	pesco
ροδιά	melograno
ροδοδάφνη	oleandro
ροδόγραμμα	rosa dei venti
ροδόνερο	acqua di rose
ροζ	rosa
ροζάριο	rosario
ροζέ	rosato
ροκ	rock
ροκέ	arrocco
ροκανίζω	rodere
ροκοκό	rococò
ροκφόρ	roquefort
ρολογάς	orologiaio
ρολόι	orologio
ρομάτζι	romaji
ρομαντικός	romantico
ρομποτική	robotica
ρομποτικός	robotico
ρομπότ	robot
ροντέλο	rondello
ροοστάτης	potenziometro
ροτόντα	rotonda
ρουβίδιο	rubidio
ρουθήνιο	rutenio
ρουθούνι	narice
ρουλέτα	roulette
ρουλεμάν	cuscinetto a sfere
ρουμανικά	romeno
ρουμπίνι	rubino
ρουνικός	runico
ρουπία	rupia
ροφός	cernia
ροχαλίζω	russare
ροχαλητό	il russare
ρούβλι	rublo
ρούμι	rum
ρούχο	abito
ρυθμίζω	adattare
ρυθμιστής	regolatore
ρυθμός	ritmo
ρυμουλκώ	rimorchiare
ρυπαίνω	inquinare
ρυτό	rhyton
ρωμαιοκαθολικός	cattolico romano
ρωμαλέος	vigoroso
ρωμαϊκός	romano
ρωσικά	russo
ρωσικός	russo
ρωτακισμός	rotacismo
ρωτώ	chiedere
ρόδα	ruota
ρόδι	melagrana
ρόδινος	rosa
ρόδιο	rodio
ρόκα	conocchia
ρόλος	ruolo
ρόμβος	rombo
ρόμπα	vestaglia
ρόπαλο	clava
ρύγχος	muso
ρύζι	riso
ρύθμιση	regolazione
ρύπανση	inquinante
ρώγα	capezzolo
σ' αγαπώ	ti amo
σάβανο	sindone
σάκε	sakè
σάλι	scialle
σάλπη	salpa
σάλπιγγα	tuba di Falloppio
σάλτσα	salsa
σάντουιτς	panino
σάουνα	sauna
σάπιος	marcio
σάρκα	carne
σάρκωμα	sarcoma
σάρπα	sciarpa
σάτιρα	satira
σάτυρος	satiro
σάχης	scià
σέβομαι	rispettare
σέγα	seghetto alternativo
σέλα	sella
σέλας	aurora polare
σέλινο	sedano
σέντια	lettiga
σέξι	sexy
σέρνω	trascinare
σέρφερ	surfista
σέσκουλο	bietola
σήμα	segnale
σήμα κατατεθέν	logo
σήμερα	oggi
σήραγγα	galleria
σίγουρα	sicuramente
σίγουρος	sicuro
σίδερο	ferro
σίδηρος	ferro
σίκαλη	segale
σαΐτα	saetta
σαβάνα	savana
σαγηνευτικός	attraente
σαγιονάρα	ciabatta
σαγόνι	mascella
σαδισμός	sadismo
σαδιστικός	sadico
σακάκι	giacca
σακίδιο	zaino
σακούλα	sacchetto
σαλάμι	salame
σαλάτα	insalata
σαλαμάνδρα	salamandra
σαλιάζω	salivare
σαλιάρα	bavaglino
σαλιγκάρι	chiocciola
σαλμονέλα	salmonella
σαλοπέτα	salopette
σαλταδόρος	ladro
σαλτσιέρα	salsiera
σαλότο	salotto
σαμάρι	basto
σαμάριο	samario
σαμανισμός	sciamanesimo
σαμαράς	sellaio
σαμιαμίδι	geco
σαμοβάρι	samovar
σαμουράι	samurai
σαμπάνια	champagne
σαμπουάν	sciampo
σαμπούκος	sambuco
σαμπρέλα	camera d'aria
σανίδα	asse
σανσκριτικά	sanscrito
σαντιγί	crema chantilly
σανός	fieno
σαξοφωνίστρια	sassofonista
σαξόφωνο	sassofono
σαπίτης	colubro lacertino
σαπουνίζω	insaponare
σαπουνόπερα	telenovela
σαπούνι	sapone
σαπφικός	saffico
σαράντα	quaranta
σαρακοστή	quaresima
σαρανταποδαρούσα	millepiedi
σαρδέλα	sardella
σαρδόνιος	sardonico
σαρδόνυχας	sardonice
σαρκασμός	sarcasmo
σαρκαστικός	sarcastico
σαρκικός	carnale
σαρκοβόρος	carnivoro
σαρκοφάγος	sarcofago
σαρσέλα	marzaiola
σαρωτής	scanner
σασί	châssis
σασίμι	sashimi
σατέν	raso
σατανικός	satanico
σατανισμός	satanismo
σατράπης	satrapo
σαφάρι	safari
σαφής	coerente
σαφράνι	zafferano
σαχ	scacco
σαχλός	sdolcinato
σαύρα	lucertola
σβάρνα	erpice
σβάστικα	svastica
σβέρκος	nuca
σβήνω	estinguere
σβούρα	trottola
σγουρός	ricci
σε	a
σεΐχης	sceicco
σεβασμός	rispetto
σεβιλλιάνικος	sivigliano
σεβρό	pelle di capretto
σεζόν	stagione
σειρά	serie
σεισμικότητα	sismicità
σεισμογράφος	sismografo
σεισμολογία	sismologia
σεισμός	terremoto
σελήνη	luna
σελήνιο	selenio
σελίδα	pagina
σελίνι	scellino
σελαγίζω	irradiare
σεληνιακός	lunare
σεληνόφως	chiaro di luna
σελιδοδείκτης	segnalibro
σελιδοποίηση	paginazione
σελοφάν	cellofan
σελώνω	sellare
σεμινάριο	seminario
σεμνότυφος	pudico
σενάριο	sceneggiatura
σεναριογράφος	scenarista
σεντ	centesimo
σεντίνα	sentina
σεντινόνερο	acqua di sentina
σεντόνι	lenzuolo
σεξισμός	sessismo
σεξολογία	sessuologia
σεξολόγος	sessuologa
σεξουαλικά	sessualmente
σεξουαλικός	sessuale
σεξουαλικότητα	sessualità
σερίνη	serina
σερίφης	sceriffo
σερβικά	serbo
σερβιτόρα	cameriera
σερβιτόρος	cameriere
σερενάτα	serenata
σερζ	sargia
σερπεντίνης	serpentino
σεσουάρ	asciugacapelli
σηκώνομαι	alzarsi in piedi
σημάδι	segno
σημαία	bandiera
σημαίνω	significare
σημαδούρα	boa
σημαιοφόρος	portabandiera
σημαντικός	importante
σημασία	rilievo
σημείο	punto
σημείο αναφοράς	punto di riferimento
σημείο δρόσου	punto di rugiada
σημείο στίξης	segno di punteggiatura
σημείωμα	memoria
σημείωση	memoria
σημειολογία	semiotica
σημειωματάριο	quaderno
σημερινός	odierno
σημιτικός	semitico
σημύδα	betulla
σηπτικός	settico
σηψαιμικός	setticemico
σθεναρότητα	forza
σιέστα	siesta
σιγαστήρας	silenziatore
σιγοβράζω	scaldare
σιγοκαίω	covare
σιγοκλαίω	piagnucolare
σιγοτραγουδώ	canticchiare
σιδέρωμα	stirare
σιδεράς	fabbro
σιδερένιος	ferreo
σιδερωτήριο	stireria
σιδερώνω	stirare
σιδηροδρομικός	ferroviario
σιδηροδρομικός σταθμός	stazione
σιδηρουργός	fabbro
σιδηρούν παραπέτασμα	cortina di ferro
σιδηρόδρομος	ferrovia
σικελικός	siciliano
σιλεντιάριος	silenziario
σιλουέτα	sagoma
σιλό	silo
σιμιγδάλι	semola
σιμπόργκιο	seaborgio
σινάπι	senape
σιναλεζικά	singalese
σινεμά	cinema
σινο-	sino-
σινολογία	sinologia
σιντριβάνι	fontana a getto
σιρόκος	scirocco
σιρόπι	sciroppo
σιτάρι	grano
σιτοβολώνας	granaio
σιωνισμός	sionismo
σκάκι	scacchi
σκάλα	scala
σκάνδαλο	scandalo
σκάνδιο	scandio
σκάφη	madia
σκάω	separare
σκέιτμπορντ	skateboard
σκέτος	liscio
σκέφτομαι	pensare
σκέψη	pensiero
σκήπτρο	scettro
σκίζω	lacerare
σκίουρος	scoiattolo
σκίτσο	schizzo
σκαθάρι	coleottero
σκακιέρα	scacchiera
σκαλέτα	scaletta
σκαληνός	scaleno
σκαλιέρα	grisella
σκαλωσιά	impalcatura
σκαμπαβία	scappavia
σκανδάλη	grilletto
σκανδαλώδης	scandaloso
σκανδιναβικός	scandinavo
σκαντζόχοιρος	riccio
σκαπανέας	geniere
σκαραβαίος	scarabeo
σκαρπέλο	cesello
σκαρφαλώνω	arrampicarsi
σκατά	merda
σκατό	merda
σκελίδα	spicchio
σκελετός	scheletro
σκεπτικισμός	scetticismo
σκεπτικός	scettica
σκερτσάντο	scherzando
σκερτσόζα	scherzosa
σκευοφυλάκιο	sagrestia
σκευοφόρος	bagagliaio
σκευωρία	intrigo
σκεύος	utensile
σκηνή	tenda
σκηνικός	scenico
σκηνογράφος	scenografa
σκηνογραφία	scenografia
σκηνογραφικός	scenografico
σκηνοθέτης	regista
σκηνοθεσία	messa in scena
σκι	sci
σκιά	ombra
σκιάχτρο	spaventapasseri
σκιέρ	sciatore
σκλήθρα	ontano
σκληραίνω	indurire
σκληρός	duro
σκληρός δίσκος	disco fisso
σκονάκι	bigliettino
σκοντάφτω	incespicare
σκοπευτής	tiratore
σκοπός	scopo
