α	t
παυσίπονο	smärtlindrare
παχνί	krubba
παχυσαρκία	fetma
παχύ έντερο	tjocktarm
παχύς	tjock
παϊδάκι	kotlett
παύλα	tankstreck
παύση	paus
πείθω	övertyga
πείνα	hunger
πείραμα	experiment
πείσμα	envishet
πεδίο	fält
πεδίο μάχης	slagfält
πεδιάδα	slätt
πεζικάριος	fotsoldat
πεζικό	infanteri
πεζογέφυρα	gångbro
πεζογράφος	prosaförfattare
πεζογραφία	prosa
πεζοδρόμιο	gångbana
πεζοναύτης	marinsoldat
πεζοπορία	vandring
πεζοπόρος	fotgängare
πεζόδρομος	fotgängarzon
πεζός	fotgängare
πεθαίνω	dö
πεθερά	svärmor
πεθερός	svärfar
πειθαρχία	disciplin
πεινασμένος	hungrig
πειράζω	reta
πειραματίζομαι	experimentera
πειραματόζωο	försöksdjur
πειρασμός	lockelse
πειρατής	pirat
πειρατεία	piratkopiering
πεισματάρης	envis
πειστικός	övertygande
πελάγρα	pellagra
πελάτης	kund
πελαργός	stork
πελατεία	kundkrets
πελεκάνος	pelikan
πελιδνός	blek
πελώριος	jättelik
πεμπτουσία	kvintessens
πενήντα	femtio
πενικιλίνη	penicillin
πενιουάρ	peignoir
πεντάγωνο	pentagon
πεντάκις εκατομμύριο	triljon
πεντάλ	pedal
πεντακόσια	fem hundra
πενταλό	pedalbåt
πεντζέχρι	besoar
πεντικιούρ	fotvård
πεπερασμένος	begränsad
πεποίθηση	övertygelse
πεπτίδιο	peptid
πεπόνι	melon
περήφανος	stolt
περί	om
περίγειο	perigeum
περίγραμμα	kontur
περίεργος	nyfiken
περίληψη	sammanfattning
περίμετρος	omkrets
περίνεο	mellangård
περίοδος	period
περίοπτος	uppenbar
περίπλοκος	komplex
περίπλους	kringsegling
περίπολος	patrull
περίπου	ungefär
περίπτερο	kiosk
περίπτωση	case
περίσσευμα	överskott
περίσταση	omständighet
περίστροφο	revolver
περίττωμα	avföring
περίφραση	omskrivning
περασμένος	förgången
περαστικά	krya på dig
περγαμηνή	pergament
περεστρόικα	perestrojka
περιέργεια	nyfikenhet
περιέχω	innehålla
περιήλιο	perihelium
περιβάλλον	miljö
περιβαλλοντικός	miljö-
περιβόλι	trägård
περιγράφω	beskriva
περιγραφή	beskrivning
περιγραφικός	deskriptiv
περιδέραιο	halsband
περιδρομιάζω	krubba
περιεργάζομαι	granska
περιθώριο	marginal
περικάρπιο	fruktvägg
περικλείω	omfatta
περικοπή	avkortning
περικυκλώνω	omringa
περικόχλιο	mutter
περιλαμβάνω	innehålla
περιμένω	vänta
περιοδεία	turné
περιοδικό	tidskrift
περιοδικός	periodisk
περιοδικός πίνακας	periodiska systemet
περιοδικότητα	periodicitet
περιορίζω	begränsa
περιορισμένος	begränsad
περιουσία	förmögenhet
περιοχή	område
περιπέτεια	äventyr
περιπλανιέμαι	irra
περιπολικό	polisbil
περιπολώ	patrullera
περισκόπιο	periskop
περισσότερο	mer
περισσότερος	fler
περιστέρι	duva
περισταλτικός	peristaltisk
περιστασιακά	då och då
περιστατικό	händelse
περιστερώνας	duvslag
περιστροφή	rotation
περιστύλιο	korsgång
περιτομή	manlig omskärelse
περιτονίτιδα	bukhinneinflammation
περιττός	udda
περιτόναιο	bukhinna
περιφέρεια	omkrets
περιφράσσω	inhägna
περιφρονητικός	föraktfull
περιφρονώ	förakta
περιφρόνηση	förakt
περνάω	förflytta
περονοφόρο	gaffeltruck
περουβιανός	peruansk
περούκα	peruk
περπατάω	gå
περσικά	persiska
περσικός	persisk
περφορατέρ	hålslag
πεσιμισμός	pessimism
πετάλι	pedal
πετάω το γάντι	kasta handsken
πεταλίδα	skålsnäcka
πεταλούδα	fjäril
πεταλωτής	hovslagare
πεταλώνω	sko
πετρέλαιο	petroleum
πετρελαιοπηγή	oljebrunn
πετρογραφία	petrografi
πετσέτα	handduk
πετσί	skal
πεψίνη	pepsin
πεύκο	tall
πηγάδι	brunn
πηγή	källa
πηγαίνω	gå
πηγαίος κώδικας	kod
πηδάλιο	roder
πηδάλιο κλίσης	skevroder
πηδάω	hoppa
πηλίκο	kvot
πηλός	lera
πηνίο	spole
πηχτή	sylta
πηχτός	tätt
πιάνο	piano
πιάνω	fånga
πιάστης	fångare
πιάτο	fat
πιέζω	tränga
πια	inte länge
πιανίστα	pianistinna
πιανίστας	pianist
πιατάκι	tefat
πιγκάλ	toalettborste
πιγκουίνος	pingvin
πιεζοηλεκτρισμός	piezoelektricitet
πιεμοντέζικα	piedmontesiska
πιθανοφάνεια	sannolikhet
πιθανός	sannolik
πιθανότητα	sannolikhet
πικάπ	skivspelare
πικνίκ	picknick
πικραλίδα	maskros
πικρός	besk
πιλάφι	pilaff
πιλότος	pilot
πινέλο	pensel
πινακίδα	vägmärke
πινακοθήκη	konstgalleri
πινγκ πονγκ	bordtennis
πιο	mer
πιονιέρος	pionjär
πιπέρι	peppar
πιπίλα	napp
πιπεριά	paprika
πιπερόριζα	ingefära
πιπερώνω	peppra
πιροσκί	pirog
πιρούνι	gaffel
πισίνα	bassäng
πισινός	bakre
πιστεύω	tro
πιστοποιητικό	certifikat
πιστωτής	borgenär
πιστωτική κάρτα	kreditkort
πιστωτικός κίνδυνος	kreditrisk
πιστόλι	pistol
πιστόνι	kolv
πιστός	trogen
πισωκολλητό	hundställningen
πιτζάμα	pyjamas
πιτσαδόρος	pizzabagare
πιτσαρία	pizzeria
πιτσούνι	duvunge
πιτυρίδα	mjäll
πιόνι	bonde
πλάγιος	indirekt
πλάθω	skapa
πλάκα	häll
πλάνη	bedräglighet
πλάσμα	plasma
πλάστης	kavel
πλάτανος	platan
πλάτη	back
πλάτος	bredd
πλέκω	sticka
πλένω	diska
πλέξιμο	stickning
πλέω	segla
πλήθος	tal
πλήκτρο	knapp
πλήκτρο βέλους	piltangent
πλήμνη	nav
πλήξη	uttråkning
πλήρης	fullständig
πλήρωμα	besättning
πλήττω	slå
πλαίσιο	ram
πλαγκτόν	plankton
πλαισιώνω	inrama
πλακίδιο	stentavla
πλακούντας	moderkaka
πλανήτης	planet
πλανητάριο	planetarium
πλανητικός	planetarisk
πλανόδιος	kringresande
πλασιέ	representant
πλαστικό	plast
πλαστικός	plastisk
πλαστογράφηση	förfalskning
πλαστογράφος	förfalskare
πλαστός	falsk
πλατεία	torg
πλατφόρμα	plattform
πλειάδα	tipel
πλειονότητα	majoritet
πλειοψηφία	majoritet
πλειστηριάζω	auktionera
πλειστηριασμός	auktion
πλεκτό	stickning
πλεονέκτημα	fördel
πλεονασμός	pleonasm
πλεονεξία	girighet
πλευρά	flank
πλευρικός	lateral
πλευρό	kant
πλεόνασμα	överskott
πληγή	sår
πληγώνω	såra
πληθυντικός	plural
πληθυσμός	befolkning
πληθωρισμός	inflation
πληθώρα	överflöd
πληκτρολόγιο	tangentbord
πλημμέλημα	förseelse
πλημμυρίδα	högvatten
πλημμυρίζω	översvämma
πλημμύρα	översvämnin
πληρεξούσιος	fullmäktig
πληροφορία	information
πληροφορική	informatik
πληροφορώ	informera
πληρωμή	betalning
πληρώνω	betala
πλησίον	nästa
πλησιάζω	närma sig
πλιάτσικο	rov
πλιγούρι	bulgur
πλοήγηση	sjöfart
πλοίο	fartyg
πλοηγός	navigatör
πλοκάμι	tentakel
πλοκή	handling
πλουσιοπάροχος	riklig
πλουτοκρατία	plutokrati
πλουτώνιο	plutonium
πλούσιος	rik
πλούτος	rikedom
πλυντήριο	tvättmaskin
πλυντήριο πιάτων	diskmaskin
πλυντήριο ρούχων	tvättmaskin
πλυσταριό	tvättstuga
πλύση εγκεφάλου	hjärntvätt
πλώρη	bog
πνίγω	dränka
πνευματικός	andlig
πνευμονία	lunginflammation
πνευστό	blåsinstrument
πνεύμα	ande
πνεύμονας	lunga
πνιγμός	drukning
πνοή	anda
ποίημα	dikt
ποίηση	poesi
πογκρόμ	pogrom
ποδάγρα	gikt
ποδήλατο	cykel
ποδηλάτης	cyklist
ποδηλασία	cykelsport
ποδιά	förkläde
ποδοσφαιριστής	fotbollsspelare
ποδόσφαιρο	fotboll
ποζιτρόνιο	positron
ποθώ	begära
ποιήτρια	diktare
ποιητής	diktare
ποιητικός	poetisk
ποικίλλω	variera
ποικιλία	ombyte
ποιμένας	pastor
ποινή	straff
ποινικολόγος	kriminolog
ποινικοποιώ	kriminalisera
ποινικός	straff-
ποιος	vem
ποιοτικός	kvalitet
ποιότητα	egenskap
πολίτης	medborgare
πολεμικός	krigisk
πολεμιστής	krigare
πολεμοκάπηλος	krigshetsare
πολεοδομία	stadsplanering
πολική αρκούδα	isbjörn
πολιορκία	belägring
πολιορκώ	belägra
πολιτεία	delstat
πολιτικά	politiskt
πολιτική	politik
πολιτικοποιώ	politisera
πολιτικός	politiker
πολιτικός μηχανικός	väg- och vattenbyggnadsingenjör
πολιτισμός	kultur
πολλαπλή κληρονομικότητα	multipelt arv
πολλαπλασιάζω	multiplicera
πολλαπλασιασμός	multiplikation
πολλαπλασιαστικός	multiplicativ
πολτός	sörja
πολυ-	poly-
πολυάριθμος	talrik
πολυέλαιος	ljuskrona
πολυβόλο	maskingevär
πολυεθνικός	multinationell
πολυετής	flerårig
πολυθεϊσμός	polyteism
πολυθεϊστής	polyteist
πολυθρόνα	fåtölj
πολυκατοικία	höghus
πολυκύτταρος	flercellig
πολυμέσο	multimedia
πολυμήχανος	finurlig
πολυμαθής	polyhistor
πολυμερές	polymer
πολυπολιτισμικός	multikulturell
πολυπροπυλένιο	polypropylen
πολυσύμπαν	multiversum
πολυτέλεια	lyx
πολυτελής	luxuös
πολυώνυμο	polynom
πολωνικά	polsk
πολωνικός	polsk
πολύ	mycket
πολύγλωσσος	flerspråkig
πολύγωνο	polygon
πολύεδρο	polyeder
πολύμπριζο	grendosa
πολύπλευρος	mångsidig
πολύπλοκος	komplicerad
πολύποδας	polyp
πολύς	mycket
πολύσπαστο	talja
πολύτιμος	preciös
πολύτιμος λίθος	ädelsten
πολώνιο	polonium
πομποδέκτης	sändtagare
πομπός	sändare
πονηρός	slug
πονοκέφαλος	huvudvärk
ποντάρω	slå vad
ποντίκι	mus
ποντικοπαγίδα	musfälla
πονόδοντος	tandvärk
πονώ	göra ont
πορδή	fjärt
πορεία	förlopp
πορθητής	erövrare
πορθμός	sund
πορνεία	prostitution
πορνείο	bordell
πορνογραφία	pornografi
πορνογραφικός	pornografisk
πορνό	p-film
πορνόγερος	ful gubbe
πορσελάνη	porslin
πορτιέρης	portier
πορτμπαγκάζ	bagagelucka
πορτμπεμπέ	bärsjal
πορτογαλικά	portugisisk
πορτογαλικός	portugisisk
πορτοκάλι	apelsin
πορτοκαλής	apelsinfärgad
πορτοκαλί	orange
πορτοκαλιά	apelsinträd
πορτοφολάς	ficktjuv
πορτοφόλι	portmonnä
πορώδης	porös
ποσειδώνιο	neptunium
ποσοδείκτης	kvantifikator
ποσοστό	procent
ποσοτικός	kvantitativ
ποσό	mängd
ποσότητα	mått
ποτέ	aldrig
ποτήρι	glas
ποτίζω	ge vatten
ποτίστρα	vattenho
ποταμάκι	ström
ποταμός	flod
ποτιστήρι	vattenkanna
ποτό	dryck
που	som
πουθενά	ingenstans
πουκάμισο	skjorta
πουλάδα	unghöna
πουλάκι	fågelunge
πουλάρι	föl
πουλάω	sälja
πουλί	fågel
πουλερικό	fjäderfä
πουλόβερ	tröja
πουριτανός	puritansk
πουρνάρι	kermesek
πουτάνα	hora
πού	var
πούλμαν	diligens
πούπουλο	dun
πούρο	cigarr
πούστης	bög
πούτσα	kuk
πράγμα	sak
πράκτορας	agent
πράξη	akt
πράος	mild
πράσινο	grönt
πράσινος	grön
πράσο	purjolök
πρέπει	måste
πρέσα	press
πρέσβης	ambassadör
πρήζομαι	svälla
πρήξιμο	svullnad
πρίγκιπας	prins
πρίζα	uttag
πρίσμα	prisma
πραγματεία	avhandling
πραγματεύομαι	behandla
πραγματικά	verkligen
πραγματικός	verklig
πραγματικός αριθμός	reellt tal
πραγματικότητα	verklighet
πραγματιστικός	pragmatisk
πραγματοποιήσιμος	utförbar
πραγματοποιώ	realisera
πρακτικά	minnesanteckning
πρακτικός	praktisk
πρακτορείο	agentur
πραξικόπημα	statskupp
πρασεοδύμιο	praseodym
πρασινωπός	grönaktig
πρεμιέρα	premiär
πρεσβεία	ambassad
πρεσβευτής	ambassadör
πρεσβυωπία	ålderssynthet
πρησμένος	svullen
πριαπισμός	priapism
πριγκίπισσα	furstinna
πριγκιπάτο	furstendöme
πριγκιπικός	furstlig
πριν	före
πριονίδι	spån
πριονίζω	såga
πριονιστήριο	sågverk
πριτσίνι	nit
πριόνι	såg
προ-	för-
προάγγελος	förebud
προάγω	främja
προάστιο	förort
προέλευση	ursprung
προέρχομαι	härröra
προίκα	hemgift
προαγωγή	befordran
προαιρετικά	fakultativt
προαιρετικός	fakultativ
προαστιακός	förorts-
προαύλιο	gård
προβάδισμα	ledning
προβατίνα	tacka
προβλέπω	förutsäga
προβλέψιμος	förutsägbar
προβοκάτορας	provokatör
προβοκάτσια	provokation
προβολέας	strålkastare
προβοσκίδα	snabel
προγαμιαίος	föräktenskaplig
προγιαγιά	farfarsmor
προγονή	styvdotter
προγονός	styvson
προγραμματίζω	programmera
προγραμματισμός	programmering
προγραμματιστής	programmerare
προδίδω	förråda
προδιαγράφω	ordinera
προδιαγραφή	specifikation
προδοσία	förräderi
προδοτικός	förrädisk
προδότης	förrädare
προεδρία	presidentskap
προεδρείο	presidium
προειδοποίηση	varning
προειδοποιώ	varna
προεκλαμψία	graviditetstoxikos
προεπισκόπηση	förhandsvisning
προετοιμάζω	förbereda
προετοιμασμένος	beredd
προηγουμένως	förut
προηγούμενος	föregående
προθεσμία	deadline
προκάτοχος	föregångare
προκαλώ	vålla
προκατάληψη	fördom
προκαταβολή	handpenning
προκατειλημμένος	fördomsfull
προκυμαία	kaj
προλίνη	prolin
προλαβαίνω	förebygga
προλαμβάνω	förekomma
προλετάριος	proletär
προλεταριάτο	proletäriat
προλεταριακός	proletär
προληπτικός	skrockfull
προμήθειο	prometium
προμήκης μυελός	förlängda märgen
προμηθευτής	proviantör
προμνησία	déjà vu
προνόμιο	privilegium
προνύμφη	larv
προξενείο	konsulat
προξενητής	äktenskapsmäklare
προξενώ	framkalla
προοδευτικός	progressiv
προοδευτισμός	progressivism
προορισμός	destination
προπάππος	farfarsfar
προπάτορας	förfader
προπέλα	propeller
προπαγάνδα	propaganda
προπαραγγέλνω	förbeställa
προπατορικό αμάρτημα	arvsynd
προπονητής	tränare
προπονώ	träna
προπτυχιακός	student
προπόνηση	träning
προς	angående
προς Θεσσαλονικείς Α΄	Första Thessaloniker
προς Θεσσαλονικείς Β΄	Andra Thessaloniker
προς Κορινθίους Α'	Första Korinthier
προς Κορινθίους Β'	Andra Korinthier
προς Ρωμαίους	Romarbrevet
προσάρτηση	annektering
προσέγγιση	närmande
προσέχω	uppmärksamma
προσήλυτος	konvertit
προσήνεμος	lovart
προσαρμόζω	anpassa
προσαρτώ	annektera
προσβάλλω	förolämpa
προσβασιμότητα	tillgänglighet
προσβλητικός	anstötlig
προσβολή	förolämpning
προσγείωση	landning
προσγειώνω	landa
προσδίδω	tilldela
προσδιορισμός	attribut
προσδοκία	förväntan
προσεγγίζω	närma
προσεκτικός	uppmärksam
προσελκύω	locka
προσεταιριστικός	associativ
προσευχή	bön
προσεύχομαι	bedja
προσηλυτίζω	omvända
προσθέτω	tillfoga
προσθετέος	addend
προσιτός	tillgänglig
προσκαλώ	inbjuda
προσκοπισμός	scouting
προσκρούω	kollidera
προσκυνητής	pilgrim
προσκύνημα	pilgrimsfärd
προσλαμβάνω	anställa
προσοχή	uppmärksamhet
προσπάθεια	bemödande
προσπαθώ	försöka
προσποιούμαι	låtsas
προσρόφηση	adsorption
προστάτης	blåshalskörtel
προστακτική	imperativ
προστασία	skydd
προστατευτικός	beskyddare
προστατευτισμός	protektionism
προστατεύω	skydda
προσφέρω	erbjuda
προσφορά	offert
προσχέδιο	utkast
προσωδία	prosodi
προσωδιακός	prosodisk
προσωπαγνωσία	prosopagnosi
προσωπικό	personal
προσωπικός	personlig
προσωπικός υπολογιστής	persondator
προσωπικότητα	personlighet
προσωπογράφος	porträttmålare
προσωπογραφία	porträtt
προσωπολατρία	personkult
προσωποποίηση	personifikation
προσωρινός	temporär
προτείνω	föreslå
προτελευταίος	näst sist
προτεραιότητα	företräde
προτεσταντισμός	protestantism
προτιμώ	föredra
προτομή	byst
προτού	förrän
προφέρω	uttala
προφήτης	profet
προφανής	uppenbar
προφανώς	tydligen
προφητεία	profetia
προφορά	uttal
προφορικός	muntlig
προφυλακτήρας	stötfångare
προφυλακτικό	kondom
προφύλαξη	försiktighet
προχθές	i förrgår
προχωρητικός	progressiv
προχωρώ	avancera
προωθώ	befordra
προϊστορικός	förhistorisk
προϊόν	produkt
προϋποθέτω	förutsätta
προϋπολογισμός	budget
προϋπόθεση	kondition
προώθηση	befordran
πρωί	morgon
πρωθυπουργός	statsminister
πρωινό	frukost
πρωκτός	analöppning
πρωσικός	preussisk
πρωτάθλημα	mästerskap
πρωτάρης	novis
πρωταγωνιστής	huvudperson
πρωταθλητής	mästare
πρωτακτίνιο	protaktinium
πρωταπριλιά	aprilskämt
πρωτεΐνη	protein
πρωτεύον κλειδί	primärnyckel
πρωτεύουσα	huvudstad
πρωτοβουλία	initiativ
πρωτογλώσσα	urspråk
πρωτολογισμός	protologism
πρωτοπορία	förtrupp
πρωτοποριακός	avantgardist
πρωτοπόρος	pionjär
πρωτοτόκος	förstfödd
πρωτόγαλα	råmjölk
πρωτόγονος	primitiv
πρωτόκολλο	protokoll
πρωτόνιο	proton
πρωτότυπος	originell
πρόβα	repetition
πρόβατο	får
πρόβλεψη	förutsago
πρόβλημα	problem
πρόγευμα	frukost
πρόγνωση	prognos
πρόγνωση καιρού	väderprognos
πρόγονος	förfader
πρόγραμμα	mjukvara
πρόδρομος	föregångare
πρόεδρος	president
πρόθεμα	prefix
πρόθεση	preposition
πρόθημα	förstavelse
πρόθυμος	villig
πρόκειται	angå
πρόκληση	utmaning
πρόλοβος	kräva
πρόλογος	prolog
πρόναος	pronaos
πρόξενος	konsul
πρόοδος	framsteg
πρόποση	skål
πρόσβαση	passage
πρόσημο	tecken
πρόσθεση	addition
πρόσκαιρος	temporär
πρόσκληση	inbjudan
πρόσκοπος	scout
πρόσοψη	fasad
πρόστιμο	bot
πρόστυχος	liderlig
πρόσφατος	ny
πρόσφορος	gagnelig
πρόσφυγας	flykting
πρόσχημα	förevändning
πρόσωπο	ansikte
πρόταση	mening
πρότυπο	mall
πρόχειρο	urklipp
πρόωρα	i förtid
πρόωρος	tidig
πρύμνη	akter
πρύτανης	högskolerektor
πρώην	förra
πρώιμος	tidig
πρώτα	först
πρώτον	för det första
πρώτος	prim
πρώτος αριθμός	primtal
πτήση	flyg
πταίσμα	förseelse
πταισματοδικείο	rådhusrätt
πτερύγιο	fena
πτητικός	flyktig
πτυελοδοχείο	spottkopp
πτυχή	veck
πτυχίο	examen
πτωχεύω	gå i konkurs
πτώμα	kadaver
πτώση	kasus
πτώχευση	bankrutt
πυγμάχος	boxare
πυγμή	lagg
πυγμαίος	pygmé
πυγμαχία	boxning
πυγμαχώ	boxas
πυγολαμπίδα	lysmask
πυθμένας	botten
πυκνωτής	kondensator
πυκνός	tät
πυκνότητα	täthet
πυλωρός	pylorus
πυλώνας	elstolpe
πυξίδα	kompass
πυρ	eld
πυρά	bål
πυρήνας	atomkärna
πυρίτιδα	krut
πυρίτιο	kisel
πυραμίδα	pyramid
πυραμιδικός	pyramidal
πυρετός	feber
πυρετώδης	febrig
πυρηνική φυσική	kärnfysik
πυρηνικός	kärn-
πυρκαγιά	brand
πυροβολαρχία	batteri
πυροβολικό	artilleri
πυροβολώ	skjuta
πυροβόλο	eldvapen
πυρομανής	pyroman
πυρομανία	pyromani
πυρομαχικά	ammunition
πυροσβέστης	brandman
πυροσβεστήρας	brandsläckare
πυροσβεστική	brandförsvar
πυροτέχνημα	fyrverkeri
πυρσός	bloss
πυτιά	löpe
πυώδης	varig
πωλήτρια	försäljerska
πωλητής	försäljare
πως	att
πόδι	fot
πόζα	pose
πόθος	begär
πόκερ	poker
πόλεμος	krig
πόλη	stad
πόλο	hästpolo
πόλος	pol
πόμολο	dörrhandtag
πόνος	smärta
πόντος	poäng
πόντσο	poncho
πόρισμα	dom
πόρνη	prostituerad
πόρος	medel
πόρτα	dörr
πόσο	hur mycket
πόσο μάλλον	och ännu mindre
πότε	när
πότε πότε	då och då
πύθωνας	pytonorm
πύλη	grind
πύραυλος	robot
πύργος	torn
πύργος ελέγχου	kontrolltorn
πώληση	försäljning
πώμα	lock
πώς	hur
ράβδος	stång
ράβδωση	rand
ράβω	sy
ράγισμα	spricka
ράγκμπι	rugby
ράδιο	radium
ράμπα	ramp
ράμφος	näbb
ράσπα	rasp
ράφι	hylla
ράφτης	skräddare
ράφτρα	sömmerska
ρέγκα	sill
ρέκβιεμ	rekviem
ρέμα	bäck
ρέστα	växel
ρέω	strömma
ρήγας	kung
ρήμα	verb
ρήνιο	rhenium
ρήτορας	föreläsare
ρήτρα	klausul
ρίγανη	kungsmynta
ρίγος	darrning
ρίζα	rot
ρίζωμα	jordstam
ρίσκο	risk
ρίχνω	kasta
ρίχνω το γάντι	kasta handsken
ρίψη	kast
ραβέντι	rabarber
ραβίνος	rabbin
ραβδί	stav
ραγίζω	spricka
ραδερφόρντιο	rutherfordium
ραδιενέργεια	radioaktivitet
ραδιενεργός	radioaktiv
ραδιοδέκτης	radiomottagare
ραδιοκύμα	radiovåg
ραδιοπομπός	radiosändare
ραδιοσταθμός	radiostation
ραδιουργία	intrig
ραδιόφωνο	radio
ραδόνιο	radon
ραθυμία	lojhet
ρακέτα	racket
ρακλέτα	fönsterskrapa
ρακοσυλλέκτης	lumpsamlare
ρακούν	tvättbjörn
ραντάρ	radar
ραντεβού	möte
ραπάνι	rädisa
ραπτομηχανή	symaskin
ρατσισμός	rasism
ρατσιστής	rasist
ρατσιστικός	rasistisk
ραφή	söm
ραφείο	skräddarverkstad
ραχοκοκαλιά	grundstomme
ραψωδία	rapsodi
ρεαλισμός	realism
ρεαλιστής	realistisk
ρεαλιστικός	realistisk
ρεαλπολιτίκ	realpolitik
ρεβίθι	kikärt
ρεβανσισμός	revanschism
ρεβιζιονισμός	revisionism
ρεζεντά	reseda
ρεζερβέ	reserverad
ρεκόρ	rekord
ρεμβασμός	dagdröm
ρεπερτόριο	repertoar
ρεπεσάζ	uppsamlingsheat
ρεπορτάζ	reportage
ρεπουμπλικάνος	republikansk
ρεπουμπλικανισμός	republikanism
ρεπόρτερ	reporter
ρεσεψιονίστ	receptionist
ρεσεψιόν	reception
ρεστία	dyning
ρετιρέ	takvåning
ρετσίνα	retsina
ρετσίνι	kåda
ρευματοδότης	uttag
ρευματολογία	reumatologi
ρευστό	kontant
ρευστότητα	likviditet
ρεφρέν	refräng
ρεύμα	ström
ρεύομαι	rapa
ρημάζω	ödelägga
ρημαγμένος	fallfärdig
ρητά	uttryckligen
ρητίνη	kåda
ρητορική	retorik
ρητορική ερώτηση	retorisk fråga
ρητορικός	retorisk
ρητό	maxim
ρητός	rationell
ρητός αριθμός	rationellt tal
ρηχός	horisontell
ριβόσωμα	ribosom
ριγώ	darra
ριζάρι	krappar
ριζικός	radikal
ριζοσπαστικοποίηση	radikalisering
ριζοσπαστικός	radikal
ριζοσπαστισμός	radikalism
ρινίζω	fila
ρινγκ	ring
ρινικός	nasal
ρινόκερος	noshörning
ρισκάρω	riskera
ριψοκίνδυνος	vågsam
ρο	rho
ροή	flöde
ροδάκινο	persika
ροδάνι	spinnrock
ροδιά	granatäppelträd
ροδόνερο	rosenvatten
ροζ	rosa
ροζάριο	radband
ροζέ	rosévin
ροζέτα	rosett
ροκ	rock
ροκέ	rockad
ροκανίζω	gnaga
ροκοκό	rokoko
ρολογάς	urmakare
ρολόι	klocka
ρομαντικός	romantisk
ρομπότ	robot
ροοστάτης	potentiometer
ρουβίδιο	rubidium
ρουθήνιο	rutenium
ρουθούνι	näsborre
ρουλέτα	roulett
ρουλεμάν	kullager
ρουμανικά	rumänska
ρουμανικός	rumänsk
ρουμπίνι	rubin
ρουνικός	run-
ρουτίνα	rutin
ρουφήχτρα	fyllbult
ροχαλίζω	snarka
ροχαλητό	snarkning
ρούβλι	rubel
ρούμι	rom
ρούχο	kläder
ρυάκι	bäck
ρυζάλευρο	rismjöl
ρυζόγαλο	risgrynsgröt
ρυθμίζω	anpassa
ρυθμός	rytm
ρυμουλκώ	bogsera
ρυμούλκα	släpkärra
ρυπαρός	smutsig
ρυτίδα	rynka
ρωμαιοκαθολικός	romersk-katolik
ρωμαλέος	kraftig
ρωμαϊκός	Romerska
ρωσικά	ryska
ρωσικός	rysk
ρωσόφιλος	russofil
ρωτώ	fråga
ρόδα	däck
ρόδι	granatäpple
ρόδινος	rosa
ρόδιο	rodium
ρόκα	rucola
ρόλος	roll
ρόμβος	romb
ρόμπα	morgonrock
ρόπαλο	påk
ρύγχος	nos
ρύζι	ris
ρώγα	bröstvårta
σ' αγαπώ	jag älskar dig
σάβανο	svepning
σάκε	sake
σάκος	säck
σάκχαρο	socker
σάλι	schal
σάλιο	saliv
σάλπιγγα	äggledare
σάλτσα	sås
σάντουιτς	sandwich
σάουνα	bastu
σάπιος	rutten
σάρκα	kött
σάρκωμα	sarkom
σάτιρα	satir
σάτυρος	satyr
σάχης	shah
σέβομαι	respektera
σέγα	lövsåg
σέλα	sadel
σέλας	polarsken
σέλινο	bladselleri
σέλφι	egobild
σέντερ μπακ	mittback
σέντερ φορ	central anfallare
σέξι	sexig
σέρνω	dra
σέσκουλο	mangold
σήμα	signal
σήμα κατατεθέν	logga
σήμερα	idag
σήραγγα	tunnel
σίγουρα	minsann
σίγουρος	säker
σίδερο	järn
σίδηρος	järn
σίκαλη	råg
σαβάνα	savann
σαγιονάρα	flip-flop
σαγκρία	sangria
σαγόνι	haka
σαδισμός	sadism
σαδομαζοχισμός	sadomasochism
σαζάνι	karp
σακάκι	jacka
σακίδιο	ryggsäck
σακαράκα	rishög
σακούλα	kasse
σαλάμι	salami
σαλάτα	sallad
σαλάχι	rocka
σαλιάζω	dregla
σαλιάρα	haklapp
σαλιγκάρι	snigel
σαλόνι	finrum
σαμάνος	schaman
σαμάρι	packsadel
σαμάριο	samarium
σαμανισμός	schamanism
σαμιαμίδι	geckoödla
σαμοβάρι	samovar
σαμουράι	samuraj
σαμπάνια	champagne
σαμποτάρω	sabotera
σαμποτέρ	sabotör
σαμπουάν	schampo
σαμπούκος	fläder
σαμπρέλα	innerslang
σαμπό	träsko
σαν	lik
σανίδα	bräda
σανδάλι	sandal
σανσκριτικά	sanskrit
σανταλόξυλο	sandel
σαντιγί	vispgrädde
σαντούρι	hackbräde
σανός	hö
σαξόφωνο	saxofon
σαπουνίζω	tvåla in
σαπουνόπερα	såpa
σαπουνόπετρα	täljsten
σαπουνόφουσκα	såpbubbla
σαπούνι	tvål
σαράντα	fyrtio
σαρακοστή	Påskfastan
σαρανταποδαρούσα	enkelfoting
σαρδέλα	sardin
σαρδηνιακά	sardiska
σαρδόνιος	sardonisk
σαρκασμός	sarkasm
σαρκαστικός	sarkastisk
σαρκοβόρος	köttätande
σαρκοφάγος	sarkofag
σαρσέλα	årta
σαρωτής	bildläsare
σασί	chassi
σατέν	satäng
σατανάς	satan
σατανικός	satanisk
σατανισμός	djävulsdyrkan
σατράπης	satrap
σαφάρι	safari
σαφήνεια	klarhet
σαφής	sammanhängande
σαφράνι	saffran
σαχ	schack
σαϊεντολογία	scientologi
σαύρα	ödla
σβάρνα	harv
σβάστικα	svastika
σβέρκος	nacke
σβήνω	släcka
σβαρνίζω	harva
σβουνιά	komocka
