έξ	ex
παιδεύω	peiner
παιδιάρισμα	enfantillage
παιδιάστικος	puéril
παιδιακίστικα	enfantinement
παιδιαρίζω	batifoler
παιδιατρική	pédiatrie
παιδιατρικός	pédiatrique
παιδική χαρά	jardin d'enfants
παιδικός	enfantin
παιδικός σταθμός	jardin d'enfants
παιδο-	pédo-
παιδογένεση	pédogenèse
παιδοκτονία	infanticide
παιδοκτόνος	infanticide
παιδολογία	pédologie
παιδολογικός	pédologique
παιδοτρίβης	pédotribe
παιδοχειρουργός	pédochirurgien
παιδοψυχίατρος	pédopsychiatre
παιδούπολη	paidoupolis
παινεύομαι	se vanter
παιχνίδι	jeu
παιχνιδιάρης	joueur
παιχνιδιάρισμα	badinerie
παιχνιδιαρίζω	badiner
παιχνιδοκονσόλα	console de jeux vidéo
πακέτο	paquet
πακετάρισμα	empaquetage
πακετάρω	emballer
πακιστανικός	pakistanais
παλάμη	paume
παλάσκα	cartouchière
παλάτι	palais
παλίμψηστο	palimpseste
παλίμψηστος	regratté
παλίρροια	marée
παλαίμαχος	ancien
παλαίστρια	lutteuse
παλαίτυπο	incunable
παλαβός	bête
παλαβώνω	devenir
παλαιά γαλλικά	ancien français
παλαιά νορβηγικά	vieux norrois
παλαιά σαξονικά	vieux saxon
παλαιά τουρκικά	vieux turc
παλαιικός	vieillot
παλαιο-	paléo-
παλαιοανθρωπολογία	paléoanthropologie
παλαιοαρχαιολογία	paléoarchéologie
παλαιοβοτανική	paléobotanique
παλαιογεωγραφία	paléogéographie
παλαιογεωγραφικός	paléogéographique
παλαιογραφία	paléographie
παλαιοζωικός	paléozoïque
παλαιοζωολογία	paléozoologie
παλαιολιθική	Paléolithique
παλαιολιθικός	paléolithique
παλαιοντολογία	paléontologie
παλαιοντολογικός	paléontologique
παλαιοπαθολογία	paléopathologie
παλαιοπώλης	antiquaire
παλαιοχριστιανικός	paléochrétien
παλαιοϊστολογία	paléohistologie
παλαιοϊχνολογία	paléoïchnologie
παλαιστής	lutteur
παλαιστινιακός	palestinien
παλαιός	vieux
παλαιότητα	ancienneté
παλαιώνω	faire
παλαμάρι	câble
παλαμίδα	pélamide
παλαμικός	palamique
παλεύω	lutter
παλιά	autrefois
παλιάνθρωπος	canaille
παλιάτσος	clown
παλιανθρωπιά	canaillerie
παλιατζής	brocanteur
παλιατζίδικο	brocante
παλιατζούρα	vieillerie
παλιατσαρία	vieillerie
παλιγγενεσία	renaissance
παλικαρίσια	bravement
παλινδρόμηση	reflux
παλιννοστώ	pays
παλιννόστηση	rapatriement
παλινορθώνω	restaurer
παλινωδώ	palinodier
παλινόρθωση	restauration
παλιο-	sale
παλιοθήλυκο	garce
παλιομοδίτικος	démodé
παλιοτόμαρο	crapule
παλιόγερος	barbon
παλιόκρασο	vinasse
παλιόπαιδο	garnement
παλιός	vieux
παλιόσκυλο	fumier
παλιόφυτρα	engeance
παλιώνω	faire
παλλάδιο	palladium
παλλόμενος	vibrant
παλμαρέ	palmarès
παλμικός	pulsatif
παλμός	pulsation
παλουκώνω	empaler
παλούκι	os
παλτό	manteau
παμπάλαιος	antique
παμφάγος	omnivore
παμψηφία	unanimité
παμψηφεί	unanimité
παμψυχισμός	panpsychisme
παν	entier
παν-	pan-
πανάκεια	panacée
πανάρω	paner
πανέξυπνος	brillant
πανέρι	corbeille
πανήγυρη	foire
πανί	toile
πανίδα	faune
πανίσχυρος	surpuissant
παναθηναϊκός	panathénaïque
παναμερικανισμός	panaméricanisme
παναραβισμός	panarabisme
πανδαιμόνιο	remue-ménage
πανδαισία	banquet
πανδημία	pandémie
πανδημικός	pandémique
πανδοχείο	auberge
πανεθνικός	nation
πανελλήνιος	panhellénique
πανεπιστήμιο	université
πανεπιστημιακός	universitaire
πανεπιστημιούπολη	campus
πανετόνε	panettone
πανευτυχής	bienheureux
πανευτυχώς	bienheureusement
πανηγυρίζω	célébrer
πανηγυρισμός	jubilation
πανηγυριώτικος	fête
πανηγύρι	foire
πανθεϊσμός	panthéisme
πανθεϊστικός	panthéistique
πανικοβάλλομαι	paniquer
πανικοβάλλω	panique
πανικόβλητος	paniqué
πανικός	panique
πανισλαμισμός	panislamisme
πανλειτουργισμός	fonctionnalisme
πανοπλία	armure
πανοραμικός	panoramique
πανούκλα	peste
πανούργος	rusé
πανσέληνος	pleine lune
πανσές	pensée
πανσέτα	entrelardés
πανσλαβισμός	panslavisme
πανσοφία	omniscience
πανσπερμία	panspermie
πανσπερμικός	panspermique
πανσπερμιστής	panspermiste
πανταχού	partout
παντελόνι	pantalon
παντεϊσμός	pandéisme
παντζάρι	betterave
παντζούρι	volet
παντογνωσία	omniscience
παντογνώστης	omniscient
παντογράφος	pantographe
παντοδυναμία	toute-puissance
παντοδύναμος	tout-puissant
παντοθενικός	pantothénique
παντοκατευθυντικός	omnidirectionnel
παντοπωλείο	épicerie
παντοπώλης	épicier
παντοπώλισσα	épicière
παντοτινά	toujours
παντοτινός	éternel
παντουφλάζ	pantouflage
παντού	partout
παντρειά	mariage
παντρεμένος	marié
παντρεύομαι	se marier
παντρεύω	marier
παντρολογώ	arranger
παντόγραμμα	pangramme
παντόφλα	pantoufle
πανωλεθρία	débâcle
πανωφόρι	manteau
πανόραμα	panorama
πανύψηλος	colossal
παξιμάδι	biscotte
παπάγια	papaye
παπάρας	trou du cul
παπάς	pope
παπαγάλος	perroquet
παπαγαλίζω	apprendre par cœur
παπαδόσπιτο	presbytère
παπαρούνα	pavot
παπιέ μασέ	papier-mâché
παπιαμέντο	papiamento
παπιγιόν	nœud papillon
παπισμός	papisme
παπουτσοθήκη	chaussures
παπουτσωμένος	le Chat Botté
παπούτσι	chaussure
παππούλης	papi
παππούς	grand-père
παπυρολόγος	papyrologue
παρά	a dispetto di
παράβαση	infraction
παράβολο	caution
παράγοντας	facteur
παράγραφος	paragraphe
παράγω	produire
παράγωγο	dérivé
παράγωγος	dérivée
παράγωγος	différentielle
παράδειγμα	exemple
παράδεισος	paradis
παράδοξα	paradoxalement
παράδοξο	paradoxe
παράδοξος	paradoxal
παράδοση	tradition
παράδρομος	chemin de traverse
παράθεση	juxtaposition
παράθυρο	fenêtre
παράκαμψη	détour
παράκεντρος	paracentrique
παράκληση	sollicitation
παράλειψη	omission
παράλια	littoral
παράλλαξη	parallaxe
παράλληλα	parallèlement
παράλληλος	parallèle
παράλογο	absurde
παράλογος	absurde
παράλυση	paralysie
παράμερα	écart
παράμεσος	annulaire
παράμετρος	paramètre
παράνοια	paranoïa
παράνομα	illégalement
παράνομος	illicite
παράξενος	étrange
παράπηγμα	baraque
παράπλαγο	pente
παράπλευρη απώλεια	dommage collatéral
παράπλευρος	collatéral
παράπονο	plainte
παράπτωμα	faute
παράρτημα	annexe
παράς	fric
παράσημο	décoration
παράσιτο	parasite
παράσπιτο	dépendance
παράσπονδος	perfide
παράσταση	représentation
παράστημα	tournure
παράταιρος	dépareillé
παράταξη	alignement
παράταση	prolongation
παράτολμος	audacieux
παράτυπος	irrégulier
παράφορα	ardemment
παράφορος	ardent
παράφραση	paraphrase
παρέα	compagnie
παρέκβαση	digression
παρέκκλιση	déviation
παρέλαση	défilé
παρέμβαση	ingérence
παρένθεση	parenthèse
παρέρχομαι	passer
παρέχω	fournir
παρήχηση	allitération
παρίσταμαι	assister
παραίσθηση	hallucination
παραίτηση	démission
παραβάν	paravent
παραβάτης	contrevenant
παραβίαση	violation
παραβαίνω	contrevenir
παραβατικός	infractionnel
παραβγαίνω	faire la course
παραβιάζω	défoncer
παραβλέπω	voir et revoir
παραβολή	parabole
παραβολικός	parabolique
παραγγελία	commande
παραγγελιοδότης	commanditaire
παραγγελιοδόχος	commissionnaire
παραγεμίζω	bourrer
παραγερνώ	décrépir
παραγιός	adoptif
παραγκούπολη	bidonville
παραγκωνίζω	évincer
παραγνωρίζω	méconnaître
παραγοντοποίηση	factorisation
παραγοντοποιώ	factoriser
παραγράφω	disserter
παραγραφή	prescription
παραγωγή	production
παραγωγίσιμος	dérivable
παραγωγικός	productif
παραγωγικότητα	productivité
παραγωγός	producteur
παραγόμενος	produit
παραδάκι	fric
παραδέρνω	balloté
παραδέχομαι	admettre
παραδίδομαι	se rendre
παραδίδω	livrer
παραδειγματικός	exemplaire
παραδεισένιος	paradisiaque
παραδεκτός	acceptable
παραδοξολογία	extravagance
παραδοσιακά	traditionnellement
παραδοσιακός	traditionnel
παραδοσιοκρατία	traditionalisme
παραδοτέος	livrable
παραδουλεύτρα	femme de ménage
παραδοχή	admission
παραδόξως	paradoxalement
παραδόπιστος	cupide
παραεμπόριο	marché
παραζάλη	confusion
παραθέτω	citer
παραθαλάσσιος	côtier
παραθερίζω	passer
παραθερισμός	villégiature
παραθεριστής	estivant
παραισθησία	paresthésie
παραισθησιογόνος	hallucinogène
παραιτούμαι	démissionner
παραιτώ	démissionner
παρακάμπτω	contourner
παρακάνω	en faire trop
παρακάτω	plus bas
παρακίνηση	incitation
παρακαλώ	avec plaisir
παρακαλώ	prier
παρακαταθήκη	consignation
παρακατιανός	commun
παρακείμενος	adjacent
παρακεντρικός	paracentrique
παρακινώ	inciter
παρακλάδι	branche
παρακλητικός	implorant
παρακμάζω	décliner
παρακμή	déclin
παρακολουθώ	surveiller
παρακολούθηση	assistance
παρακούω	comprendre
παρακράτηση	prélèvement
παρακρατώ	durer
παρακόρη	bonne
παραλέω	exagérer
παραλήγουσα	pénultième
παραλήπτης	destinataire
παραλήρημα	jacassement
παραλής	friqué
παραλία	plage
παραλαβή	réception
παραλαμβάνω	recevoir
παραλείπω	omettre
παραληρώ	délirer
παραλιακός	balnéaire
παραλλαγή	variation
παραλλακτικός	parallactique
παραλληλίζω	paralléliser
παραλληλεπίπεδο	parallélépipède
παραλληλισμός	parallélisme
παραλληλογράφος	parallélographe
παραλληλόγραμμο	parallélogramme
παραλογίζομαι	déraisonner
παραλογισμός	aberration
παραλυμένος	paralysé
παραλυτικός	paralytique
παραλύω	paralyser
παραμάνα	nourrice
παραμέληση	négligence
παραμένω	rester
παραμαγνητικός	paramagnétique
παραμελημένος	négligé
παραμελώ	négliger
παραμερίζω	côté
παραμετρικός	paramétrique
παραμικρός	moindre
παραμιλητό	divagation
παραμιλώ	délirer
παραμονή	séjour
παραμονεύω	se cacher
παραμορφωμένος	défiguré
παραμορφωτικός	déformant
παραμορφώνω	déformer
παραμυθάς	conteur
παραμυθένιος	fabuleux
παραμυθιάζω	baratiner
παραμόρφωση	distorsion
παραμύθι	conte
παρανάλωμα	proie
παρανομία	illégalité
παρανομώ	déroger
παρανοϊκός	paranoïaque
παρανοώ	interpréter
παρανυστάζω	crouler
παρανόηση	contresens
παραξενεμένος	surpris
παραξενεύω	surprendre
παραξενιά	étrangeté
παραπάνω	de
παραπάτημα	faux pas
παραπέμπω	renvoyer
παραπέντε	parapente
παραπέρα	plus loin
παραπέτασμα	rideau
παραπέτο	parapet
παραπαίδι	adoptif
παραπαίω	tituber
παραπανίσιος	superflu
παραπατώ	trébucher
παραπλάνηση	tromperie
παραπλήσιος	proche
παραπλανητικός	trompeur
παραπλανώ	tromper
παραπληγία	paraplégie
παραπληγικός	paraplégique
παραπληροφορώ	mésinformer
παραπληροφόρηση	désinformation
παραποίηση	contrefaçon
παραποιώ	contrefaire
παραπομπή	renvoi
παραπονιάρης	plaintif
παραπονιέμαι	se plaindre
παραπόταμος	affluent
παρασημοφορία	décoration
παρασημοφορώ	décorer
παρασιτικός	parasitique
παρασιτισμός	parasitisme
παρασιτοκτόνος	parasiticide
παρασιτολογία	parasitologie
παρασιτολογικός	parasitologique
παρασκήνιο	coulisse
παρασκευάζομαι	se préparer
παρασκευάζω	fabriquer
παρασκευή	préparation
παρασκευαστής	préparateur
παρασκεύασμα	préparation
παρασκηνιακός	en cachette
παρασκιά	pénombre
παραστέκομαι	assister
παραστατικός	descriptif
παραστράτημα	incartade
παραστρατημένος	délinquant
παραστρατιωτικός	paramilitaire
παραστρατώ	fauter
παρασόλ	parasol
παρασύνθημα	mot de passe (sens militaire)
παρασύρομαι	s'emporter
παρασύρω	entraîner
παρατάσσομαι	mettre
παρατάσσω	mettre
παρατήρηση	remarque
παρατακτικός	qui coordonne
παρατατικός	imparfait
παρατείνω	prolonger
παρατεταγμένος	aligné
παρατεταμένος	prolongé
παρατηρήσιμος	observable
παρατηρήτρια	observatrice
παρατηρητήριο	observatoire
παρατηρητής	observateur
παρατηρητικότητα	don d'observation
παρατηρούμαι	s'observer
παρατηρώ	observer
παρατονισμός	accentuation
παρατραβώ	traîner en longueur
παρατρεχάμενος	factotum
παρατσούκλι	surnom
παρατυπία	irrégularité
παρατώ	abandonner
παραφέρομαι	fulminer
παραφίνη	paraffine
παραφιλία	paraphilie
παραφορά	colère
παραφορτώνω	surcharger
παραφράζω	paraphraser
παραφρονώ	devenir
παραφροσύνη	démence
παραφυάδα	ramification
παραχάραξη	contrefaction
παραχαράζω	contrefaire
παραχαράκτης	contrefacteur
παραχαϊδεύω	gâter
παραχωρήσιμος	cessible
παραχωρώ	céder
παραχώνω	enfouir
παραχώρηση	concession
παραψυχολογία	parapsychologie
παραψυχολογικός	parapsychologique
παραωριμασμένος	trop mûr
παρδαλός	bariolé
παρείσακτος	intrus
παρείσφρηση	intercalation
παρεγκεφαλίδα	cervelet
παρεγκεφαλίτιδα	parencéphalite
παρεκβαίνω	digresser
παρεκκλήσι	chapelle
παρεκκλίνω	dévier
παρεκτροπή	déviation
παρελαύνω	défiler
παρελθόν	passé
παρεμβάλλω	intercaler
παρεμβαίνω	intervenir
παρεμβατικός	interventionniste
παρεμβατισμός	interventionnisme
παρεμβολή	interférence
παρεμπιπτόντως	incidemment
παρεμποδίζω	entraver
παρενέργεια	effet secondaire
παρενδυσία	transvestisme
παρενοχλώ	harceler
παρενόχληση	harcèlement
παρεξήγηση	malentendu
παρεξηγώ	méprendre
παρερμηνεία	interprétation
παρερμηνεύω	mésinterpréter
παρετυμολογία	étymologie populaire
παρευρίσκομαι	assister
παρευρισκόμενος	assistant
παρεό	paréo
παρηγορήτρια	consolatrice
παρηγορητής	consolateur
παρηγορητικός	consolateur
παρηγοριά	consolation
παρηγορώ	consoler
παρηκμασμένος	décadent
παρθένα	pucelle
παρθένος	vierge
παρθεναγωγείο	filles
παρθενιά	virginité
παρθενικός	virginal
παρθενογένεση	parthénogenèse
παριζιάνικος	parisien
παρισινός	parisien
παριστάνω	représenter
παρκ φερμέ	parc fermé
παρκάρω	garer
παρκέ	parquet
παρκαδόρος	voiturier
παρκετάρω	cirer
παρκούρ	parcours
παρκόμετρο	parcmètre
παρλάρω	jacasser
παρλαμάς	parlement
παρλαπίπας	baratin
παρμεζάνα	parmesan
παρμπρίζ	pare-brise
παρντόν	pardon
παροδικός	passager
παροδικότητα	impermanence
παροικία	colonie
παροιμία	proverbe
παροιμιώδης	proverbial
παρολί	paroli
παρομοίωση	comparaison
παρομοιάζω	comparer
παρονομαστής	dénominateur
παροξυσμός	paroxysme
παροξύτονος	paroxyton
παροπλίζω	désarmer
παροπλισμός	désarmement
παρορμητικός	impulsif
παρουσία	présence
παρουσίαση	présentation
παρουσιάσιμος	présentable
παρουσιάστρια	présentatrice
παρουσιαστής	présentateur
παρουσιαστικό	apparence
παροχή	fourniture
παρσέκ	parsec
παρτίδα	lot
παρτενέρ	partenaire
παρτιζάνος	partisan
παρτιτούρα	partition
παρτουζιάρης	partouzeur
παρτούζα	partouze
παρυφή	frange
παρφουμαρισμένος	parfumé
παρωδία	parodie
παρωδιακός	parodique
παρωδώ	parodier
παρωνυχία	paranis
παρωνυχίδα	envie
παρωτίδα	parotide
παρωτίτιδα	oreillons
παρωχημένος	périmé
παρόμοια	semblablement
παρόμοιος	similaire
παρόν	présent
παρόρμηση	pulsion
παρότρυνση	encouragement
παρόχθιος	riverain
παρών	présent
παρώνυμο	paronyme
παρώνυμος	paronyme
πας	chacun
πασάλειμμα	barbouillage
πασάρω	faire
πασάς	pacha
πασέ	passé
πασέρ	passeur
πασίγνωστος	bien
πασαλείβω	barbouiller
πασαρέλα	podium
πασατέμπος	courge
πασμαντερί	passementerie
πασπαλίζω	saupoudrer
πασπαρτού	passe-partout
πασπατεύω	tripoter
παστάδα	alcôve
παστέλ	pastel
παστίς	pastiche
παστερίωση	pasteurisation
παστεριώνω	pasteuriser
παστός	salé
παστώνω	saler
πασχίζω	s'efforcer
πασχαλίτσα	coccinelle
πασχαλιά	lilas
πασχαλινός	pascal
πατάκι	paillasson
πατάρι	mezzanine
πατάσσω	punir
πατάτα	pomme de terre
πατάω	fouler
πατέντα	patente
πατέρας	père
πατίνα	patine
πατίνι	patin à roulettes
παταγώδης	retentissant
πατατούκα	cape
πατερίτσα	béquille
πατερημά	patenôtres
πατερναλισμός	paternalisme
πατημασιά	empreinte
πατητήρι	pressoir
πατικώνω	presser
πατιρντί	tapage
πατρίδα	patrie
πατρίκιος	patricien
πατριάρχης	patriarche
πατριαρχία	patriarcat
πατριαρχικός	patriarcal
πατριδογνωσία	géographie indigène
πατριδογραφία	géographie indigène
πατρικός	paternel
πατριωτικά	patriotiquement
πατριωτικός	patriotique
πατριωτισμός	patriotisme
πατριός	beau-père
πατριώτης	patriote
πατριώτισσα	patriote
πατρογονικός	ancestral
πατροκτονία	patricide
πατροκτόνος	parricide
πατρονία	patronage
πατροπαράδοτος	ancestral
πατρωνυμικός	patronymique
πατρόν	patron
πατρότητα	paternité
πατσίζω	quitte
πατσαβούρα	lavette
πατσουλί	patchouli
πατόκορφα	de pied en cap
παυσίπονο	analgésique
παφλασμός	clapotis
παχαίνω	grossir
παχνί	mangeoire
παχουλούτσικος	dodu
παχουλός	potelé
παχυσαρκία	obésité
παχύ έντερο	gros intestin
παχύρρευστος	visqueux
παχύς	gros
παχύσαρκος	obèse
παχύτερος	plus gros
παϊδάκι	côtelette
παύλα	tiret
παύση	pause
πβ.	cf
πείθω	convaincre
πείνα	faim
πείρα	expérience
πείραγμα	taquinerie
πείραμα	expérience
πείσμα	entêtement
πεδίο	champ
πεδίο μάχης	champ de bataille
πεδίο ορισμού	domaine
πεδιάδα	plaine
πεδικλώνω	brider
πεζεβέγκης	maquereau
πεζεβέγκισσα	entremetteuse
πεζικάριος	fantassin
πεζικό	infanterie
πεζογράφος	prosateur
πεζογραφία	prose
πεζογραφικός	prose
πεζοδρόμηση	piétonnisation
πεζοδρόμιο	trottoir
πεζοπορία	marche
πεζοπόρος	marcheur
πεζούλι	muret
πεζούρα	infanterie
πεζόδρομος	zone piétonne
πεζός	minuscule
πεζός	piéton
πεζότητα	prosaïsme
πεθαίνω	mourir
πεθαμένος	mort
πεθερά	belle-mère
πεθερικά	beaux-parents
πεθερός	beau-père
πειθήνιος	discipliné
πειθαρχία	discipline
πειθαρχημένος	discipliné
πειθαρχικός	disciplinaire
πειθαρχώ	obéir
πειθώ	persuasion
πειναλέος	affamé
πεινασμένος	affamé
πεινώ	avoir faim
πειράζω	taquiner
πειραματίζομαι	expérimenter
πειραματισμός	expérimentation
πειραματιστής	expérimentateur
πειραματόζωο	cobaye
πειρασμός	tentation
πειρατής	pirate
πεισμάτωμα	dépit
πεισματάρης	têtu
πεισματικός	entêté
πεισμώνω	s'entêter
πειστήριο	pièce à conviction
πειστικός	convaincant
πειστικότητα	aptitude
πεκινουά	pékinois
πελάγιος	pélagique
πελάγρα	pellagre
πελάγωμα	pagaille
πελάτης	client
πελάτισσα	cliente
πελέκι	hache
πελαγικός	pélagique
πελαγώνω	naviguer
πελαργός	cigogne
πελασγικός	pélasgique
πελατεία	clientèle
πελατειακός	clientéliste
πελατολόγιο	livre clients
πελεκάνος	pélican
πελεκάω	charpenter
πελερίνα	pèlerine
πελοποννησιακός	péloponnésien
πελούζα	pelouse
πελτές	purée
πελταστής	peltaste
πελότα	pelote
πελώριος	énorme
πεμπτημόριο	quintile
πεμπτουσία	quintessence
πενήντα	cinquante
πενία	indigence
πενηντάδα	cinquantaine
πενηντάδραχμο	pièce de cinquante drachmes
πενιέ	peigné
πενικιλίνη	pénicilline
πενιουάρ	peignoir
πενιχρός	infime
πεντάγραμμο	portée
πεντάγωνο	pentagone
πεντάγωνος	pentagonal
πεντάεδρο	pentaèdre
πεντάλ	pédale
πεντάμορφος	la Belle et la Bête
πεντάρφανος	mère
πεντα-	penta-
πενταγωνικός	pentagonal
πενταετής	quinquennal
πενταετία	quinquennat
πενταθλητής	pentathlonien
πεντακάθαρος	immaculé
πεντακόσια	cinq cents
πενταλό	pédalo
πενταπλάσιος	quintuple
πενταπλός	quintuple
πεντζέχρι	bézoard
πεντηκοστημόριο	cinquantième
πεντηκοστός	cinquantième
πεντηκόντορος	pentécontore
πεντικιούρ	pédicure
πεντοζάλης	pentozali
πεντοζάνη	pentosane
πεολειχία	fellation
πεπατημένη	chemin battu
πεπειραμένος	expérimenté
πεπεισμένος	convaincu
πεπερασμένος	fini
πεπιεσμένος	comprimé
πεποίθηση	conviction
πεπονιά	melon
πεπραγμένος	actes
πεπρωμένο	destin
πεπτίδιο	peptide
πεπτικό σύστημα	système digestif
πεπτικός	digestif
πεπόνι	melon
περήφανα	fièrement
περήφανος	fier
περί	au sujet de
περί ανέμων και υδάτων	de tout et de rien
περίαψη	périapse
περίβλημα	enveloppe
περίβολος	enceinte
περίγραμμα	contour
περίγυρος	entourage
περίεργα	curieusement
περίεργος	curieux
περίθαλψη	soins
περίθλαση	diffraction
περίλαμπρος	resplendissant
περίληψη	résumé
περίλυπος	consterné
περίμετρος	périmètre
περίνεο	périnée
περίοδος	période
περίοικος	voisin
περίοπτος	visible
περίπατος	promenade
περίπλους	circumnavigation
περίπολος	patrouille
περίπου	environ
περίπτερο	kiosque
περίπτωση	cas
περίσκεψη	circonspection
περίσσιος	abondant
περίσταση	circonstance
περίστροφο	revolver
περίτρανος	flagrant
περίτρομος	terroriser
περίττωμα	excrément
περίφραγμα	clôture
περίφραση	périphrase
περίχωρα	alentours
περαστικά	bon rétablissement
περαστικός	passager
περαστικός	badaud
περατωμένος	effectué
περατώνω	effectuer
περβάζι	rebord
περγαμηνή	parchemin
περδίκι	perdrix
περδικάκι	pariétaire
περεστρόικα	pérestroïka
περιέργεια	curiosité
περιέρχομαι	parvenir
περιέχω	contenir
περιήγηση	tour
περιήλιο	périhélie
περιαγωγή	itinérance
περιαδενίτιδα	périadénite
περιβάλλον	environnement
περιβάλλω	encercler
περιβάλλων	environnant
περιβαλλοντικός	environnemental
περιβαλλοντολόγος	environnementaliste
περιβολάρης	jardinier
περιβολή	costume
περιβρέχω	arroser
περιβραχιόνιο	brassard
περιβόητος	notoire
περιβόλι	jardin
περιγεννητικός	périnatal
περιγράφω	décrire
περιγραφή	description
περιγραφικός	descriptif
περιδέραιο	collier
περιδιαβαίνω	arpenter
περιδρομιάζω	bouffer
περιεκτικότητα	teneur
περιεργάζομαι	scruter
περιεχόμενο	contenu
περιζήτητος	demandé
περιζώνω	encercler
περιηγητής	excursionniste
περιηγούμαι	parcourir
περιθάλπω	secourir
περιθωριακός	marginal
περιθωριοποιημένος	marginalisé
περιθωριοποιώ	marginaliser
περιθώριο	marge
περικεφαλαία	heaume
περικνημίδα	bande
περικοπή	coupe
περικυκλωμένος	encerclé
περικυκλώνω	encercler
περικόχλιο	écrou
περιλαμβάνω	contenir
περιληπτικός	collectif
περιλούζω	abreuver d'injures
περιμένω	attendre
περιμαζεύω	ramasser
περιοδεία	tournée
περιοδεύω	tourner
περιοδικά	périodiquement
περιοδικό	revue
περιοδικός	périodique
περιοδικότητα	périodicité
περιοδολόγηση	périodisation
περιορίζομαι	limiter
περιορίζω	confiner
περιορισμένος	limité
περιορισμός	limitation
περιοριστικά	limitativement
περιοριστικός	limitatif
περιουσία	fortune
περιουσιακός	patrimonial
περιοχή	région
περιούσιος	élu
περιπέτεια	aventure
περιπαίζω	narguer
περιπαικτικός	moqueur
περιπαιχτικός	moqueur
περιπατητής	promeneur
περιπατητικός	péripatéticien
περιπατώ	se promener
περιπετειώδης	aventureux
περιπλάνηση	errance
περιπλέκω	compliquer
περιπλέω	caboter
περιπλανιέμαι	errer
περιπλοκή	complication
περιποίηση	soin
περιποιημένος	soigné
περιποιούμαι	soigner
περιπολία	patrouille
περιπολικό	patrouille
περιπολώ	patrouiller
περιπτεράς	kiosquier
περισκόπιο	périscope
περισπώ	distraire
περισσεύω	rester
περισσός	surabondant
περισσότερο	plus
περισσότερος	plus
περιστέλλω	restreindre
περιστέρα	colombe
περιστέρι	pigeon
περισταλτικός	restrictif
περιστασιακά	occasionnellement
περιστασιακός	circonstanciel
περιστατικό	incident
περιστατικός	circonstance
περιστερώνας	colombier
περιστοιχίζω	entourer
περιστολή	compression
περιστρέφω	pivoter
περιστροφή	rotation
περιστροφικός	circulaire
περισυλλέγω	collecter
περισυλλογή	collecte
περιτέμνω	circoncire
περιτειχίζω	enceindre
περιτομή	circoncision
περιτονίτιδα	péritonite
περιτριγυρίζω	encercler
περιτροπή	rotation
περιττός	inutile
περιτυλίγω	emballer
περιτόναιο	péritoine
περιτύλιγμα	emballage
περιφέρεια	circonférence
περιφέρω	tour
περιφερικός	périphérique
περιφερόμενος	ambulant
περιφορά	procession
περιφρονητέος	méprisable
περιφρονητικά	dédaigneusement
περιφρονητικός	méprisant
περιφρονώ	mépriser
περιφρόνηση	mépris
περιχαρακώνω	se protéger
περιχύνω	arroser
περιωπή	position
περλίτης	perlite
περμανάντ	permanente
περνάω	passer
περονιάζω	percer
περονόσπορος	mildiou
περουζένιος	turquoise
περούκα	perruque
περπατάω	marcher
περπατησιά	démarche
περσικά	persan
περσικός	persan
περσινός	an
περφορατέρ	perforateur
περόνη	péroné
πεσιμίστρια	pessimiste
πεσιμιστής	pessimiste
πεσιμιστικά	avec pessimisme
πεσκέσι	cadeau
πεσκαντρίτσα	baudroie
πεσμένος	affaibli
πετάλι	pédale
πετάλωμα	ferrage
πετάω	voler
πετάω το γάντι	jeter le gant
πετέχια	pétéchie
πεταλίδα	patelle
πεταλιά	pédalage
πεταλούδα	papillon
πεταλωτής	maréchal-ferrant
πεταλώνω	ferrer
πεταμένος	jeté
πεταρίζω	ciller
πεταχτός	décollé
πετιέμαι	précipiter
πετονιά	ligne de pêche
πετούνια	pétunia
πετρέλαιο	pétrole
πετρίτης	faucon
πετραχήλι	étole
πετρελαιοπαραγωγή	production de pétrole
πετρελαιοπηγή	puits
πετρελαιοφόρο	pétrolier
πετρελαιοφόρος	pétrolier
πετρελαϊκός	pétrolier
πετριά	jet
πετροβάμβακας	laine de roche
πετρογραφία	pétrographie
πετρογραφικός	pétrographique
πετροδολάριο	pétrodollar
πετροπέρδικα	perdix batravelle
πετρόλ	bleu pétrole
πετρώδης	pierreux
πετρώνω	pétrifier
πετσέτα	serviette
πετσί	peau
πετυχαίνω	réussir
πετυχημένος	réussi
πευκιάς	pinède
πευκώνας	pinède
πεφωτισμένος	éclairé
πεψίνη	pepsine
πεύκο	pin
πηγάδι	puits
πηγάζω	jaillir
πηγή	source
πηγαίνω	aller
πηγαίος	naturel
πηγαδάς	puisatier
πηγαινέλα	aller-retour
πηδάλιο	gouvernail
πηδάλιο κλίσης	aileron
πηδάω	sauter
πηλήκιο	képi
πηλίκο	quotient
πηλοφόρι	taloche
πηλός	boue
πηνίο	bobine
πηχτός	dense
πιάνο	piano
πιάνο μπαρ	piano-bar
πιάνω	attraper
πιάσιμο	prise
πιάστρο	piastre
πιάτο	assiette
πιάτσα	marché
πιέζω	appuyer
πιανίστας	pianiste
πιανιστικά	pianistiquement
πιανιστικός	pianistique
πιατάκι	soucoupe
πιατέλα	plat
πιατικά	vaisselle
πιγκάλ	brosse de toilettes
πιγκουίνος	manchot
πιγούνι	menton
πιεζοηλεκτρισμός	piézoélectricité
πιερότος	pierrot
πιεσμένος	comprimé
