ABC	abc
goose	oie
gooseberry	groseille
gorilla	gorille
gossip	cancaner
gourd	potiron
govern	gouverner
government	gouvernement
gown	robe
go around	circuler
go away	partir
go beyond	passer
go broke	faire banqueroute
go down	s'abaisser
go fast	se dépêcher
go forward	avancer
go for a walk	se promener
go in	entrer
go on	continuer
go on pilgrimage	aller en pélerinage
go out	aboutir
go through	apprendre par l'expérience
go to bed	se coucher
go up	se soulever
grab	agripper
grace	charme
graceful	gracieux
gracefulness	charme
grade	degré
gradually	de proche en proche
grain	grain
gram	gramme
grammar	grammaire
gramme	gramme
grand‐nephew	arrière‐neveu
grand‐niece	arrière‐nièce
grand	grandiose
grandfather	aïeul
grandiose	grandiose
grandmother	aïeule
grandson	petit‐fils
granite	granit
granny	grand‐maman
granule	grain
grape	raisin
grapefruit	pamplemousse
grapevine	vigne
grapple	attraper
grasp	agripper
grass	herbe
grasshopper	criquet
grate	grincer
gratitude	gratitude
grave	tombe
gravel	gravier
graveyard	cimetière
gravity	gravitation
gravy	sauce
grease	graisse
greasy	gras
great‐grandfather	arrière‐grand‐père
great‐grandmother	arrière‐grand‐mère
great	accompli
greatgranddaughter	arrière‐petite‐fille
greatgrandson	arrière‐petit‐fils
greediness	avidité
greedy	avide
green	vert
greenweed	genêt
greet	accueillir
greeting	salut
grey	gris
grid	grille
grief	abattement
grieve	affliger
grill	grille
grind	moudre
grip	agripper
grisly	désagréable
grit	gravier
groan	gémir
groin	aine
grope	tâter
grotto	grotte
ground‐floor	rez‐de‐chaussée
ground	fond
grounds	terrain
group	bande
grow	devenir
growl	grogner
grown‐up	majeur
growth	accroissement
grow sour	s'acidifier
grub	abattre
grudge	rancune
gruel	bouillie
gruesome	abject
gruff	maussade
grumble	grogner
guarantee	assurer
guard	préserver
guess	deviner
guest	convive
guide	diriger
guidebook	guide
guilder	florin
guiltless	innocent
guilty	coupable
guinea‐pig	cobaye
guitar	guitare
gulden	florin
gulf	abîme
gum	gencive
gun	fusil
gunner	artilleur
gunpowder	poudre à canon
gush	jaillir
gusto	vigueur
guy	individu
gymnastics	gymnastique
gypsy	gitan
habit	coutume
hack	hacher
haddock	aiglefin
haemorhoids	hémorrhoïdes
haemorrhoid	hémorrhoïde
haggle	marchander
hail	grêle
hair	cheveu
hairdresser	coiffeuse
hairpiece	perruque
hairs	cheveux
hairy	velu
halcyon	martin‐pêcheur
half	demi
halo	auréole
halt	s'arrêter
ham	jambon
hamlet	hameau
hammer	marteau
hand	ouvrier
handbook	guide
handful	poignée
handicraft	métier
handkerchief	mouchoir
handle	tâter
handlebars	gouvernail
handshake	poignée de main
handsome	beau
handy	commode
hand in	déposer
hang	pendre
hang onto	tenir
happen	devenir
happy	heureux
harbor	port
harbour	port
hard	difficile
harden	durcir
hardly	à peine
hardworking	appliqué
hare	lièvre
haricot	haricot
harm	nuire
harmful	nuisible
harmonious	harmonieux
harness	atteler
harrow	herser
harsh	acerbe
harvest	récolter
haste	hâte
hastily	à la hâte
hat	chapeau
hate	haïr
haul	tirer
have	avoir
have an accident	avoir un accident
have at one's disposal	disposer
have a bath	se baigner
have a good time	se réjouir
have compassion on	avoir pitié
have confidence in	confier
have effect	agir
have faith	se fier
have faith in	se fier
have got	avoir
have sex	baiser
have sexual intercourse	s'accoupler
have to	devoir
hawk	autour
hay	foin
hazard	hasard
hazardous	périlleux
haze	chicaner
hazelnut	noisette
he‐goat	bouc
he	il
head	guider
header	rubrique
heading	intitulé
headlight	phare
head of cattle	tête de bétail
heal	guérir
health	santé
healthy	sain
heap	accumuler
hear	entendre
hearsay	réputation
heart‐	cordial
heart	cœur
hearth	foyer
hearty	cordial
heat	ardeur
heath	bruyère
heating	chauffage
heaven	ciel
heavenly body	astre
heavy	lourd
hectolitre	hectolitre
hectometre	hectomètre
hedge	haie
hedge clippers	taille‐haie
hedge shears	taille‐haie
heel	talon
height	altitude
heighten	aggraver
helium	hélium
helix	hélice
hello	allô
helm	gouvernail
help	aider
helper	adjoint
helpless	abandonné
hemorrhoid	hémorrhoïde
hen	poulet
her	à lui
herald	héraut
herb	herbe
herd	bande
heresy	hérésie
here are	voici
here is	voici
hero	héros
heroic	héroïque
heroin	héroïne
heroine	héroïne
heroism	héroïsme
heron	héron
herring	hareng
herself	même
hesitate	barguigner
hiccup	avoir le hoquet
hide	fourrure
hideous	abject
hide oneself	s'abriter
high	haut
highway	chaussée
high school	collège
high tide	marée haute
hill	colline
hillside	côte
hill up	butter
him	à lui
himself	même
hind	biche
hinder	déranger
hindmost	suivant
hinge	charnière
hinny	bardot
hint	faire allusion
hip	hanche
hippo	hippopotame
hippopotamus	hippopotame
hire	embaucher
his	sa
hiss	siffler
history	histoire
hit	battre
hitch on	aborder
hoarse	rauque
hoax	mystifier
hoe	houe
hog	cochon
hogweed	berce
hold	tenir
hold back	réprimer
hole	fossé
holiday	jour férié
holly	houx
holy	sacré
homage	hommage
home	domicile
honest	honnête
honey	miel
honeysuckle	chèvrefeuille
honor	honorer
honour	honorer
hood	Apache
hoof	sabot
hook	agrafe
hooker	fille
hooks and eyes	agrafe de vêtement
hook on	aborder
hoopoo	huppe
hooter	avertisseur
hop	houblon
hope	espérer
hope for	aspirer
hops	houblon
horizon	horizon
horizontal	horizontal
horn	corne
hornbeam	charme
hornet	taon
horoscope	horoscope
horrible	abject
horror	abomination
horse‐chestnut	châtaigne
horse‐fly	taon
horse‐radish	raifort
horse	cheval
horseradish	raifort
hospital	hôpital
host	aubergiste
hostage	otage
hostel	auberge
hostess	aubergiste
hostile	ennemi
hotel	hôtel
hour	heure
house	maison
housefly	mouche
house of ill fame	bordel
house of worship	église
hover	planer
how	comment
however	cependant
howl	hurler
how are you?	comment allez‐vous?
how do you do?	comment allez‐vous?
how long	pour combien de temps
how many	combien
how much	combien
hub	moyeu
hue	nuance
huge	formidable
hum	bourdonner
humane	charitable
human being	être humain
humble	humble
humble oneself	s'humilier
humility	modestie
hummingbird	oiseau‐mouche
humor	humour
humour	humeur
hump	bosse
humus	humus
hunch‐backed	bossu
hunchback	bossu
hundred	cent
hunger	faim
hunt	chasser
hunter	chasseur
hurricane	ouragan
hurried	hâtif
hurriedly	à la hâte
hurry	se dépêcher
hurt	blesser
husband	époux
husk	coque
hut	cabane
hyaena	hyène
hybrid	hybride
hygiene	hygiène
hygienic	hygiénique
hymn	hymne
hypnosis	hypnose
hypnotic trance	hypnose
hypnotize	hypnotiser
hypocrite	hypocrite
hypocritical	hypocrite
hypothesis	hypothèse
hypothetical	hipothétique
hysteria	hystérie
hysterical	hystérique
ice	crème glacée
icecream	crème glacée
idea	idée
ideal	idéal
identical	identique
identify	identifier
idiot	idiot
idiotic	stupide
if	à condition que
ignore	bouder
ill	malade
illiterate	analphabète
illness	infirmité
illuminate	illuminer
illusion	illusion
illustrate	illustrer
ill fate	fatalité
image	image
imagine	imaginer
imitate	copier
immaterial	indifférent
immediate	immédiat
immediately	aussitôt
immense	énorme
immerse	immerger
imp	lutin
impartial	neutre
impel	inciter
impenetrable	imperméable
imperialism	impérialisme
impertinent	hardi
impetus	transport
implicate	empêtrer
imply	impliquer
import	importer
important	considérable
impose	contraindre
impose upon	imposer
imposing	imposant
impossible	impossible
imposter	charlatan
impress	en imposer à
impressible	sensible
impression	effet
imprint	impression
improve	améliorer
impulse	impulsion
in	à
inaugurate	inaugurer
inauguration	inauguration
inborn	inné
inbred	inné
incendiary bomb	bombe à incendie
inception	début
incest	inceste
incidental	auxiliaire
incite	agiter
incitement	incitation
incline	incliner
inclined	enclin
include	contenir
income	produit
inconceivable	abracadabrant
inconvenient	difficile
increase	accroître
increasingly	de plus en plus
incredible	invraisemblable
incubate	couver
indeed	d'abord
independant	indépendant
index	liste
indicate	désigner
indication	augure
indictment	accusation
indifferent	indifférent
indigenous	autochtone
indigestion	dyspepsie
indispensable	indispensable
indistinct	confu
individual	individu
induce	conclure
inducement	lieu
indulge	être indulgent
industrial	industriel
industrialist	industriel
industrious	appliqué
industry	application
inebriety	ivresse
inert	inerte
infant	enfant
infantry	infanterie
infect	infecter
infected	septique
infer	conclure
infirm	infirme
inflammatory	séditieux
inflate	hausser
inflated	afecté
influence	influer
influenza	grippe
inform	apprendre à
information	faire‐part
inhabitant	habitant
inhale	inspirer
inherit	hériter
inheritance	héritage
initial deposit	acompte
initiate	prendre l'initiative
inject	injecter
injure	abîmer
injury	blessure
ink	encre
inlet	fiord
inn	auberge
innate	inné
inner	intérieur
inner tube	chambreàair
innkeeper	aubergiste
innocent	innocent
inquiry	enquête
inquisitive	curieux
insane	aberrant
insanity	aberration
insect	insecte
insert	introduire
inside	à
insignia	insigne
insignificant	mineur
insist	insister
insistence	impulsion
inspect	inspecter
inspector	inspecteur
inspiration	souffle
inspire	dicter
install	construire
installment payment	acompte
instalment	acompte
instant	instant
instantly	aussitôt
instead of	au lieu de
instigate	inciter
instinct	instinct
institute	institut
institution	fondation
instruction	instruction
instructor	instituteur
insubordinate	désobéissant
insulate	isoler
insult	insulter
insurance	assurance
insure	assurer
insurer	assureur
integer	entier
intellectual	intellectuel
intelligence	intelligence
intelligent	intelligent
intend	avoir pour but
intense	intense
intensive	intense
intention	dessein
intercessor	avocat
interchange	échanger
interest	intéresser
interesting	intéressant
interface	interface
interfere with	brouiller
interjection	interjection
interment	enterrement
intermission	pause
internal	intérieur
international	international
interpret	interpréter
interpreter	interprète
interpunction	ponctuation
interrogate	interroger
interrupt	interrompre
interruption	interruption
interval	intervalle
intervene	intervenir
interview	entrevue
intestine	intestin
intimate	intime
into	à
intone	entonner
intoxicated	ivre
intrepid	audacieux
intrigue	intriguer
introduce	offrir
introduction	introduction
invade	envahir
invasion	invasion
invent	inventer
invention	invention
inventory	recensement
inverted comma	guillemet
invest	investir
investigate	examiner
investigation	examen
invitation	invitation
invite	inviter
invite tenders for	mettre à l'entreprise
invoice	facture
invoke	invoquer
in accordance with	conforme à
in action	actif
in addition	d'ailleurs
in a hurry	à la hâte
in a way	comme
in detail	abondamment
in easy circumstances	aisé
in every way	de toute manière
in exchange for	contre
in fact	en réalité
in front of	avant
in good condition	intact
in no way	en aucune façon
in order to	à
in question	concerné
in short supply	insuffisant
in spite of	malgré
in the beginning	d'abord
in the evening	le soir
in the final analysis	proprement
in the meantime	dans l'intervalle
in the middle of	au milieu de
in the morning	le matin
in the presence of	devant
in time	à temps
in turn	successivement
in vain	en vain
in what way	comment
iodine	iode
iris	iris
iron	fer
irony	ironie
iron clothes	repasser]
irrigate	abreuver
island	île
isn't it	hein
isn't that so	hein
isolate	isoler
isolation	abandon
issue	éditer
it	à lui
itch	démanger
its	leur
itself	même
it doesn't matter	cela ne fait rien
ivory	ivoire
ivy	lierre
jack	bambin
jackal	chacal
jacket	veste
jail	prison
jam	confiture
jaw	mâchoire
jawbone	mâchoire
jaws	gouffre
jealous	jaloux
jealousy	envie
jeer at	bafouer
jelly‐fish	méduse
jenny‐ass	ânesse
jest	badiner
jester	arlequin
jet plane	avion à réaction
jewel	bijou
jeweller	bijoutier
jingle	tinter
job‐	à forfait
job	ouvrage
jog	faire du jogging
join	adhérer
joining	accouplement
joint	articulation
joke	badiner
journal	journal
journalist	journaliste
journey	voyage
joy	allégresse
joystick	gouvernail
judge	juger
judgement	arrêt
jug	cruche
juggle	jongler
juice	jus
jumbled up	confus
jump	sauter
junction	accouplement
june bug	hanneton
jungle	jungle
jurisprudence	droit
just	juste
just now	à l'instant
keen	actif
keep	continuer
keeper of the records	archiviste
keepsake	souvenir
keep an eye on	épier
keep on	continuer
kernel	centre
kettle	chaudron
key	touche
keyboard	clavier
kidney	rein
kill	abattre
kill oneself	se suicider
kiln	cuisinière
kilo	kilogramme
kilobyte	kilobyte
kilometre	kilomètre
kimono	kimono
kind	affable
kindle	allumer
kindness	amabilité
king	dame
kingdom	royaume
kingfisher	martin‐pêcheur
kingship	règne
kiss	baiser
kitchen	cuisine
kite	milan
klaxon	avertisseur
knapsack	sac tyrolien
knead	pétrir
knee	genou
kneel	s'agenouiller
knife	couteau
knight	chevalier
knit	tricoter
knock	frapper
knock off	débattre
knot	nouer
know	connaître
knowledge	connaissance
know how	savoir
krypton	krypton
laboratory	laboratoire
laborer	ouvrier
labor exchange	bourse du travail
labour‐union	syndicat
labour	accoucher
labourer	ouvrier
labour exchange	bourse du travail
lace	dentelle
lack	défaut
lad	garçon
ladder	échelle
laddie	garçon
lady	demoiselle noble
ladybug	coccinelle
lagoon	lagune
lake	lac
lamb	agneau
lame	boiteux
lament	se lamenter
lamp‐shade	abat‐jour
lamp	lampe
land	aborder
landing‐stage	débarcadère
landlady	aubergiste
landlord	aubergiste
landscape	paysage
lane	ruelle
language	langue
lantern	lanterne
lap	barboter
lapse	retomber
lapsed	caduc
larch	mélèze
larder	buffet
large	grand
lark	alouette
larva	larve
lass	fille
last	précédent
lasting	permanent
last night	hier soir
lately	dernièrement
laud	glorifier
laugh	rire
launch	lancer
laurel	laurier
lavender	lavande
law	droit
lawn	batiste
lawsuit	procès
lawyer	avocat
lay	coucher
layer	couche
layman	laïc
lay down	appliquer
lay hold of	prendre
lay out	étendre
lead	guider
leader	conseiller
leaf	feuille
leaflet	brochure
leaf through	feuilleter
league	lieue
lean	accoter
leap	sauter
learn	apprendre
learned	cultivé
learnt	appris
lease	affermer
leasurely	lentement
leather	cuir
leave	partir
leave out	omettre
leave out of account	bouder
leaving certificate	baccalauréat
leaving examination	baccalauréat
lectern	pupitre
lecture	conférence
leech	sangsue
leek	ail
left	gauche
leg	jambe
legal	légitime
leisurely	paisiblement
lemon	citron
lend	emprunter
length	longueur
lengthen	allonger
lenient	indulgent
lentil	lentille
leopard	léopard
lessen	abaisser
lesson	leçon
less and less	de moins en moins
let	laisser
letter	lettre
letterbox	boîte aux lettres
letter of introduction	lettre de recommandation
letter of recommendation	lettre de recommandation
lettuce	laitue
let know	apprendre à
level	plat
lever	lever
library	bibliothèque
licence	licence
license	licence
lick	lécher
lid	couverture
lie	être couché
lieutenant	lieutenant
lie down	se coucher
life	vie
lift	lever
light	allumer
lighthouse	phare
lightning	éclair
like	comme
likely	vraisemblable
likewise	aussi
like that	ainsi
lilac	lilas
lily‐of‐the‐valley	muguet
lily	lis
limb	membre
lime‐tree	tilleul
lime	chaux
limit	limiter
linden‐tree	tilleul
line	ligne
linen	toile
link	monter
link together	enchaîner
link up	enchaîner
lion	lion
lip	lèvre
liquid	flot
liquidate	liquider
liquid manure	purin
lira	lire
list	liste
listen	écouter
listener	auditeur
liter	litre
literature	littérature
lithium	lithium
litre	litre
little	petit
little bell	clochette
little bird	oisillon
little boat	barquette
little by little	de proche en proche
little stick	bâtonnet
live	demeurer
lively	fin
liver	foie
live to see	apprendre par l'expérience
lizard	lézard
load	charger
loaf	pain
loan	emprunter
loathe	abhorrer
lobster	homard
local	local
locate	placer
location	déstination
loch	fiord
lock	écluse
lock up	serrer
locust	criquet
lofty	haut
logic	logique
logical	logique
logical reasoning	raison
loin	lombes
long	long
long for	aspirer
look	avoir l'air de
looking‐glass	miroir
look after	garder
look askance	loucher
look at	contempler
look for	chercher
loop	maille
lord	monsieur
lorry	camion
lose	perdre
loss	perte
lottery	loterie
loud	haut
loudly	à haute voix
lounge	salon
louse	pou
love	aimer
lovely	agréable
lover	amante
loving	amoureux
low	abject
lower‐arm	avant‐bras
lower	abaisser
lowering	abaissement
lower case letter	minuscule
lower part of the body	abdomen
low relief	bas‐relief
low tide	marée basse
loyal	droit
luck	destinée
luggage	bagage
lukewarm	tiède
lull	bercer
lump	boule
lunacy	aberration
lunatic	aliéné
lung	poumon
lupine	lupine
lure	attirer
lust	passion
lute	luth
luxury	richesse
lyceum	lycée
lye	lessive
lying‐in room	chambre de travail
lying‐in woman	accouchée
lynx	lynx
lyre	lyre
lyric	texte
machine	machine
machine of government	appareil administratif
mackerel	maquereau
mad	aberrant
madam	madame
madness	aberration
maestro	maestro
magazine	gazette
magic	magie
magical	magique
magician	sorcier
magnesium	magnésium
magnificent	grandiose
magnifying glass	loupe
magpie	pie
maid	domestique
mail	courrier
mailbox	boîte aux lettres
main	principal
mainland	continent
mainly	principalement
maintain	conserver
maintenance	garde
maize	maïs
majestic	imposant
majesty	majesté
major	commandant
majority	majorité
make‐up	fard
make	construire
make an offer of	offrir
make a contract	contracter
make a deposit	payer un premier acompte
make a down payment	payer un premier acompte
make a mistake	se tromper
make a noise	faire du bruit
make a note	noter
make a project of	projeter
make a stroke	abaisser
make clean	affinier
make fast	attacher
make for	s'adresser à
make fun of	bafouer
make glad	réjouir
make love	faire l'amour
make up	maquiller
make use of	appliquer
make war	guerroyer
making	activité
malaria	malaria
male	mâle
male cook	cuisinier
malicious	méchant
mallet	maillet
mam	maman
mammal	mammifère
mammy	maman
man	être humain
manage	administrer
manageability	docilité
manageable	conciliant
management	administration
manager	administrateur
mandate	mandat
maneuver	intrigue
manger	auge
manifacture	activité
manifest	manifester
manipulate	manier
manna	manne
manner	manière
manoeuvre	intriger
mansion	immeuble
mantle	manteau
manufacture	fabriquer
manure	engrais
many	nombreux
manœuvre	intrigue
map	carte
maple	érable
marble	marbre
march	marcher
march off	décéder
margin	marge
marguerite	marguerite
marigold	calendula
maritime	marin
mark	marquer
market	bazar
marketplace	marché
marmelade	confiture
marriage	mariage
married	mariée
married people	couple
marry	se marier
marsh	marais
marten	marte
martyr	martyre
marvel	s'étonner
marvel at	s'étonner
masculine	mâle
mask	masque
mason	maçon
mass	amas
massacre	massacrer
massage	masser
massive	massif
mast	mât
master	apprendre à fond
masturbate	se masturber
match‐make	s'entremettre
match	allumette
mate	s'accoupler
material	matériel
mathematical	mathématique
mathematics	mathématiques
matrimony	mariage
matter	affaire
mattress	matelas
mature	fait
maw	gouffre
maxim	sentence
maximum	maximum
maybe	peut‐être
mayhap	peut‐être
mayor	maire
me	à moi
meadow	prairie
meager	maigre
meal	farine
mealies	maïs
mean	intermédiaire
meaning	dessein
means	instrument
meanwhile	dans l'intervalle
measurable	prévisible
measure	mesurer
measurement	dimension
meat	viande
mechanic	mécanicien
mechanics	mécanique
medal	médaille
mediation	intermédaire
medicine	remède
meditate	méditer
meet	réunir
meeting	séance
meet with	contenter
melancholy	mélancolique
melody	mélodie
melon	melon
melt	dégeler
member	adhérent
memento	souvenir
memorize	apprendre par cœur
memory	mémoire
menace	gronder
menacing	sinistre
mend	rapiécer
mend one's pace	presser le pas
mental	intellectuel
mention	mentionner
menu	carte
merchandise	marchandise
merchant	commerçant
merciful	sensible
mercifulness	compassion
mercury	mercure
mercy	compassion
mere	pur
merit	mériter
merry	gai
mesh	maille
mess	bouillie
message	message
metal	métal
metamorphosis	transformation
meteoric stone	aérolithe
meteorite	aérolithe
method	méthode
methylated spirit	alcool dénaturé
metre	mètre
mica	mica
microbe	microbe
micrometre	micromètre
midday	midi
midday meal	déjeuner
middle	intermédiaire
middleclass citizen	bourgeois
midget	nain
midwife	accoucheuse
migrate	voyager au loin
mild	doux
milk	lait
mill	usine
miller	meunier
millimetre	millimètre
milliner	modiste
mind	esprit
mine	mine
miner	mineur
mineral	minéral
mingle	mélanger
minimum	minimum
minister	ministre
ministry	ministère
minority	minorité
mint	menthe
minus	moins
minute	minute
minutes	compte‐rendu
miracle	miracle
mirror	miroir
miscarriage	avortement
miscarry	avorter
mischievous	méchant
miserable	lamentable
miserliness	avarice
miserly	avare
misery	misère
miss	manquer
mission	mission
missionary	missionnaire
mist	brouillard
mistake	erreur
mistaken	abusif
mistletoe	gui
mistress	maîtresse
misunderstanding	malentendu
mite	acarien
mitten	gant
mix	mélanger
moan	gémir
mobile	mobile
mock	bafouer
mockery	simulacre
mode	manière
model	modèle
moderate	abordable
modern	moderne
modest	modeste
modesty	modestie
modify	modifier
moist	humide
mold	modeler
mole	taupe
mom	maman
moment	instant
mommy	maman
monastery	couvent
money‐box	caisse
money	argent
money box	caisse
money order	mandat‐poste
mongrel	hybride
monk	moine
monkey	singe
monkshood	aconit
monopolize	accaparer
monotonous	monotone
monsignor	monseigneur
monster	clébard
month	mois
monthly	mensuel
monument	monument
mood	ambiance
moon	lune
moor	attacher
moose	élan
moped	vélomoteur
moral	moral
morality	vertu
morals	morale
more	davantage
moreover	d'ailleurs
mores	coutume
more and more	de plus en plus
morning	matin
morphia	morphine
morphine	morphine
morter	mortier
mortgage	hypothèque
mosque	mosquée
mosquito	moustique
moss	mousse
most	extrêmement
mostly	plupart
most important	dominant
moth	mite
mother	mère
motion	motion
motionless	au repos
motion picture	film
motive	lieu
motor‐boat	vedette
motor‐launch	vedette
motor	moteur
motorcycle	moto
motoring	automobilisme
motorist	automobiliste
motorway	autoroute
motor road	autoroute
motto	devise
mould	modeler
mouldy	moisi
mount	adapter
mountain	mont
mountaineer	alpiniste
mountaineering	alpinisme
mountain chain	massif
mountain climber	alpiniste
mountain lion	puma
mountain pass	col
mountain ridge	arête
mounting	montage
mourn	regretter
mournful	morne
mourning	deuil
mouse	souris
moustache	moustache
mouth	bouche
move	affecter
movement	mouvement
movie	film
moving	attendrissant
mow	faucher
much	beaucoup
muck‐water	purin
mud	boue
mulberry‐tree	mûrier
mule	mulet
multicoloured	bigarré
multiple	multiple
multitude	amas
munition	munitions
murder	assassiner
murderer	meurtrier
murk	obscurité
murmur	murmurer
muscle	muscle
museum	musée
mush	bouillie
mushroom	champignon
music	musique
musical time	mesure
musician	musicien
musk‐rat	ondatra
musket	mousquet
musquash	ondatra
mussel	moule
must	devoir
mustard	moutarde
musty	moisi
mute	muet
mutiny	révolte
mutter	murmurer
mutton	mouton
mutual	réciproque
mutually	se
muzzle	muselière
my	ma
myrrh	myrrhe
mysterious	mystérieux
mystery	mystère
mystic	mystique
mystical	mystique
mysticism	mysticisme
mystification	mystification
mystify	mystifier
myth	mythe
mythical	mythique
mythologist	mythologue
mythology	mythologie
myxomatosis	myxomatose
nail	clouer
naked	nu
name	nom
nameless	anonyme
nape	nuque
napkin	serviette
narcissus	narcisse
narrate	conter
narrative	récit
narrow	étroit
nasturtium	capucine
nasty	antipathique
nation	nation
national	national
native	autochtone
natural	naturel
naturally	bien sûr
nature	caractère
naught	zéro
naughty boy	affreux jojo
nauseate	écœurer
nave	moyeu
navel	nombril
navigate	naviguer
naïf	naïf
naïve	naïf
near‐sighted	myope
near	à
nearby	à
nearly	presque
near to	à
neat	net
necessary	nécessaire
necessity	nécessité
neck	col
necktie	cravate
need	avoir besoin de
needle	aiguille
needlework	couture
needy	vide
neglect	dédaigner
neglectful	négligent
negligence	négligence
negligent	négligent
neighbour	voisin
neighbourhood	quartier
neighbouring	adjacent
neither	nul
neither ... nor	ni ... ni
nematode	nématode
neon	néon
nephew	neveu
nerve	nerf
nervous	nerveux
nest	faire son nid
net	net
nettle	ortie
network	filet
neutral	neutre
never	jamais
nevertheless	cependant
never mind	cela ne fait rien
new	nouveau
newness	primeur
news	actualités
newspaper	gazette
next	après
next to	à
nibble	ronger
nice	agréable
niche	niche
nickel	nickel
niece	nièce
nigger	bougnoul
night	nuit
nightingale	rossignol
nine	neuf
nineteen	dix‐neuf
ninety	quatre‐vingt‐dix
nip	apéritif
nipple	mamelon
nitrogen	azote
no‐one	nul
no‐one's	à personne
no	non
noble	élevé
nobleman	noble
nobleness	grandeur
nobody	nul
node	nœud
noiseless	silencieux
nomination	liste
non‐military	civil
none	nul
nonsense	absurdité
noon	midi
normal	standard
north	nord
nose	nez
nostalgia	nostalgie
not	ne ... pas
notary	notaire
notch	encoche
note	billet
notebook	cahier
noteworthy	remarquable
nothing	le néant
notice‐board	panneau d'affichage
notice	affiche
notion	notion
notwithstanding	malgré
not an ace	rien
not at all	en aucune façon
not easily	difficilement
not on any account	en aucune façon
nought	zéro
nourish	alimenter
nourishment	aliment
novel	nouveau
now	eh bien
nowadays	actuellement
nowhere	nulle part
now and then	de temps en temps
no doubt	sans doute
no longer	ne ... plus
nuance	nuance
nuclear	nucléaire
nucleus	centre
nude	nu
null	zéro
number	nombre
numeral	chiffre
nurse	soigner
nut	écrou
nuts	aberrant
nutty	aromatique
nylon	nylon
nymph	nymphe
oak	chêne
oar	aviron
oasis	oasis
oath	serment
oats	avoine
obedient	docile
obey	obéir
object	chose
obliging	complaisant
oblique	oblique
obscure	obscur
observation	observation
observe	agir selon
obsess	obséder
obstacle	obstacle
obstetrician	accoucheuse
obstinate	obstiné
obstruct	barrer
obtain	acquérir
obtainable	accessible
obtuse	obtus
obvious	évident
obviously	évidemment
occasion	fois
occupation	métier
occupy	occuper
occur	arriver
occurrence	occasion
ocean	océan
octopus	poulpe
odd	bizarre
odor	odeur
odour	odeur
of	de
offal	abats
offence	agacement
offend	insulter
offer	offrir
office	bureau
officer	officier
official	oficiel
offset	distance
offspring	descendance
often	beaucoup
of ... to	... à
of a star	astral
of course	bien entendu
of paramount importance	souverain
of silk	soyeux
of steal	d'acier
of the	de la
of the sea	marin
of the sun	ensoleillé
of use	apte à
of water	aquatique
of which	dont
oh	ah
ohm	ohm
oil	huile
okay	bon
old	vieux
old man	vieillard
olive‐tree	olivier
olive	olive
omen	augure
omit	omettre
omnibus	autobus
on	en avant
once more	de nouveau
one	un
onerous	lourd
one hundred	cent
one more	supplémentaire
one thousand	mille
onion	oignon
only	ne ... que
only just	à peine
on account of	à cause de
on end	de suite
on purpose	exprès
on that account	aussi
on the occasion of	à propos de
on the other side of	au‐delà de
on the recommendation of	sur la recommandation de
on the right	à droite
on time	ponctuel
on top	dessus
open	ouvrir
opening	orifice
open up	ouvrir
operate	fonctionner
operation	opération
operative	ouvrier
opine	être d'avis
opinion	avis
opponent	adversaire
opportune	commode
opportunity	occasion
oppose	rouspéter
opposed to	contre
opposite	vis‐à‐vis
opposition	opposition
oppress	appuyer en écrasant
oppressive	étouffant
optician	opticien
optimism	optimisme
option	alternative
or	ou
orange‐coloured	orange
orange‐tree	oranger
orange	orange
orator	orateur
orbit	orbite
orchard	verger
orchestra	orchestre
orchestrate	adapter
orchestration	adaptation musicale
ordain	destiner
ordeal	désolation
order	commander
ordinarily	ordinairement
ordinary	ordinaire
ore	minerai
organ	organe
organize	organiser
orgy	orgie
origin	origine
original	inédit
originate	provenir
ornament	ornament
orphan	orphelin
orthodox	orthodoxe
orthography	orthographe
or not	hein
oscillate	osciller
ostrich	autruche
other	autre
ouch	aïe
ought to	devoir
out	dehors
outfit	complet
outing	excursion
outline	silhouette
outset	début
outside	en dehors de
outside of	en dehors de
out of	de
oven	cuisinière
over	au‐dessus de
overall	total
overalls	blouse longue
overcoat	paletot
overflow	déborder
overground	aérien
overhaul	dépasser
overhead	aérien
overlay	recouvrir
overlook	omettre
overshoe	galoche
overtake	passer
overthrow	abattre
overtone	harmonique
overture	ouverture
overwhelm	abreuver
over there	là
ow	aïe
owe	avoir une dette
owing to	à cause de
owl	chouette
own	posséder
ownership	propriété
ox	bœuf
oxygen	oxygène
oyster	huître
ozone	ozone
o'clock	heure
pace	faire les cent pas
pacifier	sucette
pack	paquet
packet	paquet
pad	bloc
paddle	barboter
padre	aumônier
page	page
pail	seau
pain	douleur
painful	pénible
paint	couleur
paintbrush	pinceau
painter	peintre
pair	apparier
pair of pincers	tenailles
pal	camarade
palace	palais
pale	pâle
palladium	palladium
palm	paume
palmtree	palmier
pamper	choyer
pamphlet	brochure
pancake	crêpe
panel	lambris
panic	panique
pansy	pensée
panther	panthère
panties	caleçon
pantry	buffet
pants	pantalon
paparazzo	paparazzo
paper	document
paperback	brochure
paprika	paprika
parachute	parachute
parade	parader
paradise	paradis
paradox	paradoxe
paraffin‐oil	pétrole
paragraph	alinéa
parallel	parallèle
paralyse	paralyser
parapet	balustrade
parasite	parasite
parcel	paquet
pardon	excuser
parenthesis	parenthèse
parents‐in‐law	beaux‐parents
parents	parents
parish	paroisse
park	garer
parliament	parlement
parlour	salon
parrot	perroquet
parsley	persil
