ADN	DNA
grimpereau des bois	orman tırmaşık kuşu
grimpereau des jardins	bahçe tırmaşık kuşu
griotte	vişne
grippe	grip
grippe aviaire	kuş gribi
gris	gri
grive dorée	altın ardıç
grive draine	ökse ardıç kuşu
grive litorne	tarla ardıç kuşu
grive mauvis	kızıl ardıç kuşu
grive musicienne	öter ardıç kuşu
grive obscure	ak-kaşlı ardıç
grive à dos olive	bülbül ardıcı
grogner	homurdanmak
gronder	azarlamak
gros	şişman
gros-bec casse-noyaux	bayağı kocabaş
groseille	frenküzümü
groseille à maquereau	bektaşi üzümü
grossier	kaba
grosso-modo	aşağı yukarı
grotte	mağara
groupe	grup
groupe du tableau périodique	periyodik cetvelin grupları
grue	vinç
grue demoiselle	telli turna
grèbe castagneux	küçük batağan
grèbe esclavon	kulaklı batağan
grèbe jougris	kızıl boyunlu batağan
grèbe à cou noir	kara boyunlu batağan
grève	grev
gré	arzu
grêle	dolu
guacamole	guacamole
guerre	savaş
guerre civile	iç savaş
guerre de Cent Ans	Yüz Yıl Savaşı
guerre de Sécession	Amerikan İç Savaşı
guerre froide	Soğuk Savaş
guerre mondiale	dünya savaşı
gueule-de-loup	aslanağzı
gueux	dilenci
gui	ökseotu
guide	rehber
guillemet	tırnak
guillemot à miroir	kara dalıcımartı
guillotine	giyotin
guirch	kuruş
guitare	gitar
gujarati	Gucaratça
guépard	çita
guêpe	yaban arısı
gynécologue	jinekolog
gypaète barbu	kara kuş
gypse	alçı
gyroscope	jiroskop
gâcher	azdırmak
gâteau	kek
gène	gen
géant	dev
génie civil	inşaat mühendisliği
génisse	düve
génitif	tamlayan
génocide	soykırım
génome	genom
généalogie	soyağacı
général	general
général de brigade	tuğgeneral
général de corps d’armée	korgeneral
général de division	tümgeneral
général d’armée	orgeneral
génération	nesil
généreux	alicenap
générique	jenerik
génétique	genetik
géochronologie	jeokronoloji
géodésie	jeodezi
géographe	coğrafyacı
géographie	coğrafya
géologie	jeoloji
géomorphologie	yüzey bilimi
géométrie	geometri
géorgien	Gürcüce
géorgien	Gürcüce
gêner	aksatmak
habiller	giymek
habitant	sakin
habiter	oturmak
habitude	âdet
habituel	alelade
habituer	alıştırmak
hache	balta
hackeur	hacker
hadith	hadis
hadji	hacı
hafnium	hafniyum
hahnium	haniyum
haillon	paçavra
haine	nefret
haleine	nefes
hall	salon
hallucination	varsani
halo	hale
halva	helva
hamac	hamak
hamburger	hamburger
hammam	hamam
hamster	hamster
hamza	hemze
hanche	kalça
handball	hentbol
hangar	hangar
hanneton	mayıs böceği
hardi	atılgan
harem	harem
hareng	ringa balığı
harfang des neiges	kar baykuşu
hargneux	buruk
haricot	fasulye
harle bièvre	büyük tarakdiş
harle huppé	tarakdiş
harmonie vocalique	ünlü uyumu
harmonieux	ahenkli
harpe	arp
harpon	zıpkın
hasard	tesadüf
hassium	hassiyum
haut	yüksek
haut la main	kolaylıkla
haut les mains	eller yukarı
hautbois	obua
hauteur	irtifa
hebdomadaire	haftalik
hectare	hektar
hennir	kişnemek
herbe	ot
herboriste	aktar
hermine	kakım
hernie	fıtık
hernie discale	bel fıtığı
herpétologie	herpetoloji
hertz	hertz
hertzien	hertz
heure	saat
heureux	bahtiyar
hexagone	altıgen
hibernation	kış uykusu
hibou	baykuş
hibou grand-duc	bayağı puhu
hibou moyen-duc	kulaklı orman baykuşu
hibou petit-duc	ishak kuşu
hier	dün
hindi	Hintçe
hindouisme	Hinduizm
hippocampe	denizatı
hippopotame	su aygırı
hirondelle	kırlangıç
hirondelle de fenêtre	ev kırlangıcı
hirondelle de rochers	kaya kırlangıcı
hirondelle rustique	kır kırlangıcı
histoire	tarih
histologie	doku bilimi
historien	tarihçi
historique	tarihî
hiver	kış
hiérarchie	hiyerarşi
hiéroglyphe	hiyeroglif
hockey sur glace	buz hokeyi
holmium	holmiyum
homard	istakoz
homme	adam
homologue	homolog
homologue	mevkidaş
homonyme	homonim
homophobie	homofobi
homosexualité	eşcinsellik
homosexuel	homoseksüel
homosexuel	homoseksüel
hongrois	Macarca
hongrois	Macarca
honneur	namus
honnête	dürüst
honorer	hürmet göstermek
hoquet	hıçkırık
horde	ordu
horizon	ufuk
horloge	saat
horloge atomique	atom saati
horodatage	zaman damgası
hors-jeu	ofsayt
hortensia	ortanca
hostile	düşman
hot-dog	sosisli sandviç
houe	çapa
houmous	humus
houri	huri
houx	çobanpüskülü
hovercraft	hoverkraft
huile	yağ
huile de foie de morue	balık yağı
huile de morue	balık yağı
huile de palme	palm yağı
huile de tournesol	ayçiçeği yağı
huile d’olive	zeytinyağı
huit	sekiz
huit-cents	sekiz yüz
huitre	istiridye
hulla	hülle
humain	insan
humanisme	hümanizm
humanité	insan
humanoïde	insansı
humble	gösterişsiz
humeur	huy
humide	nemli
humour	mizah
huppe	ibibik
huppe fasciée	ibibik
hurlement	bağırış
hutte	kulübe
huître	istiridye
huîtrier pie	bayağı poyraz kuşu
hybride	melez
hydrie	hydria
hydrocarbure	hidrokarbon
hydrogène	hidrojen
hygiène	sağlık bilgisi
hymen	kızlık zarı
hymne	ilahi
hymne national	ulusal marş
hyménoptère	zar kanatlılar
hyper-spectral	hiperspektral
hyperlien	hyperlink
hypermétropie	hipermetropi
hyperspectral	hiperspektral
hypertexte	hipermetin
hyperthermie	hipertermi
hypocauste	hipokaust
hypochlorite de sodium	sodyum hipoklorit
hypolaïs des oliviers	büyük mukallit
hypolaïs ictérine	sarı mukallit
hypolaïs polyglotte	kısa kanatlı sarı mukallit
hypolaïs pâle	ak mukallit
hyponyme	alt kavram
hypothèque	tutu
hypothèse	varsayım
hypothétique	var sayım
hypoténuse	hipotenüs
hyène	sırtlan
hâte	acele
hébreu	İbranice
hébéter	sersemleştirmek
hédonisme	hazcılık
hélicoptère	helikopter
hélium	helyum
hématite	hematit
hémidactyle verruqueux	akdeniz sakanguru
hémoglobine	hemoglobin
hémogramme	hemogram
hémorroïde	basur
hénothéisme	henoteizmin
hépatite	hepatit
héraldique	heraldik
hérisson	kirpi
héritage	miras
héritier	mirasçı
héron	balıkçıl
héron bihoreau	gece balıkçılı
héron cendré	gri balıkçıl
héron crabier	alaca balıkçıl
héron pourpré	erguvani balıkçıl
héros	kahraman
héroïne	kahraman
hésiter	tereddüt etmek
hêtre	kayın
hôpital	hastahâne
hôte	misafir
hôtel	otel
hôtel des monnaies	para oteli
hüzün	hüzün
ichtyologie	ihtiyoloji
ici	burada
ictère	sarılık
icône	ikon
idem	öge
identité	hüviyet
identité culturelle	kültürel kimlik
idiot	ahmak
idiot	allahlık
idoine	uygun
idolâtrer	taparcasına sevmek
idée	fikir
idéogramme	ideogram
idéologie	ideoloji
iel	o
if	porsuk
ignare	cahil
ignorer	bilmemek
iguane	iguana
ikebana	ikebana
il	o
il faut battre le fer pendant qu’il est chaud	demiri tavında dövmeli
il ne faut pas remettre au lendemain ce qu’on peut faire le jour même	bugünün işini yarına bırakma
il ne manquait plus que ça	bir bu eksikti
il n’y a pas de fumée sans feu	ateş olmayan yerden duman çıkmaz
il n’y a que le premier pas qui coûte	her şey başlangıçta zordur
il va sans dire	gayet tabii
il était une fois	bir varmış bir yokmuş
illico	aniden
illustration	resim
ils	onlar
image	resim
imagination	hayal gücü
imam	imam
imaret	imaret
imbécile	embesil
immeuble	bina
immigrant	göçmen
immigration	göçmenlik
immoralité	ahlaksızlık
immortalité	ölümsüzlük
immortel	ölümsüz
immédiatement	aniden
impact	çarpma
impavide	yılmaz
impitoyable	amansız
implorer	istirham etmek
imploser	yıkılmak
impoli	arsız
impolitesse	terbiyesizlik
importance	önem
important	önemli
impossible	imkânsız
imprimante	yazıcı
imprimer	yazdırmak
imprimerie	basımevi
imprimeur	matbaacı
impulsion	dürtü
impédance	empedans
impératrice	imparatoriçe
impérialisme	emperyalizm
impôt	vergi
impôt sur le revenu	gelir vergisi
in situ	in situ
inadéquat	elverişsiz
inaugurer	merasimle kullanıma açmak
incapacité	yeteneksizlik
incarner	cisimleştirmek
incertain	belirsiz
incertitude	kesinsizlik
inceste	ensest
incolore	renksiz
index	işaret parmağı
indicateur	gösterge
indifférent	umursamaz
indigent	yoksul
indiquer	göstemek
indium	indiyum
individu	birey
indonésien	Endonezce
inductance	endüktans
industrie	endüstri
industrie minière	madencilik
indépendance	istiklal
indépendant	bağımsız
infanterie	piyade
infinitif	mastar
infirmière	hemşire
inflation	enflasyon
information	bilgi
informatique	bilişim
informer	bildirmek
infrarouge	kızılötesi
infrarouge	kızılötesi
ingrat	nankör
ingénieur	mühendis
initiateur	yol gösterici
injectable	enjektabl
innovation	inovasyon
inode	düğüm
inoubliable	unutulmaz
inquiet	afacan
insalubre	sağlıksız
insecte	böcek
insensé	akıl dışı
insister	ısrar etmek
insolation	güneş çarpması
insomnie	uykusuzluk
instinct	insiyak
institut	enstitü
instrument	araç
insuffisance	açık
inséparable masqué	kara başlı cennet papağanı
inséparable rosegorge	gül başlı cennet papağanı
insérer	eklemek
intellectuel	akli
intellectuel	entelektüel
intelligence	akıl
intelligent	zeki
intelligible	anlaşılır
intensité	yoğunluk
intensité lumineuse	işık şiddeti
intention	amaç
interface	arayüz
interjection	ünlem
international	uluslararası
interprète	tercüman
interrupteur	anahtar
intervalle	aralık
interview	mülakat
intestin	bağırsak
introduire	haber vermek
intron	intron
intrépide	yılmaz
intuition	sezgi
intéressant	enteresan
intérêt	alaka
inule fausse criste	sahil andız otu
inutile	abes
invention	buluş
invertébré	omurgasız
investigation	deli
investissement	yatırım
invisible	görünmez
inviter	davet etmek
invité	misafir
iode	iyot
ion	iyon
irade	irade
iranien	İranlı
iridium	iridyum
iris	iris
ironie	alay
irrationnel	irrasyonel
irresponsabilité	sorumsuzluk
irriter	alevlendirmek
irréligion	dinsizlik
islam	İslam
islamophobie	İslamofobi
islandais	İzlandaca
islandais	İzlandaca
isolat	izole dil
israélien	israilli
italien	Italyan
italien	İtalyanca
ivoire	fildişi
ivre	sarhoş
jacinthe	sümbül
jade	yeşim
jaguar	jaguar
jaloux	kıskanç
jamais	asla
jambe	bacak
jambon	jambon
janissaire	yeniçeri
janvier	ocak
japonais	Japonca
japonais	Japonca
jardin	bahçe
jardin zoologique	hayvanat bahçesi
jardinier	bahçıvan
jargon	jargon
jaseur boréal	ipekkuyruk
jasmin	yasemin
jaune	sarı
jaune	sarı
jaune d’œuf	yumurta sarısı
javelot	cirit
jazz	caz
jaïnisme	jainizm
je	ben
je ne sais qu’une chose c’est que je ne sais rien	Bildiğim tek şey hiçbir şey bilmediğimdir
je t’aime	seni seviyorum
je-sais-tout	çokbilmiş
jeter	atmak
jeter un sort	büyülemek
jeu	oyun
jeu de cartes	iskambil
jeu d’instructions	komut kümesi
jeu d’échecs	satranç
jeu vidéo	video oyunları
jeudi	perşembe
jeune	genç
jeune	genç
jeunesse	gençlik
jeûne	oruç
job	iş
jockey	cokey
joie	lezzet
joli	hoş
jongleur	jonglör
joue	yanak
jouer	oynamak
jouet	oyuncak
joueur	oyuncu
joug	boyunduruk
joule	jül
jour	gün
journal	günlük
journal intime	günlük
journalier	günlük
journalisme	gazetecilik
journaliste	gazeteci
joyeux	neşeli
joyeux Noël	noeliniz kutlu olsun
joyeux Noël et bonne année	Noeliniz Ve Yeni Yiliniz Kutlu Olsun
joyeux anniversaire	doğum günün kutlu olsun
judaïsme	Musevilik
judéo-espagnol	Yahudi İspanyolcası
juge	hakim
juif	Yahudi
juillet	temmuz
juin	haziran
jumeau	ikiz
jumeau	ikiz
jument	kısrak
jungle	cengel
jupe	etek
jurer	ant içmek
jus de pomme	elma suyu
juste	doğru
justice	adalet
jute	jüt
kabuki	kabuki
kafkaïen	kavkafari
kakuro	kakuro
kangourou	kanguru
kaolin	kaolin
karagouz	karagöz
karaté	karate
katakana	katakana
kazakh	Kazakça
kaïmac	kaymak
kelvin	kelvin
ketchup	ketçap
ketmen	ketmen
ketmân	takiye
khagan	hakan
khaganat	kağanlık
khalat	hil’at
khan	kağan
kharadj	haraç
khazinedar	hazinedar
khmer	Kmer dili
khédive	hidiv
kikiriki	kuk-kurri-kuuu
kilerdgi	kilerci
kilogramme	kilo
kilogramme-force	kilogram-kuvvet
kilomètre	kilometre
kilomètre carré	kilometre kare
kilomètre par heure	kilometre bölü saat
kiosque	köşk
kippa	kippa
kiptchak mamelouk	Arap harfli Kıpçak Türkçesi
kiwi	kivi
klingon	Klingonca
koala	koala
kokoriko	kuk-kurri-kuuu
kolkhoze	kolhoz
konak	konak
kopeck	kopek
kotava	kotava
koumis	kımız
krill	kril
krypton	kripton
kurde	Kürtçe
kurde	kürtçe
kyudo	kyudo
kébab	kebap
kératine	keratin
la critique est aisée mais l’art est difficile	söylemesi kolay
la ferme	sus
la fin justifie les moyens	amaca giden her yol mübahtır
la goutte d’eau qui fait déborder le vase	bardağı taşıran damla
la parole est d’argent et le silence est d’or	söz gümüşse sükut altındır
la parole est d’argent, le silence est d’or	söz gümüşse sükut altındır
la plume est plus forte que l’épée	kalem kılıçtan keskindir
la véritable amitié se voit dans le malheur	iyi dost kara günde belli olur
labarum	labarum
labeur	iş
labialisation	dudaksıllaşma
laboratoire	laboratuvar
laborieux	çalışkan
labyrinthe	labirent
lac	göl
lac Léman	Cenevre Gölü
lac de Constance	Konstanz Gölü
lacer	bağlamak
lactose	laktoz
ladino	Ladino
lahute	gusla
laid	çirkin
laine	yün
laisser	bırakmak
laisser de côté	bir yana bırakmak
laisser pour compte	terk etmek
lait	süt
laiton	pirinç
laitue	marul
lama	lama
lame	ağız
lampadaire	sokak lambası
lampe	lamba
lampe à diode électroluminescente	LED lamba
lampe à huile	kandil
lamproie	bofa balığı
lance	mızrak
lancer du javelot	cirit atma
langage	dil
langage de programmation	programlama dilleri
langoureux	süzgün
langue	dil
langue des signes	işaret dili
langue maternelle	ana dili
langue morte	ölü dil
langue romane	Roman dili
langue étrangère	yabancı dil
langueur	bitkinlik
lanterne	fener
lanthane	lantan
lapider	recmetmek
lapin	tavşan
lapin de Pâques	paskalya tavşanı
lard	domuz pastarması
large	geniş
largeur	bolluk
larme	gözyaşı
larve	kurtçuk
larynx	gırtlak
latin	Latince
latitude	enlem
laurier	defne
laurier sauce	akdeniz defne
lavabo	lavabo
laver	yıkamak
lawrencium	lorentiyum
laze	Lazca
le	onu
le chien aboie, la caravane passe	it ürür, kervan yürür
le long de	boyunca
le remède est pire que le mal	tedavisi hastalıktan beter
le sort en est jeté	ok yaydan çıktı
le temps, c’est de l’argent	vakit nakittir
lecteur	okuyucu
lectrice	okuyucu
lent	yavaş
lentement	yavaş
lenteur	ağırlık
lentille	mercimek
les doigts dans le nez	gözü kapalı
les grands esprits se rencontrent	aklın yolu birdir
les loups ne se mangent pas entre eux	it iti ısırmaz
les murs ont des oreilles	yerin kulağı vardır
lesbienne	lezbiyen
letton	Letonca
lettre	mektup
leucémie	lösemi
levanti	levend
lever	kalkmak
levier	kaldıraç
levure	maya
lezguinka	lezginka
leçon	ders
libellule	kızböcek
liberté	özgürlük
liberté de culte	din özgürlüğü
libido	libido
librairie	kitapçı dükkanı
libration	librasyon
libre	özgür
libérer	serbest bırakmak
licence	lisans
lichen	liken
licorne	tekboynuz
lien	bag
lier	bağlamak
lierre	sarmaşık
lieutenant	teğmen
lieutenant-colonel	yarbay
ligase	ligaz
ligne	doğru
ligue	bağ
lilas	eflatun
lilas	leylak
lime	eğe
limiter	sınırlamak
limousine	limuzin
limpide	aşikâr
lin	keten
lin cultivé	keten
linge	kumaş
linguistique	dilbilim
linguistique	dil bilimi
linotte mélodieuse	keten kuşu
linotte à bec jaune	sarı gagalı keten kuşu
lion	aslan
lion de Némée	Nemea Aslanı
lionne	dişi aslan
liqueur	likör
liquide	sıvı
lire	okumak
lis de mer	kum zambağı
lisse	pürüzsüz
liste	liste
lit	yatak
lit de mort	ölüm döşeği
lithium	lityum
lithographie	taş baskı
litre	litre
littéralement	harfi harfine
littérature	edebiyat
lituanien	Litvanca
liturgie	litürji
livermorium	livermoryum
livre	libre
livre	kitap
lièvre	tavşan
locomotive	lokomotif
locution nominale	ad tamlaması
logarithme	logaritma
logement	konut
logiciel	yazılım
logiciel malveillant	zararlı yazılım
logique	mantık
logique	mantık
logistique	lojistik
loi	kanun
loin	uzak
loin des yeux, loin du cœur	gözden ırak olan gönülden de ırak olur
lointain	uzak
lol	loli
long	uzun
longtemps	uzun
longue-vue	teleskop
longueur	boy
loquat	muşmula
loriquet de Johnstone	Mindanao lorisi
loriquet eutèle	zeytin göğüslü lor
loriquet jaune et vert	sarı-yeşil lori
loriquet orné	süslü lori
loriquet versicolore	alaca lori
loriquet vert	pul göğüslü lori
losange	eşkenar dörtgen
loterie	piyango
lotier corniculé	gazelboynuzu
lotion	losyon
louange	övme
loufoque	kaçık
loukoum	lokum
loup	kurt
loup de Sibérie	tundra kurdu
loup-garou	kurt adam
loupe	büyüteç
lourd	agir
loutre	lutr
lui	ona
lumen	lumen
luminescence	işıldama
lumière	ışık
lundi	pazartesi
lundi	pazartesi
lune	ay
lune de miel	balayı
lunettes	gözlük
lunettes de soleil	güneş gözlüğü
lupin bleu	mavi acı bakla
lusciniole à moustaches	bıyıklı kamışçın
lustre	avize
lustre	beş yıllık süre
luth	ud
luthier	luthier
lutin	küçük şeytan
lutte	mücadele
lutte des classes	sınıf mücadelesi
lutécium	lütesyum
luxe	lüks
luxembourgeois	Lüksemburgca
luxmètre	işıkölçer
lynx	vaşak
lynx roux	doru vaşak
là	şurada
lâche	alçak
lèvre	dudak
lécher	yalamak
lécher le cul	yağlamak
légal	yasal
légende	efsane
légende urbaine	şehir efsanesi
léger	hafif
légume	sebze
léninisme	Leninizm
léopard	pars
lésion	lezyon
lévrier	tazı
lézard	kertenkele
l’amour est aveugle	aşkın gözü kördür
l’argent parle	para konuşur
l’emporter	üstün gelmek
l’enfer est pavé de bonnes intentions	cehenneme giden yol iyi niyet taşlarıyla döşelidir
l’erreur est humaine	hata insana mahsustur
ma	benim
macareux moine	bayağı deniz papağanı
machine	makine
machine à café	kahve makinesi
machine à coudre	dikiş makinesi
machine à laver	çamaşır makinesi
machine à écrire	daktilo makinesi
macreuse brune	kadife ördek
macrophotographie	makro fotoğrafçılık
madame	hanım
mademoiselle	bayan
magasin	dükkân
magie	büyü
magma	magma
magnésite	magnezit
magnésium	magnezyum
magnétisme	mıknatıslık
magnétite	manyetit
magnétomètre	manyetometre
mah-jong	mah-jongg
mai	mayıs
maillot de bain	mayo
main	el
main dans la main	el ele
maint	birçok
maintenant	şimdi
maire	belediye başkanı
mairesse	bayan belediye başkanı
mais	ama
maison	ev
majeur	ağır
majorité	çoğunluk
majuscule	büyük harf
mal	fena
mal	dert
mal de tête	baş ağrısı
malade	hasta
maladie	hastalık
maladie du cri du chat	cri du chat sendromu
maladie d’Alzheimer	Alzheimer hastalığı
maladroit	beceriksiz
malaisant	rahatsız
malaise vagal	vazovagal senkop
malaria	sıtma
malentendu	anlaşmak
malgré	karsin
malheur	mutsuzluk
malheureusement	maalesef
malheureux	bedbaht
malsain	ahlaksız
malt	malt
maltais	Maltaca
mamaliga	mamaliga
maman	anne
mamelon	meme başı
mammifère	memeli
manche	kol
manche	sap
manchot	beceriksiz
manchot	penguen
manchot royal	kral penguen
mandarine	mandalina
mandoline	mandolin
mandragore	adam otu
mandrill	mandril
mangaka	mangaka
manganèse	mangan
manger	yemek
manger comme un cochon	domuz gibi yemek
mangouste	kuyruksüren
mangouste jaune	Sarı kuyruksüren
mangue	mango
manguier	mango
manière	tarz
manque	açık
mansarde	çatı katı
mante religieuse	peygamber devesi
maquereau	uskumru
maquillage	makyaj
maquiller	makyaj yapmak
maraca	maraka
marathon	maraton
marbre	mermer
marchand	tüccar
marche	marş
marcher	yürümek
marché	çarşı
marché noir	karaborsa
mardi	salı
mardi	salı
marelle	seksek
margarine	margarin
mari	koca
mariage	düğün
marier	evlenmek
marijuana	esrar
marin	kalyoncu
marine	bahriye
marionnette	kukla
marié	evli
marié	damat
marjolaine	mercanköşk
marmotte	dağ sıçanı
marron	kahverengi
marron	kahve rengi
mars	mart
marsouin	mutur
marsouin aptère	sırt yüzgeçsiz liman yunusu
marsouin commun	bayağı musur
marsouin de Burmeister	kara liman yunusu
marsouin de Dall	beyaz yanlı musur
marsouin du golfe de Californie	körfez muturu
marsouin à lunettes	gözlüklü liman yunusu
marteau	çekiç
martenitsa	martenitsa
martinet noir	ebabil
martyr	şehit
marxisme	Marksizm
marécage	bataklık
marée	gelgit
masculin	eril
masochisme	mazoşizm
masque	maske
massage	masaj
masse	balyoz
masse atomique	bağıl atom kütlesi
masse volumique	yoğunluk
massif	sıradağ
match	maç
matelas	döşek
mathématiques	matematik
matin	sabah
matinée	sabah
matière	madde
matérialisme	maddecilik
matériel	bilgisayar donanımı
maudire	beddua
mausolée	mezar
maussade	aynasız
mauvais	kötü
mauvais œil	kem göz
maximal	azami
maximum	azami
mayonnaise	mayonez
maître	hoca
maïs	mısır
meitnérium	meitneriyum
melon	kavun
melon	kavun
membrane	zar
membre	üye
menace	tehdit
menacer	tehdit etmek
mendiant	dilenci
mendier	dilenmek
mendélévium	mendelevyum
mener	götürmek
mener par le bout du nez	parmağında oynatmak
mensonge	yalan
menstruation	âdet
mensuel	aylık
mental	akli
menteur	yalancı
menthe	nane
mentionner	bahsetmek
mentir	yalan söylemek
menton	çene
mer	deniz
mer Adriatique	Adriyatik Denizi
mer Baltique	Baltık Denizi
mer Caspienne	Hazar Denizi
mer Ionienne	İyon Denizi
mer Morte	Lut Gölü
mer Noire	Karadeniz
mer Rouge	Kızıldeniz
mer Tyrrhénienne	Tiren Denizi
mer de Chine méridionale	Güney Çin Denizi
mer de Chine orientale	Doğu Çin Denizi
mer de Marmara	Marmara Denizi
mer de Wandel	Wandel denizi
mer du Japon	Japon denizi
mer du Nord	Kuzey Denizi
mer d’Azov	Azak Denizi
mer Égée	Ege Denizi
merci	teşekkür ederim
mercredi	çarşamba
mercure	cıva
merde	bok
merlan	mezgit
merle	karatavuk
merle bleu	gök ardıç kuşu
merle de roche	taşkızılı
merle d’Amérique	Amerika nar bülbülü
merle noir	karatavuk
merle à plastron	boğmaklı ardıç
merveilleux	harika
mesousa	mezuza
message	mesaj
mettre	koymak
meuble	eşya
meunier	değirmenci
meurtre	cinayet
meurtrier	katil
miaou	miyav
miauler	miyavlamak
micocoulier	çitlenbik
micocoulier de Provence	adi çitlembik
micro-onde	mikrodalga
microbe	mikrop
microbiologie	mikrobiyoloji
microfilm	mikrofilm
microphone	mikrofon
microscope	mikroskop
microscopique	mikroskobik
midi	öğle
midibus	midibüs
miel	bal
miette	kırıntı
mieux vaut tard que jamais	geç olsun güç olmasın
mignon	hoş
migraine	migren
milan	çaylak
milan noir	kara çaylak
milan royal	kızıl çaylak
mile	mil
militaire	askerî
militarisme	militarizm
milk-shake	milkshake
mille	bin
mille marin	deniz mili
millet	darı
milliard	milyar
millimètre	milimetre
million	milyon
millionnaire	milyoner
millième	bininci
millénaire	milenyum
minaret	minare
mince	ince
mingrélien	megrelce
miniature	minyatür
minimalisme	minimalizm
ministre	bakan
ministère	bakanlar kurulu
minuit	gece yarısı
minuscule	küçücük
minute	dakika
minéral	mineral
miracle	mucize
miroir	ayna
missile	füze
missionnaire	misyoner
miséricorde	merhamet
mithridatisation	mithridatism
mitochondrie	mitokondri
mitose	karyokinez
mitrailleuse	makineli tüfek
moaï	moai
mode	moda
mode avion	uçuş modu
modem	modem
moderne	modern
modernité	modernlik
modeste	alçak gönüllü
module	modül
moelle	ilik
moelle osseuse	kemik iliği
moelle épinière	omurilik
mohel	mohel
moine	keşiş
moineau	serçe
moineau domestique	bayağı serçe
moineau espagnol	söğüt serçesi
moineau friquet	ağaç serçesi
moineau soulcie	kaya serçesi
moins	eksi
moins	daha az
moins	eksi
mois	ay
moissonneuse	biçerdöver
moissonneuse-batteuse	biçerdöver
moitié	buçuk
mojito	mojito
moldu	muggle
mole	mol
mollasson	mıymıntı
mollet	baldır
molybdène	molibden
moléculaire	zerre
molécule	molekül
moment	an
momie	mumya
mon	benim
monarchie	monarşi
monarchie constitutionnelle	meşrutî monarşi
monarque	hükümdar
monastère	manastır
monde	dünya
mondialisation	küreselleşme
mongol	Moğolca
monisme	monizm
monnaie	para
monoamine oxydase	monoamin oksidaz
monocycle	tekteker
monogamie	monogami
monographie	monografi
monosaccharide	monosakkarit
monothéisme	monoteizm
monotone	biteviye
monoxyde de carbone	karbonmonoksit
monoxyde d’azote	azot monoksit
monoïde	birlik
monsieur	beyefendi
monstre	canavar
montage	montaj
montagne	dağ
montant	miktar
monter	binmek
montre	saat
montrer	göstermek
monument	abide
moraine	buzultaş
mordre	ısırmak
morelle noire	köpek üzümü
morphine	morfin
morphème	biçimbirim
morse	mors
mort	ölü
mort	ölüm
mort	ölü
mortier	harç
morue	morina
mosaïque	mozaik
mosquée	cami
mot	kelime
mot composé	birleşik kelime
mot de passe	parola
mot à mot	harfi harfine
mot-valise	birleşik sözcük
moteur	motor
moteur à explosion	yanmalı motor
motif	motif
motivation	motivasyon
moto	motosiklet
motocyclette	motosiklet
mots croisés	kare bulmaca
mou	yumuşak
mouavin	muavin
moucharder	ihbar etmek
mouche	sinek
moucheron	sivrisinek
mouchoir	mendil
mouette	martı
mouette pygmée	küçük martı
mouette rieuse	karabaş martı
mouette tridactyle	kara bacaklı martı
mouffette	kokarca
mouillé	ıslak
moule	midye
moule	kalıp
moulin	değirmen
mourir	ölmek
mouron bleu	mavi farekulağı
mousse	yassi
mousse	köpük
mousselin	müsellim
mousseline	muslin
moustache	bıyık
moustachu	bıyıklı
moustique	sivrisinek
moutarde	hardal
mouton	koyun
mouvement	hareket
moyen français	orta fransızca
moyen haut-allemand	Orta Yüksek Almanca
mucus	sümük
mufti	müftü
muguet	kandidiyaz
mulet	katır
multiplication	çoğaltma
multiplier	çoğaltmak
mur	duvar
musc	misk
muscardin	fındık faresi
muscle	adale
muscovite	muskovit
muselière	burunsalık
musicien	müzisyen
musicologie	müzikoloji
musique	müzik
musulman	Müslüman
musée	müze
mutation	mutasyon
mutiler	bozmak
myope	miyop
myopie	miyopi
myosotis	unutmabeni
myrrhe	mür
myrtille	yaban mersine
mysticisme	mistisizm
mystère	gizem
mythologie	mitoloji
mâcher	çiğnemek
mâchoire	çene
mâle	adam
mât	direk
mèche	fitil
mère	anne
mètre	metre
mètre carré	metrekare
mètre par seconde	metre bölü saniye
mètre ruban	mezura
mètre-ruban	mezura
mécanique	mekanik
mécanisme	mekanizma
mécatronique	mekatronik
médaille	madalya
médecin	hekim
médecine	tıp
médicament	ilaç
médisance	gıybet
méditation	meditasyon
méduse	denizanası
mégadonnées	büyük veri
mégalomanie	megalomani
méiose	mayoz
mélancolie	hüzün
mélange	karışım
mélilot d’Italie	İtalya taş yoncası
mélodie	arya
mélèze	melez
mémoire	bellek
mémoire virtuelle	sanal bellek
méningite	menenjit
mésange azurée	gök mavisi baştankara
mésange charbonnière	ala
mésange à longue queue	uzunkuyruk
méson	mezon
métabolisme	metabolizma
métal	metal
métallurgie	metalurji
métamorphique	başkalaşım
métamorphose	başkalaşım
métaphore	mecaz
métaphysique	metafizik
métaplasie	metaplazi
métastase	metastaz
méthane	metan
méthylation	metilasyon
méthylphénidate	metilfenidat
métier	iş
métier à broder	nakış kasnağı
métro	metro
métronome	metronom
métropole	metropol
météo	meteoroloji
météore	meteor
météorologie	meteoroloji
même si	se bile
mûre	dut
mûrir	olgunlaşmak
m’as-tu-vu	kendini beğenmiş
nacre	sedef
nageoire	yüzgeç
nager	yüzmek
nageur	yüzücü
nain	cüce
naine blanche	beyaz cüce
naissance	doğum
nakib	nakib
namaz	namaz
nana	civciv
napalm	napalm
narcisse	nergis
narguilé	nargile
narine	burun deliği
narval	narval
naswar	nasvar
