crazia	κρατία
scimmiottare	πιθηκίζω
scimpanzé	χιμπατζής
scindere	κόβω
scintilla	σπινθήρας
scintillante	αστραφτερός
scintoismo	σιντοϊσμός
scioccare	θημωνιά
sciocchezza	αερολογώ
sciocco	ιδιώτης
sciogliere	αποσυντίθεμαι
sciogliersi	εξαφανιστεί
scioglilingua	γλωσσοδέτης
scioltezza	ευκινησία
sciolto	ανεμπόδιστος
scioperare	απεργώ
sciopero	απεργία
sciorinare	αέρας
sciovinismo	σωβινισμός
scipito	άγευστος
scirocco	σιρόκος
sciroppo	σιρόπι
scisma	σχίσμα
scissione	ρήγμα
sciupato	κατεστραμμένος
scivolare	γλίστρημα
scivolo	καταπακτή
scivolone	γλίστρημα
scivoloso	ολισθηρός
sclera	σκληρός χιτώνας
scocca	γραμματολογία
scoccare	πυροβολώ
scocciare	εκνευρίζω
scocciato	βαριεστημένος
scodinzolare	κουνώ
scoglio	σκόπελος
scoiattolo	σκίουρος
scolapasta	σουρωτήρι
scolarità	γνώση
scolaro	μαθήτρια
scolasticamente	λόγιος
scolastico	εκπαιδευτικός
scollegare	αποκόβομαι
scolmatore	ξεχείλισμα
scolta	αμυντικός
scombussolare	θολώνω
scombussolato	ακατάστατος
scommessa	στοίχημα
scommettere	ποντάρω
scomodo	άβολο
scompaginato	αλλόκοτος
scomparire	αφήνω την τελευταία μου πνοή
scomparsa	πάσα
scomparso	ακριβώς
scompigliare	σούφρα
scomporre	αποσυντίθεμαι
scomposti	συμβιβάζω
scomunica	αφορισμός
scomunicare	αφορίζω
sconcerto	παραζάλη
sconcio	αισχρή
sconclusionato	ασυνάρτητος
scondito	πεδιάδα
sconfiggere	νικώ
sconfinare	εισέρχομαι παρανόμως
sconfitta	ήττα
sconfortante	αποθαρρυντικός
sconfortare	αποθαρρύνω
sconforto	αθυμία
scongelare	αποψύχω
scongiurare	εκλιπαρώ
sconosciuto	άγνωστος
sconquassare	θρυμματίζω
sconquasso	ζημία
sconsideratamente	αβασάνιστα
sconsiderato	ανόητος
sconsiderato	απερίσκεπτος
sconsolante	αποθαρρυντικός
sconsolato	άθλιος
scontare	υφαίρεση
scontrarsi	συγκρούομαι
scontrino	απόδειξη
scontro	μαλώνω
scontrosi	κακότροπος
scontroso	κακότροπος
sconveniente	αγενής
sconvolgente	ενοχλητικός
sconvolgimento	θυμωμένος
sconvolto	θυμωμένος
scopa	σκούπα
scopare	σκουπίζω
scopata	γαμήσι
scoperta	ανακάλυψη
scopo	σκοπός
scoppiato	ρήγμα
scoppio	ανατίναξη
scoprire	ανακαλύπτω
scoraggiamento	αποθάρρυνση
scoraggiante	αποθαρρυντικός
scorbutico	κακότροπος
scorbuto	σκορβούτο
scorciatoia	παράκαμψη
scorcio	βλέμμα
scordare	ξεχνώ
scordarsi	λησμονώ
scordato	απεριποίητος
score	πηδάω
scoreggia	πορδή
scoreggiare	κλάνω
scorgere	ανακοίνωση
scorno	περιφρονώ
scorpione	σκορπιός
scorrere	εξοστρακίζομαι
scorreria	έφοδος
scorrettezza	κάνω λάθος
scorretto	αγενής
scorrevole	ρευστό
scorso	πρόσφατος
scorta	απόθεμα
scorticare	επιδερμίδα
scorticatore	καρχαρίας
scorza	φλοιός
scosceso	απότομος
scossa	ηλεκτροπληξία
scostante	δυσάρεστος
scostumato	ακόλαστος
scottante	καύση
scottare	καύσος
scotto	αντίτιμο
scotto	πηδάω
scovare	αρχή
scozzese	Σκοτσέζοι
screditato	ανυπόληπτος
scremato	εξοστρακίζομαι
screpolatura	ευθυμία
screziare	κηλίδα
scricchiolare	κουδουνίστρα
scricchiolio	δαγκώνω
scriteriata	ανόητος
scriteriate	ανόητος
scriteriati	ανόητος
scritta	γραπτός
scrittore	συγγραφέας
scrittura	γράψιμο
scrivania	γραφείο
scrivente	έγγραφο
scrivente	δημιουργός
scrivere	γράφω
scrofa	γουρούνα
scrosciare	προβειά
scroscio	αλαλάζω
scroto	όσχεο
scrupolo	αμφιβάλλω
scrupoloso	ευσυνείδητος
scrutare	κοιτάω από πάνω μέχρι κάτω
scuderia	στάβλος
scudiscio	καμουτσίκι
scudo	ασπίδα
scuffia	κραιπάλη
sculacciare	δέρνω
scultore	γλύπτης
scultrice	γλύπτρια
scultura	γλυπτική
scuola	σχολείο
scuola dell'obbligo	υποχρεωτική εκπαίδευση
scuotere	σείω
scuotersi	άλμα
scure	τσεκούρι
scusa	συγνώμη
scusare	συγχωρώ
scusarsi	λέγω
sdegno	οργή
sdegnoso	καταφρονητικός
sdoganamento	εισαγωγή
sdoganare	αποσαφηνίζω
sdolcinato	σαχλός
sdrucciolevole	ολισθηρός
se	αν
seaborgio	σιμπόργκιο
sebbene	αν και
secante	απόκομμα
secca	άνυδρος
seccante	ενοχλητικός
seccato	ενοχλημένος
seccatore	ζιζάνιο
seccatura	ενόχληση
secchio	κουβάς
secchio delle immondizie	απορρίμματα
secchione	βιβλιοσκώληξ
secco	ξερός
secernere	μυστικό
secessione	απόσχιση
secessionista	απόσχιση
secolare	εκατονταετηρίδα
secolare	κοσμικός
secolarizzazione	εκκοσμίκευση
secolo	αιώνας
seconda persona	δεύτερο πρόσωπο
secondo	δευτερόλεπτο
secondo	δεύτερος
secreto	απόκρυψη
secrezione	έκκριση
sedano	σέλινο
sedare	γαλήνη
sedativo	ηρεμιστικό
sede	διακλάδωση
sedere	πισινός
sedere	κάθομαι
sedia	καρέκλα
sedici	δεκαέξι
sedile	έδρα
sedimento	ίζημα
sedizione	στάση
seducente	δελεαστικός
sedurre	αποπλανώ
seduzione	αποπλάνηση
sega	πριόνι
segala	σίκαλη
segale	σίκαλη
segare	πριονίζω
seggio	απώλεια άντωσης
seggiola	καρέκλα
segmento	ευθύγραμμο τμήμα
segnalazione	ένδειξη
segnale	σήμα
segnalibro	σελιδοδείκτης
segnare	γραμμή
segnarsi	γινόμενο
segno	γρατζουνιά
segno di interpunzione	σημείο στίξεως
segno zodiacale	ζώδιο
segregare	διαχωρίζω
segreta	μπουντρούμι
segretamente	κρυφά
segretario	γραμματέας
segreteria	γραμματέας
segreto	μυστικό
seguace	ακόλουθο
segugio	λαγωνικό
seguire	ακολουθώ
seguito	σουίτα
sei	έξι
seicento	εξακόσια
selenio	σελήνιο
selettivo	εκλεκτικός
selezionare	ηθμός
selezione	στρατολόγηση
selfie	αυτοφωτογράφιση
sella	βαθύ βαρομετρικό
sellare	σέλλα
selva	δάσος
selvaggi	άγριος
selvaggina	κυνήγι
selvaggio	άγριος
selvaggio	άγριος
selvatico	άγριος
selvatico	καταδαγκώνω
semaforo	φανάρι
semantica	σημασιολογία
semantico	σημασιολογικός
sembianza	βλέμμα
sembrare	φαίνομαι
seme	σπέρμα
semeiotica	συμπτωματολογία
semenza	αιτία
semestre	ήμισυς
semicerchio	ημικύκλιο
semiconduttore	ημιαγωγός
seminare	άλειμμα
seminario	σεμινάριο
seminterrato	υπόγειο
semiologia	σημειολογία
semiologo	σημειολόγος
semiotica	σημειολογία
semiretta	ημιευθεία
semisfera	ημισφαίριο
semivolo	πλευρά
semolino	σιμιγδάλι
semplice	απλός
semplice	απλοϊκός
semplicemente	απλά
semplicione	απλοϊκός
sempliciotto	κοροϊδεύω
semplicità	απλότητα
semplificare	απλοποιώ
semplificazione	απλοποίηση
sempre	πάντα
sempreverde	αειθαλής
senape	σινάπι
senato	γερουσία
senatore	γερουσιαστής
senatrice	γερουσιαστής
senegalese	Σενεγαλέζα
senescenza	γήρας
senile	ξεμωραμένος
senilità	γεροντική άνοια
sennò	αλλιώς
seno	στήθος
sensatezza	απόφαση
sensato	έντιμος
sensazionale	εντυπωσιακός
sensazione	αίσθηση
senseria	πρακτορείο
sensibile	ευαίσθητος
sensibilità	αντίληψη
sensibilizzazione	ευαισθησία
sensitivo	αισθητικός
senso	κατεύθυνση
sensoriale	αισθητήριος
sensuale	αισθησιακός
sentenza	καταδίκη
sentiero	ίχνος
sentimentale	συναισθηματικός
sentimento	συναισθάνομαι
sentina	σεντίνα
sentinella	σκοπός
sentire	αισθάνομαι
sentirsi	ψηλαφώ
sentitamente	βαθιά
sentito	ειλικρινής
senzatetto	άστεγος
separare	χωρίζω
separarsi	κόβω
separatamente	χωριστά
separato	κόβω
separazione	χωρισμός
sepolcro	μνήμα
sepolto	θαμμένος
sepoltura	κηδεία
seppellimento	ενταφιασμός
seppellire	ενταφιάζω
seppia	σουπιά
sequela	αλυσοδένω
sequenza	ακολουθία
sequestro	εξάρτημα
sera	βράδυ
serale	βραδινός
serata	εσπερίδα
serbatoio	καζανάκι
serbo	Σέρβος
serbo	σερβικά
serendipità	τυχαιότητα
serenità	γαλήνη
sereno	ασυννέφιαστος
sergente	λοχίας
seriale	σειρά
serie	σοβαρός
serietà	αξιοπιστία
serio	σοβαρός
sermone	κήρυγμα
serotonina	σεροτονίνη
serpente	φίδι
serpere	μπουσουλάω
serra	θερμοκήπιο
serraglio	θηριοτροφείο
serrare	κλείνω
serrata	περιεκτικός
serrato	κλείνω
serratura	κλειδαριά
server	εξυπηρετητής
servile	δουλικός
servile	ανταλλακτικός
servilismo	ανελευθερία
servire	χρειάζομαι
servitore	υπηρέτης
servitù	δουλεία
servizio	υπηρεσία
servo	δευτερεύων
sesamo	σουσαμιά
sessanta	εξήντα
sessantacinque	εξήντα πέντε
sessantadue	εξήντα δύο
sessantanove	εξήντα εννιά
sessantanove	εξήντα εννέα
sessantaquattro	εξήντα τέσσαρες
sessantasei	εξήντα έξ
sessantasette	εξήντα επτά
sessantatré	εξήντα τρείς
sessantotto	εξήντα οκτώ
sessantuno	εξήντα έν
sessismo	σεξισμός
sesso	φύλο
sessuale	γενετήσιος
sessualità	σεξουαλικότητα
sessualmente	σεξουαλικά
sessuato	γενετήσιος
sesta	έκτος
sesta	μεσημέρι
sestina	σεστίνα
seta	μετάξι
setaccio	σουρωτήρι
sete	δίψα
setta	αίρεση
settanta	εβδομήντα
settantacinque	εβδομήντα πέντε
settantadue	εβδομήντα δύο
settantanove	εβδομήντα εννέα
settantaquattro	εβδομήντα τέσσαρες
settantasei	εξήντα έξ
settantasette	εβδομήντα επτά
settantatré	εβδομήντα τρείς
settantotto	εβδομήντα οκτώ
settantuno	εβδομήντα έν
settare	κλίκα
sette	επτά
sette	επτά
settecento	επτακόσια
settembre	Σεπτέμβριος
settentrionale	βόρειος
settentrione	βορράς
settico	σηπτικός
settimana	εβδομάδα
settimanale	εβδομαδιαίος
settimanale	εβδομαδιαίος
settimanalmente	εβδομαδιαία
settimo	έβδομος
setto	διάφραγμα
settore	τομέας
severamente	εξαιρετικά
severo	άτεγκτος
sevizia	βασανιστήρια
seviziare	βασανιστήρια
sezionare	ανατέμνω
sezione	διεύθυνση
sfaccendato	τεμπέλης
sfaccendato	τεμπέλης
sfacchinare	κόπος
sfacchinata	αγγαρεία
sfacciataggine	θράσος
sfacciatamente	αναιδώς
sfacciatezza	θράσος
sfacciato	κραυγαλέος
sfarzo	επίδειξη
sfarzoso	θαυμάσιος
sfasamento	αμηχανία
sfascio	αποσυνθέτω
sfasciumi	ναρκωτικό
sfaticato	άεργος
sfavorevole	άσχημος
sfegatato	παράτολμος
sfera	σφαίρα
sfericità	σφαιρικότητα
sferico	σφαιρικός
sferza	μαστίγιο
sferzante	δηκτικός
sferzare	χτυπάω
sfiancato	εξαντλημένος
sfiatatoio	φυσητήρας
sfida	πρόκληση
sfidare	πρόκληση
sfigato	χαμένος
sfilata	παρέλαση
sfinito	εξαντλημένος
sfintere	σφιγκτήρας
sfizioso	ελαφρός
sfocato	ασαφής
sfoderare	ζωγραφίζω
sfogare	απόδραση
sfoggiare	κομπάζω
sfoggio	επίδειξη
sfogo	εμπορεύομαι
sfollare	διευθυντής
sfoltire	αραιός
sfondo	βάθος
sfornare	διαλέγω
sfortuna	δυστυχία
sfortunatamente	δυστυχώς
sfortunato	άμοιρος
sforzare	βία
sforzo	προσπάθεια
sfregiare	ντροπιάζω
sfrenato	άγριος
sfrontatezza	θράσος
sfrontato	ιταμός
sfruttamento	εκμετάλλευση
sfruttare	βρύση
sfuggente	πανούργος
sfumare	εξαφανίζω
sfumato	ακαθόριστος
sfumatura	επαφή
sfuriata	θυμός
sgabello	σκίμπους
sgabuzzino	ερμάριο
sgambetto	ταξίδι
sganciare	απελευθέρωση
sgargiante	κραυγαλέος
sgattaiolare	εξαφανιστεί
sgherro	μπράβος
sgombrare	αποσαφηνίζω
sgombro	άδειος
sgombro	σκουμπρί
sgomento	θημωνιά
sgominare	ματαιώνω
sgonfiamento	αποπληθωρισμός
sgonfio	ξεφούσκωτος
sgorgare	αναβλύζω
sgradevole	αισχρός
sgraffignare	κλέβω
sgranocchiare	ροκανίζω
sgravio	ανάγλυφο
sgraziato	άγαρμπος
sgrondatura	ήθηση
sgualdrina	τσούλα
sguardo	βλέμμα
sguarnito	αδιακόσμητος
shiftare	βάρδια
show	επίδειξη
sia	και... και...
siberiana	σιβηρικός
siberiane	σιβηρικός
siberiani	σιβηρικός
siberiano	σιβηρικός
sibilla	Σίβυλλα
sibillino	αινιγματικός
sibilo	σφυρίζω
sicofante	κόλακας
sicura	ακίνδυνος
sicuramente	ασφαλώς
sicurezza	ασφάλεια
sicuro	έμπειρος
siderurgico	σίδερο
sidro	μηλίτης
siepe	φράχτης
siesta	σιέστα
sifilide	σύφιλη
sigaretta	τσιγάρο
sigaretta elettronica	ηλεκτρονικό τσιγάρο
sigaro	πούρο
sigillare	κλείνω
sigillo	σφραγίδα
significare	σημαίνω
significatività	μεγάλος
significato	έννοια
signore	κύριος
signorile	αριστοκράτης
signorina	δεσποινίς
silente	σιωπηλός
silenziare	ησυχία
silenzio	σιγή
silenziosamente	αθόρυβα
silenziosità	ησυχία
silenzioso	άηχος
silicio	πυρίτιο
sillaba	syllabè
sillabario	αλφαβητάριο
sillabazione	συλλαβισμός
sillabico	συλλαβικός
sillogismo	συλλογισμός
siluro	τορπίλη
simbiosi	αρμονία
simbolismo	συμβολισμός
simbolo	σύμβολο
simbolo chimico	xημικό σύμβολο
similare	παρόμοιος
simile	ίσος
similitudine	ομοιότητα
similmente	επίσης
simmetria	συμμετρία
simmetrico	συμμετρικός
simonia	σιμωνία
simpatia	συμπάθεια
simpatico	καλός
simpatizzare	συμπαθώ
simposio	συμπόσιο
simulacro	απείκασμα
simulare	προσποιούμαι
simulato	απογοητεύω
simulatore	προσομοιωτής
simultaneo	ταυτόχρονος
sinapsi	σύναψη
sinceramente	ειλικρινά
sincerità	ειλικρίνεια
sincero	αληθής
sincope	συγκοπή
sincretismo	συγκρητισμός
sincronico	σύγχρονος
sincronizzare	συγχρονίζω
sincrono	σύγχρονος
sindacale	άρθρωση
sindacare	ανακόπτω
sindacato	πισίνα
sindaco	δήμαρχος
sindone	σάβανο
sindrome	σύνδρομο
sinergia	συνεργία
sinestesia	συναισθησία
sinfonia	συμφωνία
singhiozzo	λυγμός
singolare	μοναδικός
singolarità	ιδιομορφία
singolarmente	χωριστά
singoletto	μονοσύνολο
singolo	άτομο
sinistra	αριστερά
sinistrato	επείγοντα περαστικά
sinistro	αριστερός
sinistro	ατύχημα
sinonimo	συνώνυμο
sintagma	σύνταγμα
sintassi	σύνταξη
sintattico	συντακτικός
sintesi	σύνθεση
sintetico	συνθετικός
sintetizzare	ανακεφαλαιώνω
sintomatico	οριστική
sintomatologia	συμπτωματολογία
sintomo	σύμπτωμα
sintonia	μελωδία
sintonizzare	μελωδία
sinuoso	κρυπτικός
sinusite	ιγμορίτιδα
sionismo	σιωνισμός
sionista	σιωνίστρια
sipario	αυλαία
sirena	γοργόνα
siriano	Συρία
sismico	σεισμικός
sismografo	σεισμογράφος
sismologia	σεισμολογία
sistema	σύστημα
sistema immunitario	ανοσοποιητικό σύστημα
sistema linfatico	λεμφικό σύστημα
sistema nervoso	νευρικό σύστημα
sistema operativo	λειτουργικό σύστημα
sistema solare	ηλιακό σύστημα
sistemare	επισκευάζω
sistematizzare	διατάζω
sistole	συστολή
sitibondo	διψασμένος
sito	εγκατάσταση
sito web	ιστοχώρος
situazionale	θέση
situazione	θέση
sketch	νούμερο
skunk	μεφίτιδα
slabbrare	ξεχείλισμα
slanciare	άλμα
slavato	άχρωμος
slavo	σλαβικός
slavo	Σλάβα
slegare	λύνω
slegato	έκλυτος
slip	κιλότα
slitta	έλκηθρο
slittare	γλιστρώ
slogare	στραμπουλίζω
slovacco	σλοβακικά
sloveno	σλοβενικά
sloveno	σλοβενικά
smaccato	σαχλός
smacco	αποτυχία
smagliante	αεριούχος
smaltare	βερνικώνω
smaltato	γυαλιστερός
smalto	αδαμαντίνη
smania	αναβρασμός
smantellare	απογυμνώνω
smargiassata	κομπάζω
smarrire	χάνω
smarrirsi	άει χάσου
smarrito	χαμένος
smeraldo	σμαράγδι
smilitarizzare	αποστρατιωτικοποιώ
smisurato	άπειρο
smodato	ασυγκράτητος
smog	νέφος
smoking	σμόκιν
smontare	ματαιώνω
smorfia	μορφασμός
smorzato	λιποθυμία
smottamento	κατολίσθηση
smussare	ακύμαντος
snack	κολατσιό
snob	ακατάδεκτος
snodare	ελευθερώνω
snodato	έκλυτος
snodo	ένωση
soave	άπλερος
sobborgo	προάστιο
sobrietà	νηφαλιότητα
sobrio	εγκρατής
soccombere	υποκύπτω
soccorrere	βοηθός
soccorritore	βοηθός
soccorritore	διασώστης
soccorso	βοήθεια
soccorso	βοηθός
social media	μέσο κοινωνικής δικτύωσης
socialdemocratico	σοσιαλδημοκρατικός
socialdemocrazia	σοσιαλδημοκρατία
sociale	κοινωνικός
socialismo	σοσιαλισμός
socialista	σοσιαλιστικός
socializzazione	κοινωνικοποίηση
società	εταιρεία
società a responsabilità limitata	εταιρεία περιορισμένης ευθύνης
società anonima	ανώνυμη εταιρία
società per azioni	ανώνυμη εταιρεία
socievole	φιλικά
socioculturale	κοινωνικοπολιτιστικός
sociogramma	κοινωνιόγραμμα
sociolinguistica	κοινωνιογλωσσολογία
sociologia	κοινωνιολογία
sodale	σύντροφος
soddisfare	ικανοποιώ
soddisfare	ικανοποιώ
soddisfatta	ευχαριστημένος
soddisfatto	ευχαριστημένος
soddisfazione	ικανοποίηση
sodio	νάτριο
sodo	δύσκολος
sodo	γερός
sodomia	σοδομία
sodomita	σοδομίτης
sodomizzare	βλάκας
sofferenza	βάσανο
soffermare	ακινησία
soffermarsi	αναλογίζομαι
soffiare	σούβλα
soffice	απαλός
soffietto	φυσερό
soffio	φύσημα
soffione	αγριοραδίκι
soffitta	σοφίτα
soffitto	οροφή
soffocamento	πνίξιμο
soffocare	ασφυκτιώ
soffrire	υποφέρω
sofisma	σοφιστεία
sofista	σοφιστής
sofisticare	αλλοιώνω
sofisticato	έμπειρος
software	λογισμικό
sofà	καναπές
soggettività	υποκειμενικότητα
soggettivo	άτομο
soggetto	υποκείμενο
soggezione	εθισμός
soggiogare	υποτάσσω
soggiorno	σαλοτραπεζαρία
soggiungere	αθροίζω
sogliola	γλώσσα
sognare	ονειρεύομαι
sognatore	ονειροπόλος
sogno	όνειρο
soia	κύαμος σόγιας
sola	άγαμος
solaio	σοφίτα
solare	ηλιακός
soldato	στρατιώτης
soldo	επινοώ
sole	ήλιος
sole	ήλιος
soleggiato	έχει λιακάδα
solenoide	ηλεκτρομαγνητική βαλβίδα
solerte	ενεργός
solerzia	εργατικότητα
solfato	θειικός
solidale	ανήσυχος
solidarietà	αλληλεγγύη
solidificazione	πήξη
solidità	άμυλο
soliloquio	μονόλογος
solipsismo	εγωμονισμός
solistico	σόλο
solitamente	συνήθως
solitario	μονήρης
solitudine	απομόνωση
sollazzo	αναψυχή
sollecita	ανέμη
sollecitazione	ζητώ
sollecito	επιμελής
sollecitudine	ταχύτητα
solleticare	γαργαλάω
sollevamento pesi	άρση βαρών
sollevare	ανακουφίζω
sollevarsi	ανάδυση
sollevato	ευγνώμων
sollevazione	ανοδοδικός
sollievo	ανακούφιση
solo	μοναδικός
solo	μόνο
solstizio	ηλιοστάσιο
soltanto	μονάχα
soluzione	διάλυμα
solvente	διαλύτης
solvere	ικανοποιώ
solvibile	διαλυτικός
somaro	μουλάρι
somiglianza	ομοιότητα
somma	άθροισμα
sommamente	άκρως
sommare	αθροίζω
sommatoria	άθροιση
sommergere	τενεκές
sommergibile	υποβρύχιο
sommessamente	αθόρυβα
sommesso	κατηφής
somministrare	υποχωρώ
sommità	καπάκι
sommossa	ανοδοδικός
sommozzatore	δύτης
sonar	βυθομέτρου
sondaggio	δημοσκόπηση
sondare	ακροώμαι
sonetto	σονέτο
sonno	ύπνος
sonnolenza	νύστα
sonorizzazione	πρόσθεση
sonoro	αντηχητικός
sontuoso	πολυτελής
sopire	ρίχνω
soporifero	υπνωτικός
soppesare	αξιολογώ
sopportabile	ανεκτός
sopportare	ενισχύω
soppressione	αιώρημα
sopprimere	ακυρώνω
soprabito	γούνα
sopracciglio	φρύδι
sopraffazione	ματαιώνω
sopraggiungere	εκδίδομαι
sopraluogo	εξέταση
soprannaturale	θαυμάσιος
soprannaturale	υπερφυσικός
soprannome	παρατσούκλι
soprassedere	αναβάλλω
soprattutto	προπαντός
sopravvalutare	υπερεκτιμώ
sopravvento	στοιχεία
sopravvissuto	επιβιωθητής
sopravvivenza	επιβίωση
sopravvivere	επιβιώνω
sopruso	καταπίεση
soqquadro	ανοργανωσιά
sorabo superiore	Άνω Σορβική γλώσσα
sorante	ανοδοδικός
sorbetto	σορμπέ
sorbire	γουλιά
sorcio	ποντικός
sordido	άγριος
sordità	κωφότητα
sordo	κουφός
sorella	αδελφή
sorellastra	ετεροθαλής αδελφή
sorgente	πηγή
sorgere	ανατολή
sorpasso	πάσα
sorprendente	εκπληκτικός
sorprendere	πιάνω
sorpresa	έκπληξη
sorreggere	άρκτος
sorridere	χαμογελώ
sorriso	χαμόγελο
sorso	γουλιά
sorta	είδος
sorte	ειμαρμένη
sortilegio	μαντεία
sortita	έξοδος
sorvegliante	αμυντικός
sorveglianza	επιτήρηση
sorvegliare	επιβλέπω
sorvolare	αγνοώ
sosia	σωσίας
sospendere	αναστέλλω
sospensione	ανάρτηση
sospeso	αναβαλλόμενος
sospettabile	ύποπτη
sospettare	δυσπιστώ
sospettato	ύποπτη
sospettoso	ύποπτος
sospirare	επιθυμώ
sosta	παύω
sostantivo	ουσιαστικό
sostanza	ουσία
sostanziale	ουσιώδης
sostanzioso	ουσιαστικός
sostenere	διαλέγω
sostenersi	βέργα
sostenibile	ανεκτός
sostenibilità	αειφορία
sostentamento	ενισχύω
sostituire	αναπληρώνω
sostituto	αντικαταστάτης
sotterfugio	υπεκφυγή
sotterramento	ταφή
sotterrare	ενταφιάζω
sottile	λεπτός
sotto	κάτω
sottobosco	άδης
sottocutaneo	υποδόριος
sottomarino	υποβρύχιο
sottomarino	υποβρύχιο
sottomesso	σεμνός
sottomettere	υποβάλλω
sottomettersi	υποβάλλω
sottomissione	πειθαρχία
sottoporre	υποβάλλω
sottoprodotto	ανατινάζω
sottoprogramma	διαδικασία
sottoscrizione	εισφορά
sottostante	αποκάτω
sottosuolo	περιθωριακός
sottotetto	σοφίτα
sottotitolo	υπότιτλοι
sottovalutare	υποεκτιμώ
sottovalutato	υποτιμημένος
sottoveste	μεσοφόρι
sottrarre	κλέβω
sottrarsi	λουφάω
soufflé	σουφλέ
souvenir	ενθύμιο
sovente	συχνά
soverchieria	καταπίεση
sovietico	σοβιετικός
sovietologia	Σοβιετολογία
sovrabbondante	περίσσιος
sovraffollato	φίσκα
sovrana	ηγεμονικός
sovranaturale	υπερφυσικός
sovranità	κυριαρχία
sovrano	ηγεμόνας
sovrappeso	υπέρβαρος
sovrapporre	επικάλυψη
sovrintendente	αστυνόμος
sovversivo	ανατρεπτικός
sovversivo	ανυπότακτος
sovvertimento	ανατροπή
sovvertitori	επαναστάτης
sozzo	αηδιαστικός
sozzura	ακαθαρσία
spaccare	βγάζω
spacciatore	διακινητής ναρκωτικών
spaccio	κίνηση
spacco	δακρύζω
spada	ξίφος
spaesato	αμήχανος
spaghetti	μακαρόνια
spagnolesco	αλαζονικός
spagnoletta	φυστίκι
spagnolo	Ισπανικά
spagnolo	Ισπανός
spaiato	αλλόκοτος
spalare	φτυαρίζω
spalla	ώμος
spalleggiare	ενισχύω
spallina	ιμάντας
spalmare	άλειμμα
spanna	αιχμή
sparaglione	σπάρος
sparare	ρίχνω
spargere	απαλλάσσομαι
sparire	εξαφανίζομαι
sparizione	εξαφάνιση
sparlare	διαβάλλω
sparo	βολή
sparso	ανοίγω
spartiacque	υδροκρίτης
spartizione	διαίρεση
sparuto	αδυνατισμένος
sparviere	γεράκι
spasimante	αγαπητικιά
spasmo	σπασμός
spassionato	πλάγια πτώση
spasso	άθλημα
spassoso	ιλαρός
spatola	σπάτουλα
spauracchio	σκιάχτρο
spaurito	κουρασμένος
spavalderia	αλαζονεία
spavaldo	θαρραλέος
spavaldo	υπεροπτικός
spaventapasseri	σκιάχτρο
spaventare	τρομάζω
spaventarsi	πανικοβάλλομαι
spaventato	τρομαγμένος
spaventevole	τρομερός
spavento	δέος
spaventoso	αμόρφωτος
spaziale	διάστημα
spazio	διάστημα
spazioso	άνετος
spaziotemporale	χωροχρόνος
spazzacamino	καπνοδοχοκαθαριστής
spazzare	σκουπίζω
spazzatura	απορρίματα
spazzatura	σκουπίδι
spazzola	βούρτσα
spazzolino	βούρτσισμα
speaker	εκφωνητής
specchiato	μακέτα
specchio	καθρέφτης
speciale	ειδικός
speciale	ειδικός
specialista	έμπειρος
specialistico	ειδική
specialità	εμπειρογνώμονας
specializzato	προσοντούχος
specializzazione	ειδικότητα
specialmente	ειδικά
specie	ύφος
specie	ράτσα
specificare	προσδιορίζω
specifico	συγκεκριμένος
specillo	καθετήρας
specimen	δείγμα
speculare	συμμετρικός
speculazione	διαλογισμός
spedire	αποστέλλω
spedito	γρήγορος
spedizione	έξοδα αποστολής
speleologia	σπηλαιολογία
speleologico	σπηλαιολογικός
speleologo	σπηλαιολόγος
spellare	επιδερμίδα
speme	ελπίδα
spendere	ξοδεύω
spensierato	ξένοιαστος
spento	έξω
speranza	ελπίδα
speranza di vita	μέσος όρος ζωής
sperare	ελπίζω
sperduto	χαμένος
spergiuro	ψεύτης
spericolato	απερίσκεπτος
sperimentale	πειραματικός
sperimentare	εξέταση
sperimentato	έμπειρος
sperimentatore	πειραματιστής
sperma	σπέρμα
spermatozoo	σπερματοζωάριο
sperone	σπιρούνι
sperperare	διαχέω
spersonalizzare	αποπροσωποποιώ
spesa	έξοδα
spesso	παχής
spesso	συχνά
spessore	πάχος
spettacolare	θεαματικός
spettacolo	αξιοθέατο
spettacoloso	θεαματικός
spettrale	φασματικός
spettro	φάσμα
spezia	μπαχαρικό
spezzare	ευθυμία
spezzarsi	σπάω
spezzatino	βράζω
spezzone	απόσπασμα
spia	κατάσκοπος
spiacente	συγγνώμη
spiacevole	δυσάρεστος
spiaggia	παραλία
spianare	ακύμαντος
spiantato	απένταρος
spiazzo	ξέφωτο
spiccato	δυνατός
spicchio	σμήνος
spicciare	μεριμνώ
spiccio	ανάγωγος
spiedino	σούβλα
spiedo	σούβλα
spiegare	άλειμμα
spiegazione	δικαιολογία
spietato	αδίστακτος
spiffero	πούλι
spiga	στάχυ
spigliatezza	βεβαιότητα
spigliato	αεράτος
spigola	πέρκα
spigolo	στρίβω
spigoloso	κακότροπος
spilla	καρφίτσα
spillo	καρφίτσα
spilungone	σανίδα
spina	αγκάθι
spina dorsale	ραχοκοκαλιά
spinace	σπανάκι
spinacio	σπανάκι
spinello	γάρο
spingere	σπρώχνω
spinta	σπρώχνω
spinterogeno	διανομέας
spionaggio	κατασκοπία
spira	θόρυβος
spiraglio	φυσητήρας
spirale	έλικα
spirare	εκπνέω
spirito	πνεύμα
spiritoso	αστείος
